geo_accession	sample_id	donor_id	DRG_ID	context	roi	n_spots	measured_markers	proxy_mean
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	Schwann	Nageotte	11	48	4.164111545437439
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	Schwann	Neuronal	18	48	4.173364724779588
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	immune_macrophage	Nageotte	11	90	3.8334445442855167
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	immune_macrophage	Neuronal	18	90	3.6388942961479662
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	endothelial_vascular	Nageotte	11	92	4.284052997408517
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	endothelial_vascular	Neuronal	18	92	3.9842769707820995
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	stromal_perineurial_fibroblast	Nageotte	11	135	4.724623949311269
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	stromal_perineurial_fibroblast	Neuronal	18	135	4.449862703010497
GSM8943583	sam-UTD-DN0003-DRG-4	sub-UTD-DN0003	sam-UTD-DN0003-DRG	neuronal	NOT_EVALUABLE	0	0	
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	Schwann	Nageotte	11	48	4.108661438134661
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	Schwann	Neuronal	15	48	3.957853215299333
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	immune_macrophage	Nageotte	11	91	4.121271816919329
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	immune_macrophage	Neuronal	15	91	3.7892536801587204
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	endothelial_vascular	Nageotte	11	98	4.363607065128519
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	endothelial_vascular	Neuronal	15	98	4.071375320938724
GSM8943584	sam-UTD-DN0003-DRG-8	sub-UTD-DN0003	sam-UTD-DN0003-DRG	stromal_perineurial_fibroblast	Nageotte	11	137	4.880001333123065
