geo_accession	sample_id	donor_id	DRG_ID	module_id	program	whole_section_score	measured_up	measured_down
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_severity	P4	-0.0938760726844915	314	134
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_xenium	P5	0.06666616069151554	17	41
GSM8943586	sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	severity_neuron_residual	P10	-0.10033851518365418	219	118
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_allcell_residual	P8	-0.0428447558513713	1245	1564
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_neuron_residual	P7	0.017001893781077144	73	197
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_shared_concordant_neuronal_core	P6	-0.029362414497980934	44	77
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_early_allcell	P1	-0.029068912485576293	301	326
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_allcell	P2	-0.041953965769173485	1325	1672
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_neuron	P3	-0.0007158059187276515	124	295
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_severity	P4	-0.0968778435592448	312	133
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_xenium	P5	0.048114106000432574	17	42
GSM8943587	sam-UTD-181030DHB-1L4-3	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	severity_neuron_residual	P10	-0.10167433191326981	216	118
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_allcell_residual	P8	-0.059186426369865666	1265	1572
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_neuron_residual	P7	0.02014782015298101	75	198
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	late_shared_concordant_neuronal_core	P6	-0.036362745016872186	44	77
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_early_allcell	P1	-0.037019182574284465	301	327
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_allcell	P2	-0.05785290485801103	1345	1680
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_late_neuron	P3	-8.744247420514834e-05	126	297
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_severity	P4	-0.11180014668073787	313	134
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	original_xenium	P5	0.06686215715785218	17	42
GSM8943588	sam-UTD-181030DHB-1L4-7	sub-UTD-181030DHB	sam-UTD-181030DHB-1L4	severity_neuron_residual	P10	-0.12021292921802819	217	118
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_allcell_residual	P8	-0.04182392773498703	1267	1573
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_neuron_residual	P7	0.01931415159780763	74	197
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_shared_concordant_neuronal_core	P6	-0.024263909809714466	46	78
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_early_allcell	P1	-0.02825672564933798	302	328
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_allcell	P2	-0.04078307542652736	1349	1682
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_neuron	P3	0.0020578215209038184	127	296
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_severity	P4	-0.09462886863693919	314	134
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_xenium	P5	0.06779421220870713	17	42
GSM8943589	sam-UTD-181030DHB-2L4-2	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	severity_neuron_residual	P10	-0.10167747355447194	218	118
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_allcell_residual	P8	-0.048027201454824614	1269	1574
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_neuron_residual	P7	0.019182524174124665	73	197
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	late_shared_concordant_neuronal_core	P6	-0.028049945762140188	45	77
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_early_allcell	P1	-0.033402023476612815	302	328
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_allcell	P2	-0.04679856303093574	1350	1682
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_late_neuron	P3	0.0006488289261919728	125	296
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_severity	P4	-0.1077150108788407	314	134
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	original_xenium	P5	0.0714738955052395	17	42
GSM8943590	sam-UTD-181030DHB-2L4-6	sub-UTD-181030DHB	sam-UTD-181030DHB-2L4	severity_neuron_residual	P10	-0.11585959122213096	218	118
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_allcell_residual	P8	-0.024751769624949866	1261	1560
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_neuron_residual	P7	0.014197043007812183	74	197
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	late_shared_concordant_neuronal_core	P6	-0.017222964974091225	46	78
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_early_allcell	P1	-0.015530415656997055	301	329
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_allcell	P2	-0.02414717818809365	1344	1669
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_late_neuron	P3	0.001613994777679868	127	298
GSM8943591	sam-UTD-DN0134-DRGL3-S1-1	sub-UTD-DN0134	sam-UTD-DN0134-DRGL3	original_severity	P4	-0.06536981813407121	315	134
