geo_accession	donor_id	program	ring	unit	n_spots	mean_score
GSM8943583	sub-UTD-DN0003	P8	0	spot_graph_steps	11	-0.027654610730998456
GSM8943583	sub-UTD-DN0003	P8	1	spot_graph_steps	68	-0.03609128472303161
GSM8943583	sub-UTD-DN0003	P8	2	spot_graph_steps	109	-0.03265954677593928
GSM8943583	sub-UTD-DN0003	P8	3+	spot_graph_steps	1565	-0.020825390128962853
GSM8943583	sub-UTD-DN0003	P7	0	spot_graph_steps	11	0.005887398166293376
GSM8943583	sub-UTD-DN0003	P7	1	spot_graph_steps	68	0.01382509585387214
GSM8943583	sub-UTD-DN0003	P7	2	spot_graph_steps	109	0.016383777618893456
GSM8943583	sub-UTD-DN0003	P7	3+	spot_graph_steps	1565	0.011463561122330816
GSM8943583	sub-UTD-DN0003	P6	0	spot_graph_steps	11	-0.011477911405224922
GSM8943583	sub-UTD-DN0003	P6	1	spot_graph_steps	68	-0.028935538029258783
GSM8943583	sub-UTD-DN0003	P6	2	spot_graph_steps	109	-0.025609128156524677
GSM8943583	sub-UTD-DN0003	P6	3+	spot_graph_steps	1565	-0.015217788347002085
GSM8943583	sub-UTD-DN0003	P1	0	spot_graph_steps	11	-0.029049169254976474
GSM8943583	sub-UTD-DN0003	P1	1	spot_graph_steps	68	-0.028993936313448626
GSM8943583	sub-UTD-DN0003	P1	2	spot_graph_steps	109	-0.02814586314237785
GSM8943583	sub-UTD-DN0003	P1	3+	spot_graph_steps	1565	-0.026253450004034326
GSM8943583	sub-UTD-DN0003	P2	0	spot_graph_steps	11	-0.02654971137520883
GSM8943583	sub-UTD-DN0003	P2	1	spot_graph_steps	68	-0.035287566790594915
GSM8943583	sub-UTD-DN0003	P2	2	spot_graph_steps	109	-0.031916191373195325
GSM8943583	sub-UTD-DN0003	P2	3+	spot_graph_steps	1565	-0.020184926115956292
GSM8943583	sub-UTD-DN0003	P3	0	spot_graph_steps	11	-0.004986177578329218
GSM8943583	sub-UTD-DN0003	P3	1	spot_graph_steps	68	-0.005866450899146097
GSM8943583	sub-UTD-DN0003	P3	2	spot_graph_steps	109	-0.002612504077755827
GSM8943583	sub-UTD-DN0003	P3	3+	spot_graph_steps	1565	-0.0023636930520189122
GSM8943583	sub-UTD-DN0003	P4	0	spot_graph_steps	11	-0.09540419375707009
GSM8943583	sub-UTD-DN0003	P4	1	spot_graph_steps	68	-0.10350732666962303
