endpoint	version	module_id	family_strict	archived_p_strict	archived_q_strict	status_strict	p_strict	mean_difference_strict	loo_all_positive_strict	loo_min_strict	loo_max_strict	allocations_strict	sex_beta_strict	sex_p_strict	sex_ci_low_strict	sex_ci_high_strict	sex_age_beta_strict	sex_age_p_strict	sex_age_ci_low_strict	sex_age_ci_high_strict	q_strict	old_recomputed_p_difference_strict	family_initial	archived_p_initial	archived_q_initial	status_initial	p_initial	mean_difference_initial	loo_all_positive_initial	loo_min_initial	loo_max_initial	allocations_initial	sex_beta_initial	sex_p_initial	sex_ci_low_initial	sex_ci_high_initial	sex_age_beta_initial	sex_age_p_initial	sex_age_ci_low_initial	sex_age_ci_high_initial	q_initial	old_recomputed_p_difference_initial
original_JCI_sural_DPN_control	repaired_statfree	late_allcell_residual	DPN_contextual	0.997835497835498	1.0	COMPLETED	0.9989177489177488	-0.036892749844475	False	-0.0428454036884758	-0.0215389367688789	924.0									1.0	0.0010822510822509	DPN_contextual	0.997835497835498	1.0	COMPLETED	0.9989177489177488	-0.0368881191694824	False	-0.042840216997969	-0.0215365828082742	924.0									1.0	0.0010822510822509
original_JCI_sural_DPN_control	repaired_statfree	late_neuron_residual	DPN_neuronal_primary	0.014069264069264	0.0281385281385281	COMPLETED	0.0281385281385281	0.0267471692281034	True	0.0193018218604655	0.0326894566259127	924.0									0.0562770562770562	0.0140692640692641	DPN_neuronal_primary	0.014069264069264	0.0281385281385281	COMPLETED	0.0281385281385281	0.026743368442586	True	0.0192981874982871	0.0326851928659799	924.0									0.0562770562770562	0.0140692640692641
original_JCI_sural_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	DPN_neuronal_primary	0.5487012987012987	0.5487012987012987	COMPLETED	0.2413419913419913	0.0098280128728479	True	0.001520613712895	0.0178698190038743	924.0									0.2413419913419913	-0.3073593073593074	DPN_neuronal_primary	0.5487012987012987	0.5487012987012987	COMPLETED	0.2413419913419913	0.0098262753459992	True	0.0015195290320583	0.017866637079822	924.0									0.2413419913419913	-0.3073593073593074
original_JCI_sural_DPN_control	repaired_statfree	original_early_allcell	DPN_contextual	1.0	1.0	COMPLETED	1.0	-0.0504969177382452	False	-0.0549138386900834	-0.0411099399412385	924.0									1.0	0.0	DPN_contextual	1.0	1.0	COMPLETED	1.0	-0.0504924318412686	False	-0.0549093552997358	-0.0411061562467521	924.0									1.0	0.0
original_JCI_sural_DPN_control	repaired_statfree	original_late_allcell	DPN_contextual	0.997835497835498	1.0	COMPLETED	0.997835497835498	-0.0355009321050886	False	-0.0414523712840951	-0.0205295394655645	924.0									1.0	-1.1102230246251563e-16	DPN_contextual	0.997835497835498	1.0	COMPLETED	0.997835497835498	-0.035496495186516	False	-0.0414473685481362	-0.0205273143780308	924.0									1.0	-1.1102230246251563e-16
original_JCI_sural_DPN_control	repaired_statfree	original_late_neuron	DPN_contextual	0.0292207792207792	0.2337662337662337	COMPLETED	0.0292207792207792	0.0254459559081848	True	0.018528788052044	0.0307467560412391	924.0									0.2045454545454545	2.0816681711721685e-17	DPN_contextual	0.0292207792207792	0.2337662337662337	COMPLETED	0.0292207792207792	0.025442169636773	True	0.0185256111069769	0.0307428898303337	924.0									0.2045454545454545	2.0816681711721685e-17
original_JCI_sural_DPN_control	repaired_statfree	original_severity	DPN_contextual	0.9913419913419912	1.0	COMPLETED	0.9956709956709956	-0.0163320793528477	False	-0.018390787149235	-0.0105924980843546	924.0									1.0	0.0043290043290045	DPN_contextual	0.9913419913419912	1.0	COMPLETED	0.9956709956709956	-0.0163305856151804	False	-0.0183889626242263	-0.0105913251031771	924.0									1.0	0.0043290043290045
original_JCI_sural_DPN_control	repaired_statfree	original_xenium	DPN_contextual	0.3181818181818182	1.0	COMPLETED	0.3170995670995671	0.0067523960673221	False	-0.0012962474281345	0.0137540608954744	924.0									1.0	-0.001082251082251	DPN_contextual	0.3181818181818182	1.0	COMPLETED	0.3181818181818182	0.0067405617862845	False	-0.0013064420144312	0.0137447499616611	924.0									1.0	0.0
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_residual	DPN_contextual	0.9989177489177488	1.0	COMPLETED	0.997835497835498	-0.0160078762843208	False	-0.0178440376793629	-0.0110136615565104	924.0									1.0	-0.0010822510822509	DPN_contextual	0.9989177489177488	1.0	COMPLETED	0.997835497835498	-0.0160081998867303	False	-0.0178440483080758	-0.0110142044304587	924.0									1.0	-0.0010822510822509
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	DPN_contextual	0.7316017316017316	1.0	NOT_EVALUABLE			False														DPN_contextual	0.7316017316017316	1.0	NOT_EVALUABLE			False													
original_JCI_sural_severe_moderate	repaired_statfree	original_late_neuron	severity_contextual	0.4172268907563025	0.4172268907563025	COMPLETED	0.5747899159663865	-0.0011965772211043	False	-0.0041355930161373	0.004796533974864	2380.0									0.5747899159663865	0.157563025210084	severity_contextual	0.4172268907563025	0.4172268907563025	COMPLETED	0.5747899159663865	-0.0011935049941676	False	-0.0041325164380695	0.004799870761577	2380.0									0.5747899159663865	0.157563025210084
original_JCI_sural_severe_moderate	repaired_statfree	original_severity	severity_contextual	0.0680672268907563	0.1361344537815126	COMPLETED	0.0861344537815126	0.0102902003343561	True	0.0068508566380874	0.0134082179197434	2380.0									0.1722689075630252	0.0180672268907563	severity_contextual	0.0680672268907563	0.1361344537815126	COMPLETED	0.0861344537815126	0.0102882870437884	True	0.0068494963825375	0.0134057869876525	2380.0									0.1722689075630252	0.0180672268907563
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_residual	severity_primary	0.1554621848739495	0.1554621848739495	COMPLETED	0.1457983193277311	0.0101542654088794	True	0.0062559025075637	0.0143191946971127	2380.0									0.1457983193277311	-0.0096638655462183	severity_primary	0.1554621848739495	0.1554621848739495	COMPLETED	0.1457983193277311	0.0101532502724177	True	0.006255190743952	0.0143175418376456	2380.0									0.1457983193277311	-0.0096638655462183
original_JCI_sural_severe_moderate	repaired_statfree	severity_neuron_shared_concordant_core	severity_primary	0.0025210084033613	0.0050420168067226	NOT_EVALUABLE			False														severity_primary	0.0025210084033613	0.0050420168067226	NOT_EVALUABLE			False													
original_hDRG_DPN_control	repaired_statfree	late_allcell_residual	three_late_components	0.0533333333333333	0.08	COMPLETED	0.0533333333333333	0.0228918428128886	True	0.0133502528628796	0.0310355819590781	300.0	0.02488637490112	0.10196948054546	-0.006031942000452	0.0558046918026921	0.0236996629306646	0.2246462978228484	-0.0178304270361269	0.0652297528974562	0.08	3.4694469519536136e-17	three_late_components	0.0533333333333333	0.08	COMPLETED	0.0533333333333333	0.0228929992790115	True	0.0133502536216094	0.0310376420099485	300.0	0.02488787347607	0.1019797518820116	-0.0060333834903052	0.0558091304424453	0.0237007492897947	0.2246668882958981	-0.0178332737221454	0.065234772301735	0.08	3.4694469519536136e-17
original_hDRG_DPN_control	repaired_statfree	late_neuron_residual	three_late_components	0.86	0.86	COMPLETED	0.4433333333333333	0.0015727222915099	False	-0.0011931411861862	0.0045080536695747	300.0	0.0009957963458609	0.8512671387152022	-0.0106777896909305	0.0126693823826525	0.0020198452046191	0.7732831517846372	-0.0136093568875499	0.0176490472967883	0.4433333333333333	-0.4166666666666666	three_late_components	0.86	0.86	COMPLETED	0.4433333333333333	0.0015732400511558	False	-0.0011924844078561	0.0045089000179794	300.0	0.0009965671880479	0.8511628638039717	-0.0106777569343484	0.0126708913104444	0.0020205982339651	0.7732154028079318	-0.0136096022295801	0.0176507986975104	0.4433333333333333	-0.4166666666666666
original_hDRG_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	three_late_components	0.0266666666666666	0.08	COMPLETED	0.0333333333333333	0.0372744606356522	True	0.0225672336870861	0.0513637606972688	300.0	0.0421590142053065	0.0317085686253884	0.0046122746122234	0.0797057537983896	0.0461943385513055	0.0664758218924088	-0.0039732994421696	0.0963619765447807	0.08	0.0066666666666667	three_late_components	0.0266666666666666	0.08	COMPLETED	0.0333333333333333	0.0372775273479343	True	0.0225693455708052	0.0513685506301309	300.0	0.0421626062739903	0.0317072417171142	0.0046130446405786	0.0797121679074021	0.0461983046481	0.0664734250094341	-0.0039730932701698	0.09636970256637	0.08	0.0066666666666667
original_hDRG_DPN_control	repaired_statfree	original_early_allcell	contextual_secondary	0.4866666666666667	0.4866666666666666	COMPLETED	0.49	-0.0025231213324022	False	-0.0092563007355662	0.0013761143675225	300.0	-0.0001055206214662	0.991404794889027	-0.0216578788862412	0.0214468376433087	0.0027574259308111	0.8302354613444349	-0.0259468106654957	0.031461662527118	0.49	0.0033333333333332	contextual_secondary	0.4866666666666667	0.4866666666666666	COMPLETED	0.49	-0.0025242948869868	False	-0.0092580871116449	0.0013750297220197	300.0	-0.0001066638181462	0.99131252811341	-0.0216611265867197	0.0214477989504273	0.0027569836629606	0.8302780064709713	-0.025949976658217	0.0314639439841383	0.49	0.0033333333333332
original_hDRG_DPN_control	repaired_statfree	original_late_allcell	contextual_secondary	0.0333333333333333	0.1	COMPLETED	0.0333333333333333	0.0233554988033742	True	0.0136670166087397	0.0316708522049497	300.0	0.0254529015709054	0.0949365300212259	-0.0054075206676694	0.0563133238094802	0.0243947250336718	0.211864311983782	-0.0170640322845189	0.0658534823518626	0.1	3.4694469519536136e-17	contextual_secondary	0.0333333333333333	0.1	COMPLETED	0.0333333333333333	0.0233566985163861	True	0.0136670962174104	0.0316729699840065	300.0	0.0254544524551949	0.0949453103326676	-0.0054088100552496	0.0563177149656394	0.0243959245275648	0.2118819010729321	-0.017066636284453	0.0658584853395826	0.1	3.4694469519536136e-17
original_hDRG_DPN_control	repaired_statfree	original_late_neuron	primary_neuronal	0.0933333333333333	0.0933333333333333	COMPLETED	0.0533333333333333	0.010691270352071	True	0.0072011574852069	0.0159469843952533	300.0	0.0117762102007603	0.1029171016030673	-0.0029013289331812	0.0264537493347018	0.0142793683977689	0.1285612681601752	-0.0051496886990702	0.0337084254946082	0.0633333333333333	-0.0399999999999999	primary_neuronal	0.0933333333333333	0.0933333333333333	COMPLETED	0.0533333333333333	0.0106923843238151	True	0.0072009079446931	0.0159490263704502	300.0	0.0117776755761076	0.1029264342518784	-0.0029021525768191	0.0264575037290345	0.0142808707470335	0.1285794447416197	-0.0051513021021743	0.0337130435962414	0.0633333333333333	-0.0399999999999999
original_hDRG_DPN_control	repaired_statfree	original_severity	primary_neuronal	0.0533333333333333	0.0933333333333333	COMPLETED	0.0633333333333333	0.0076916675027862	True	0.0050590505149226	0.0108998294855685	300.0	0.0086843187574851	0.1133202362522462	-0.0025156841526289	0.0198843216675991	0.0129040835238132	0.0646625711093851	-0.0009936615092783	0.0268018285569049	0.0633333333333333	0.01	primary_neuronal	0.0533333333333333	0.0933333333333333	COMPLETED	0.0633333333333333	0.0076915317824911	True	0.0050593824946607	0.0108994476913451	300.0	0.0086841550788889	0.113288163257168	-0.0025144887330698	0.0198827988908478	0.0129039894487088	0.0646328205236883	-0.0009917365864862	0.0267997154839038	0.0633333333333333	0.01
original_hDRG_DPN_control	repaired_statfree	original_xenium	contextual_secondary	0.3166666666666666	0.475	COMPLETED	0.3166666666666666	0.0185780715972731	True	0.0006908870529858	0.0384985004042183	300.0	0.0186281261745482	0.6173896117009543	-0.0628258440479631	0.1000820963970597	0.028857309136217	0.5570213078185435	-0.0797340110489286	0.1374486293213627	0.475	5.551115123125783e-17	contextual_secondary	0.3166666666666666	0.475	COMPLETED	0.3166666666666666	0.0185817835120349	True	0.0006934637451861	0.0385049108914931	300.0	0.0186321656237613	0.617347107134602	-0.0628294825759165	0.1000938138234392	0.0288629629500741	0.5569817079229202	-0.0797384779137032	0.1374644038138515	0.475	5.551115123125783e-17
