endpoint	old_genes	strict_genes	removed_ids	added_ids	common_value_max_difference
original_hDRG_DPN_control	28942	28939	100124696|100187828|100505381		2.3283064365386963e-10
original_JCI_sural_DPN_control	17924	17921	100124696|100187828|100505381		4.547473508864641e-13
original_JCI_sural_severe_moderate	19029	19026	100124696|100187828|100505381		4.547473508864641e-13
GSE148059_C02	24111	24108	100124696|100187828|100505381		1.7763568394002505e-15
