program	symptom	n	term	beta	hc3_se	ci_low	ci_high	P	status	BH_q_pairwise
P6	average_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.153373647352085	0.326955841756365	-0.802831261920636	0.496083967216467	0.640123022726556	COMPLETED	0.948517192714509
P6	worst_pain_nrs	101	treatmentAZD2423 150 mg:xb_z	-0.14509407342311	0.390839472336745	-0.921448672317849	0.631260525471628	0.711323918257879	COMPLETED	0.95841538460009
P6	worst_pain_nrs	101	treatmentAZD2423 20 mg:xb_z	-0.148782016109024	0.361939541507788	-0.867730452640843	0.570166420422794	0.681988597448554	COMPLETED	0.948517192714509
P6	burning_superficial	95	treatmentAZD2423 150 mg:xb_z	0.100170381449055	0.29274459105142	-0.481884294026027	0.682225056924137	0.733062534045679	COMPLETED	0.959756822463525
P6	burning_superficial	95	treatmentAZD2423 20 mg:xb_z	-0.193674171586431	0.231092136697807	-0.653147250653019	0.265798907480157	0.40433513519838	COMPLETED	0.948517192714509
P6	pressing_deep	95	treatmentAZD2423 150 mg:xb_z	0.240296556766492	0.266887195911875	-0.290346689781674	0.770939803314659	0.370468598751627	COMPLETED	0.948517192714509
P6	pressing_deep	95	treatmentAZD2423 20 mg:xb_z	-0.172411909311345	0.224337063790549	-0.618454093703764	0.273630275081074	0.444296779485177	COMPLETED	0.948517192714509
P6	paroxysmal	95	treatmentAZD2423 150 mg:xb_z	-0.407562582498984	0.345047295430635	-1.09360904656553	0.278483881567558	0.240826077169446	COMPLETED	0.948517192714509
P6	paroxysmal	95	treatmentAZD2423 20 mg:xb_z	-0.243043087020021	0.298219558635477	-0.835983464836961	0.349897290796918	0.417361195854756	COMPLETED	0.948517192714509
P6	evoked	95	treatmentAZD2423 150 mg:xb_z	-0.247063605286499	0.339112327586116	-0.921309763255877	0.427182552682878	0.468273509792325	COMPLETED	0.948517192714509
P6	evoked	95	treatmentAZD2423 20 mg:xb_z	-0.16838525355879	0.313821340332613	-0.792346153223612	0.455575646106031	0.592970367070369	COMPLETED	0.948517192714509
P6	paresthesia_dysesthesia	95	treatmentAZD2423 150 mg:xb_z	-0.0627360297371428	0.370317851130533	-0.799027128705909	0.673555069231624	0.865875663895815	COMPLETED	0.961942097882373
P6	paresthesia_dysesthesia	95	treatmentAZD2423 20 mg:xb_z	-0.0493251834626661	0.354580329225726	-0.754325872684885	0.655675505759553	0.889693373293452	COMPLETED	0.961942097882373
