field_requested	actual_source_field	source_file	scale_or_units	higher_means	n_baseline_nonmissing	n_followup_nonmissing	n_paired_nonmissing	notes	primary_domain_yes_no
npsi_total	npsi_total_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
average_pain_nrs	average_pain_nrs_last_12_hours	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	102	103	101	direct GEO metadata field	YES
worst_pain_nrs	worst_pain_nrs_last_12_hours	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	102	103	101	direct GEO metadata field	YES
burning_superficial	burning_superfic_spont_pain_sub_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
pressing_deep	pressing_deep_spont_pain_sub_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
paroxysmal	paroxysmal_pain_sub_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
evoked	evoked_pain_sub_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
paresthesia_dysesthesia	paresthesia_dysesthesia_sub_score	${DPN_PROJECT_ROOT}\analysis_v4\all_extensions_2026-09-11\07_M06_trial\results\M06_SAMPLE_SCORES.tsv.gz	deposited score	greater symptom burden	100	99	95	direct GEO metadata field	YES
