family	program	symptom	n	primary_beta	sign_preservation_fraction	loo_beta_min	loo_beta_max	max_absolute_beta_change	status
longitudinal_HC3	P1	npsi_total	95	0.252566636909629	1.0	0.2279282108220712	0.28758293777584704	0.03501630086621804	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P1	burning_superficial	95	0.276516610610893	1.0	0.2537855526735636	0.3038222367502869	0.027305626139393913	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P1	pressing_deep	95	0.284130029434173	1.0	0.2552361120916714	0.30561224554977684	0.028893917342501574	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P1	paresthesia_dysesthesia	95	0.237768734133285	1.0	0.2086400715923864	0.276430464573776	0.03866173044049101	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P4	npsi_total	95	0.246698253720744	1.0	0.22639830054845395	0.28004357254510576	0.03334531882436176	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P4	burning_superficial	95	0.284166456561453	1.0	0.26585406090491565	0.32205154425859406	0.03788508769714105	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P4	pressing_deep	95	0.260452943365724	1.0	0.235794688638471	0.29379775110791084	0.033344807742186844	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P4	paresthesia_dysesthesia	95	0.272635547409608	1.0	0.24712938026318376	0.30291749443872434	0.03028194702911635	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P10	npsi_total	95	0.234554556544578	1.0	0.21161757735829723	0.2657196352838607	0.03116507873928273	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P10	burning_superficial	95	0.274508949121638	1.0	0.2540724361756783	0.3097923533513673	0.03528340422972931	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P10	pressing_deep	95	0.251565142570588	1.0	0.22393541739756592	0.2808302097817004	0.02926506721111244	COMPLETED_DIAGNOSTIC
longitudinal_HC3	P10	paresthesia_dysesthesia	95	0.248295621248732	1.0	0.2231981307560205	0.27596737566213125	0.027671754413399252	COMPLETED_DIAGNOSTIC
