program	symptom	n	rho	P	status	BH_q
P1	npsi_total	100	0.0120046943439721	0.905638287541809	COMPLETED	0.991788721739501
P1	average_pain_nrs	102	-0.0847938087549059	0.39680089173689	COMPLETED	0.991788721739501
P1	worst_pain_nrs	102	-0.0561355732538041	0.575209102699477	COMPLETED	0.991788721739501
P1	burning_superficial	100	-0.0966817428645802	0.338614614524475	COMPLETED	0.991788721739501
P1	pressing_deep	100	-0.0536669967432717	0.595900408613871	COMPLETED	0.991788721739501
P1	paroxysmal	100	0.0785602934343259	0.437201380925283	COMPLETED	0.991788721739501
P1	evoked	100	-0.0453245494303772	0.654313919020221	COMPLETED	0.991788721739501
P1	paresthesia_dysesthesia	100	0.0698188545216708	0.490034727217312	COMPLETED	0.991788721739501
P2	npsi_total	100	-0.0454437704391063	0.653463140583907	COMPLETED	0.991788721739501
P2	average_pain_nrs	102	-0.0205295037675331	0.837725222989333	COMPLETED	0.991788721739501
P2	worst_pain_nrs	102	0.0028851297349027	0.977040594034144	COMPLETED	0.992549174891829
P2	burning_superficial	100	-0.03125723055412	0.757536094021922	COMPLETED	0.991788721739501
P2	pressing_deep	100	-0.0302426476597045	0.765174637575437	COMPLETED	0.991788721739501
P2	paroxysmal	100	-0.0593521180953531	0.557488092403216	COMPLETED	0.991788721739501
P2	evoked	100	0.0195570711363599	0.846856877205795	COMPLETED	0.991788721739501
P2	paresthesia_dysesthesia	100	-0.0903732845381799	0.371213664973777	COMPLETED	0.991788721739501
P3	npsi_total	100	0.0514881340412963	0.610930516947823	COMPLETED	0.991788721739501
P3	average_pain_nrs	102	0.0488148492725387	0.626102178987191	COMPLETED	0.991788721739501
P3	worst_pain_nrs	102	0.0092720149715796	0.926308233676924	COMPLETED	0.991788721739501
P3	burning_superficial	100	0.044501304919131	0.660200734518332	COMPLETED	0.991788721739501
P3	pressing_deep	100	0.0739351722809944	0.464743941695493	COMPLETED	0.991788721739501
P3	paroxysmal	100	-0.0103535135014206	0.918569219631026	COMPLETED	0.991788721739501
P3	evoked	100	0.0592603904675989	0.558098325054283	COMPLETED	0.991788721739501
P3	paresthesia_dysesthesia	100	0.0311837487307566	0.758088548003112	COMPLETED	0.991788721739501
P4	npsi_total	100	0.0648913752763411	0.52124213757704	COMPLETED	0.991788721739501
P4	average_pain_nrs	102	0.0465689928394413	0.642089343798942	COMPLETED	0.991788721739501
P4	worst_pain_nrs	102	0.0596147002870692	0.5517175929372	COMPLETED	0.991788721739501
P4	burning_superficial	100	0.0158503623937219	0.875622637841935	COMPLETED	0.991788721739501
P4	pressing_deep	100	-0.0117151861577625	0.907903836979168	COMPLETED	0.991788721739501
P4	paroxysmal	100	0.0556742130085112	0.582203121530705	COMPLETED	0.991788721739501
P4	evoked	100	0.0472123208219594	0.640895075302183	COMPLETED	0.991788721739501
P4	paresthesia_dysesthesia	100	0.10700341342123	0.289314371799592	COMPLETED	0.991788721739501
P5	npsi_total	0	NA	NA	NE	NA
P5	average_pain_nrs	0	NA	NA	NE	NA
P5	worst_pain_nrs	0	NA	NA	NE	NA
P5	burning_superficial	0	NA	NA	NE	NA
P5	pressing_deep	0	NA	NA	NE	NA
P5	paroxysmal	0	NA	NA	NE	NA
P5	evoked	0	NA	NA	NE	NA
P5	paresthesia_dysesthesia	0	NA	NA	NE	NA
P6	npsi_total	100	0.0065305537231208	0.948583920491961	COMPLETED	0.991788721739501
P6	average_pain_nrs	102	-0.0256944078567471	0.797684541718031	COMPLETED	0.991788721739501
P6	worst_pain_nrs	102	-0.0372464591658819	0.710143276773334	COMPLETED	0.991788721739501
P6	burning_superficial	100	-0.0683953161473824	0.498947590055813	COMPLETED	0.991788721739501
P6	pressing_deep	100	-0.0225268875218671	0.823951990242647	COMPLETED	0.991788721739501
P6	paroxysmal	100	0.0087523305994567	0.931128920104155	COMPLETED	0.991788721739501
P6	evoked	100	0.0396071271584195	0.695615959312218	COMPLETED	0.991788721739501
P6	paresthesia_dysesthesia	100	-0.0219869203075572	0.828106148416376	COMPLETED	0.991788721739501
P7	npsi_total	100	0.0936426182301542	0.354086819210547	COMPLETED	0.991788721739501
P7	average_pain_nrs	102	0.0903490506120889	0.366481554472119	COMPLETED	0.991788721739501
P7	worst_pain_nrs	102	0.0364148629481747	0.716335966665891	COMPLETED	0.991788721739501
P7	burning_superficial	100	0.101548028904201	0.314745292363667	COMPLETED	0.991788721739501
P7	pressing_deep	100	0.117284372680694	0.245189168331283	COMPLETED	0.991788721739501
P7	paroxysmal	100	-0.0049781137591132	0.960795324185142	COMPLETED	0.991788721739501
P7	evoked	100	0.096420629229923	0.339926913807394	COMPLETED	0.991788721739501
P7	paresthesia_dysesthesia	100	0.0498602923153035	0.622266384619395	COMPLETED	0.991788721739501
P8	npsi_total	100	-0.0547714179443726	0.588345898286615	COMPLETED	0.991788721739501
P8	average_pain_nrs	102	-0.025100415601142	0.802264944036783	COMPLETED	0.991788721739501
P8	worst_pain_nrs	102	-0.0006562255867621	0.994777187335065	COMPLETED	0.994777187335065
P8	burning_superficial	100	-0.0401149646936548	0.691908974457097	COMPLETED	0.991788721739501
P8	pressing_deep	100	-0.0346998393084162	0.731794814157489	COMPLETED	0.991788721739501
P8	paroxysmal	100	-0.0621451589468991	0.539061678268812	COMPLETED	0.991788721739501
P8	evoked	100	0.0086031874565419	0.932299709097133	COMPLETED	0.991788721739501
P8	paresthesia_dysesthesia	100	-0.0948453025476283	0.347912124060079	COMPLETED	0.991788721739501
P9	npsi_total	0	NA	NA	NE	NA
P9	average_pain_nrs	0	NA	NA	NE	NA
P9	worst_pain_nrs	0	NA	NA	NE	NA
P9	burning_superficial	0	NA	NA	NE	NA
P9	pressing_deep	0	NA	NA	NE	NA
P9	paroxysmal	0	NA	NA	NE	NA
P9	evoked	0	NA	NA	NE	NA
P9	paresthesia_dysesthesia	0	NA	NA	NE	NA
P10	npsi_total	100	0.0542372090460659	0.591994578333924	COMPLETED	0.991788721739501
P10	average_pain_nrs	102	0.0282174606757936	0.77830686437826	COMPLETED	0.991788721739501
P10	worst_pain_nrs	102	0.0476385833286591	0.634454476267339	COMPLETED	0.991788721739501
P10	burning_superficial	100	-0.0089367125646473	0.929681705818328	COMPLETED	0.991788721739501
P10	pressing_deep	100	-0.0110947932661174	0.912761189963732	COMPLETED	0.991788721739501
P10	paroxysmal	100	0.0544281796975844	0.590689062519223	COMPLETED	0.991788721739501
P10	evoked	100	0.0460339667049208	0.649257961659283	COMPLETED	0.991788721739501
P10	paresthesia_dysesthesia	100	0.0821274370644998	0.416606640918427	COMPLETED	0.991788721739501
