program	symptom	n	status	treatment_levels	interaction_df	wald_chisq	P_omnibus	residual_df	BH_q_omnibus
P5	burning_superficial	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P5	pressing_deep	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P5	paroxysmal	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P5	evoked	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P5	paresthesia_dysesthesia	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P6	npsi_total	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.24951199163637	0.88271226179247	85.0	0.99812968222788
P6	average_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.255177567050864	0.880215263750709	91.0	0.99812968222788
P6	worst_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.170274945203109	0.918386022807115	91.0	0.99812968222788
P6	burning_superficial	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.87511002566073	0.391584083935458	85.0	0.99812968222788
P6	pressing_deep	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	4.92908130877369	0.0850478997802604	85.0	0.99812968222788
P6	paroxysmal	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.40175395734779	0.496149999974196	85.0	0.99812968222788
P6	evoked	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.539797701624451	0.763456713457929	85.0	0.99812968222788
P6	paresthesia_dysesthesia	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.028796011672353	0.985705149778033	85.0	0.99812968222788
P7	npsi_total	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.674848316371318	0.713606093835111	85.0	0.99812968222788
P7	average_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.6326363669175	0.72882751241147	91.0	0.99812968222788
P7	worst_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.692730044228018	0.707254276531922	91.0	0.99812968222788
P7	burning_superficial	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.0537481349836331	0.973483827065441	85.0	0.99812968222788
P7	pressing_deep	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.389356169620784	0.823099583670484	85.0	0.99812968222788
P7	paroxysmal	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	4.50077262888958	0.105358515182763	85.0	0.99812968222788
P7	evoked	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.0746658448754744	0.963355359340612	85.0	0.99812968222788
P7	paresthesia_dysesthesia	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	3.86943186856774	0.144465300634482	85.0	0.99812968222788
P8	npsi_total	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.776367240635853	0.678287784410067	85.0	0.99812968222788
P8	average_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.701596840666277	0.704125676970126	91.0	0.99812968222788
P8	worst_pain_nrs	101	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.18041059104435	0.55421349550574	91.0	0.99812968222788
P8	burning_superficial	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.735335081925934	0.692347320554222	85.0	0.99812968222788
P8	pressing_deep	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	1.09409755938656	0.578655031380598	85.0	0.99812968222788
P8	paroxysmal	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.0037441380006281	0.99812968222788	85.0	0.99812968222788
P8	evoked	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.427767407804368	0.807442281949255	85.0	0.99812968222788
P8	paresthesia_dysesthesia	95	COMPLETED	Placebo|AZD2423 150 mg|AZD2423 20 mg	2.0	0.546269538528229	0.760990222625483	85.0	0.99812968222788
P9	npsi_total	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
P9	average_pain_nrs	0	NE_LOW_ARM_N	Placebo|AZD2423 150 mg|AZD2423 20 mg	NA	NA	NA	NA	NA
