resource	comparison	module_id	block	removed_genes	remaining_up	remaining_down	delta_S_full	delta_S_after_block_removal	change_in_delta_S	status
GSE143979	AH DPN minus MNC	late_allcell_residual	black	68	1234	1564	0.004444605410029429	0.0046568961233046866	0.00021229071327525783	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	blue	145	1227	1494	0.004444605410029429	0.003811241246056052	-0.0006333641639733765	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	brown	173	1242	1451	0.004444605410029429	0.004756788310471589	0.00031218290044216033	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	green	62	1280	1524	0.004444605410029429	0.004585221502646414	0.00014061609261698492	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	magenta	17	1280	1569	0.004444605410029429	0.004465542066561452	2.0936656532023236e-05	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	pink	42	1258	1566	0.004444605410029429	0.004382500456186204	-6.210495384322435e-05	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	red	71	1286	1509	0.004444605410029429	0.00484623037321822	0.0004016249631887915	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	turquoise	164	1168	1534	0.004444605410029429	0.004176582911136079	-0.00026802249889334995	COMPLETED
GSE143979	AH DPN minus MNC	late_allcell_residual	yellow	159	1186	1521	0.004444605410029429	0.0020128888405055584	-0.0024317165695238703	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	black	5	75	195	-0.002821040902561075	-0.0025855319191035626	0.0002355089834575122	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	blue	15	70	190	-0.002821040902561075	-0.0040486967085776905	-0.0012276558060166157	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	brown	28	74	173	-0.002821040902561075	-0.0048025720893941255	-0.0019815311868330507	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	green	15	75	185	-0.002821040902561075	-0.002209784598202539	0.0006112563043585359	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	magenta	1	76	198	-0.002821040902561075	-0.0029644378862668276	-0.00014339698370575277	COMPLETED
GSE143979	AH DPN minus MNC	late_neuron_residual	pink	3	76	196	-0.002821040902561075	-0.0026318202204325507	0.00018922068212852416	COMPLETED
