resource	comparison	module_id	block	removed_genes	remaining_up	remaining_down	delta_S_full	delta_S_after_block_removal	change_in_delta_S	status
GSE250152	Morton minus control	original_late_allcell	green	65	1364	1639	0.011133785295296909	0.011160959414242257	2.7174118945347964e-05	COMPLETED
GSE250152	Morton minus control	original_late_allcell	magenta	18	1362	1688	0.011133785295296909	0.011093503781869239	-4.028151342766982e-05	COMPLETED
GSE250152	Morton minus control	original_late_allcell	pink	45	1338	1685	0.011133785295296909	0.010984726600781647	-0.0001490586945152618	COMPLETED
GSE250152	Morton minus control	original_late_allcell	red	76	1368	1624	0.011133785295296909	0.011548701766354575	0.0004149164710576664	COMPLETED
GSE250152	Morton minus control	original_late_allcell	turquoise	178	1242	1648	0.011133785295296909	0.012278860505199269	0.00114507520990236	COMPLETED
GSE250152	Morton minus control	original_late_allcell	yellow	169	1261	1638	0.011133785295296909	0.01308121938681644	0.0019474340915195312	COMPLETED
GSE250152	Morton minus control	original_late_neuron	black	9	134	279	0.004605532078491936	0.0032374417736362278	-0.0013680903048557081	COMPLETED
GSE250152	Morton minus control	original_late_neuron	blue	23	127	272	0.004605532078491936	0.0015402092261133044	-0.0030653228523786318	COMPLETED
GSE250152	Morton minus control	original_late_neuron	brown	39	133	250	0.004605532078491936	-0.0006291659027330143	-0.00523469798122495	COMPLETED
GSE250152	Morton minus control	original_late_neuron	green	19	137	266	0.004605532078491936	0.005173781629251797	0.0005682495507598612	COMPLETED
GSE250152	Morton minus control	original_late_neuron	magenta	2	137	283	0.004605532078491936	0.004682638374999045	7.710629650710919e-05	COMPLETED
GSE250152	Morton minus control	original_late_neuron	pink	6	136	280	0.004605532078491936	0.005343805257406992	0.0007382731789150557	COMPLETED
GSE250152	Morton minus control	original_late_neuron	red	13	133	276	0.004605532078491936	0.004284535605598731	-0.0003209964728932051	COMPLETED
GSE250152	Morton minus control	original_late_neuron	turquoise	43	124	255	0.004605532078491936	0.006038948797651365	0.001433416719159429	COMPLETED
GSE250152	Morton minus control	original_late_neuron	yellow	22	132	268	0.004605532078491936	0.004099385649587816	-0.0005061464289041195	COMPLETED
GSE250152	Morton minus control	original_severity	black	2	321	132	0.008630980787842494	0.010354050632921809	0.0017230698450793145	COMPLETED
GSE250152	Morton minus control	original_severity	blue	37	306	112	0.008630980787842494	0.011630910175037975	0.0029999293871954807	COMPLETED
