gene	module	gene_id	current_symbol	mapping_method	is_non_grey	candidate	include_in_block_map	exclusion_reason
GFRA3	brown	2676	GFRA3	unique_official_exact	True	True	True	included
PRKAR2B	yellow	5577	PRKAR2B	unique_official_exact	True	True	True	included
PPBP	blue	5473	PPBP	unique_official_exact	True	True	True	included
HBA2	blue	3040	HBA2	unique_official_exact	True	True	True	included
FAT3	green	120114	FAT3	unique_official_exact	True	True	True	included
SCRN1	brown	9805	SCRN1	unique_official_exact	True	True	True	included
HLA-DRB1	blue	3123	HLA-DRB1	unique_official_exact	True	True	True	included
PRG4	blue	10216	PRG4	unique_official_exact	True	True	True	included
KCNQ1OT1	turquoise	10984	KCNQ1OT1	unique_official_exact	True	True	True	included
CUTALP	grey	253039	CUTALP	unique_official_exact	False	False	False	grey_not_a_network_block
NKTR	turquoise	4820	NKTR	unique_official_exact	True	True	True	included
GRK3	yellow	157	GRK3	unique_official_exact	True	True	True	included
HLA-DPB1	blue	3115	HLA-DPB1	unique_official_exact	True	True	True	included
BHLHE41	blue	79365	BHLHE41	unique_official_exact	True	True	True	included
ADAMTS14	turquoise	140766	ADAMTS14	unique_official_exact	True	True	True	included
AGAP11	turquoise	119385	AGAP11	unique_official_exact	True	True	True	included
GPX4	yellow	2879	GPX4	unique_official_exact	True	True	True	included
KLF9	grey	687	KLF9	unique_official_exact	False	False	False	grey_not_a_network_block
HLA-DRB5	red	3127	HLA-DRB5	unique_official_exact	True	True	True	included
GPNMB	blue	10457	GPNMB	unique_official_exact	True	True	True	included
PMP22	brown	5376	PMP22	unique_official_exact	True	True	True	included
COL1A1	blue	1277	COL1A1	unique_official_exact	True	True	True	included
EGFL6	yellow	25975	EGFL6	unique_official_exact	True	True	True	included
ITGB2	blue	3689	ITGB2	unique_official_exact	True	True	True	included
NRCAM	brown	4897	NRCAM	unique_official_exact	True	True	True	included
PTPRZ1	brown	5803	PTPRZ1	unique_official_exact	True	True	True	included
CDR1	yellow	1038	CDR1	unique_official_exact	True	True	True	included
SPOCK1	blue	6695	SPOCK1	unique_official_exact	True	True	True	included
CCN1	yellow	3491	CCN1	unique_official_exact	True	True	True	included
GPX3	yellow	2878	GPX3	unique_official_exact	True	True	True	included
SERPINF1	blue	5176	SERPINF1	unique_official_exact	True	True	True	included
RPS4Y1	grey	6192	RPS4Y1	unique_official_exact	False	False	False	grey_not_a_network_block
FBN1	blue	2200	FBN1	unique_official_exact	True	True	True	included
PLEKHH2	turquoise	130271	PLEKHH2	unique_official_exact	True	True	True	included
DIO2	red	1734	DIO2	unique_official_exact	True	True	True	included
CPM	yellow	1368	CPM	unique_official_exact	True	True	True	included
ARHGDIB	blue	397	ARHGDIB	unique_official_exact	True	True	True	included
PRRX1	blue	5396	PRRX1	unique_official_exact	True	True	True	included
CPXM2	blue	119587	CPXM2	unique_official_exact	True	True	True	included
SVEP1	yellow	79987	SVEP1	unique_official_exact	True	True	True	included
GABBR1	turquoise	2550	GABBR1	unique_official_exact	True	True	True	included
MAL	brown	4118	MAL	unique_official_exact	True	True	True	included
MYRF	brown	745	MYRF	unique_official_exact	True	True	True	included
CADM4	brown	199731	CADM4	unique_official_exact	True	True	True	included
HK2	yellow	3099	HK2	unique_official_exact	True	True	True	included
EXOC3	turquoise	11336	EXOC3	unique_official_exact	True	True	True	included
PEX5L	brown	51555	PEX5L	unique_official_exact	True	True	True	included
ATP10B	brown	23120	ATP10B	unique_official_exact	True	True	True	included
GREB1	green	9687	GREB1	unique_official_exact	True	True	True	included
ACAN	pink	176	ACAN	unique_official_exact	True	True	True	included
TTN	turquoise	7273	TTN	unique_official_exact	True	True	True	included
CTNNAL1	brown	8727	CTNNAL1	unique_official_exact	True	True	True	included
USP53	green	54532	USP53	unique_official_exact	True	True	True	included
MSR1	blue	4481	MSR1	unique_official_exact	True	True	True	included
PTGDS	green	5730	PTGDS	unique_official_exact	True	True	True	included
AKAP19	brown	84281	AKAP19	unique_official_exact	True	True	True	included
ARGLU1	turquoise	55082	ARGLU1	unique_official_exact	True	True	True	included
CRISPLD2	red	83716	CRISPLD2	unique_official_exact	True	True	True	included
ZBTB16	pink	7704	ZBTB16	unique_official_exact	True	True	True	included
FRAS1	brown	80144	FRAS1	unique_official_exact	True	True	True	included
LAPTM5	blue	7805	LAPTM5	unique_official_exact	True	True	True	included
