resource	comparison	module_id	block	removed_genes	remaining_up	remaining_down	delta_S_full	delta_S_after_block_removal	change_in_delta_S	status
GSE148059_C02	GSE148059_C02	late_allcell_residual	black	68	1237	1576	-2.8827392333650472e-05	-9.338168141121794e-05	-6.455428907756747e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	blue	145	1230	1506	-2.8827392333650472e-05	-4.562824434767136e-05	-1.6800852014020888e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	brown	174	1245	1462	-2.8827392333650472e-05	-5.2146334373860535e-05	-2.3318942040210063e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	green	62	1283	1536	-2.8827392333650472e-05	5.649861872621245e-05	8.532601105986292e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	magenta	17	1283	1581	-2.8827392333650472e-05	-1.4082331623294802e-05	1.474506071035567e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	pink	42	1261	1578	-2.8827392333650472e-05	-0.000232862560491127	-0.00020403516815747653	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	red	71	1289	1521	-2.8827392333650472e-05	-6.840041041563066e-05	-3.957301808198019e-05	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	turquoise	164	1171	1546	-2.8827392333650472e-05	0.00010453326837203512	0.0001333606607056856	COMPLETED
GSE148059_C02	GSE148059_C02	late_allcell_residual	yellow	159	1189	1533	-2.8827392333650472e-05	-0.00021061775119105233	-0.00018179035885740186	COMPLETED
GSE148059_C02	GSE148059_C02	late_neuron_residual	black	5	72	195	-0.0006576252344175027	-0.0005021081599510941	0.0001555170744664086	COMPLETED
GSE148059_C02	GSE148059_C02	late_neuron_residual	blue	15	67	190	-0.0006576252344175027	-0.000391370781602803	0.0002662544528146997	COMPLETED
GSE148059_C02	GSE148059_C02	late_neuron_residual	brown	28	71	173	-0.0006576252344175027	-0.0005281797529125015	0.00012944548150500119	COMPLETED
GSE148059_C02	GSE148059_C02	late_neuron_residual	green	15	72	185	-0.0006576252344175027	-0.0005248704447794486	0.00013275478963805406	COMPLETED
GSE148059_C02	GSE148059_C02	late_neuron_residual	magenta	1	73	198	-0.0006576252344175027	-0.0006590001287625671	-1.3748943450644273e-06	COMPLETED
