raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
5S_rRNA	5S_rRNA	False		unresolved_or_ambiguous		False
7SK	7SK	False	125050	unique_synonym	RN7SK	True
A1BG	A1BG	False	1	official_exact	A1BG	True
A1BG-AS1	A1BG-AS1	False	503538	official_exact	A1BG-AS1	True
A1CF	A1CF	False	29974	official_exact	A1CF	True
A2M	A2M	False	2	official_exact	A2M	True
A2M-AS1	A2M-AS1	False	144571	official_exact	A2M-AS1	True
A2ML1	A2ML1	False	144568	official_exact	A2ML1	True
A2ML1-AS1	A2ML1-AS1	False	100874108	official_exact	A2ML1-AS1	True
A2MP1	A2MP1	False	124903067	unique_synonym	PZP2P	True
A3GALT2	A3GALT2	False	127550	official_exact	A3GALT2	True
A4GALT	A4GALT	False	53947	official_exact	A4GALT	True
A4GNT	A4GNT	False	51146	official_exact	A4GNT	True
AAAS	AAAS	False	8086	official_exact	AAAS	True
AACS	AACS	False	65985	official_exact	AACS	True
AACSP1	AACSP1	False	729522	official_exact	AACSP1	True
AADAC	AADAC	False	13	official_exact	AADAC	True
AADACL2-AS1	AADACL2-AS1	False	101928142	official_exact	AADACL2-AS1	True
AADACL4	AADACL4	False	343066	official_exact	AADACL4	True
AADACP1	AADACP1	False	201651	official_exact	AADACP1	True
AADAT	AADAT	False	51166	official_exact	AADAT	True
AAED1	AAED1	False	195827	unique_synonym	PRXL2C	True
AAGAB	AAGAB	False	79719	official_exact	AAGAB	True
AAK1	AAK1	False	22848	official_exact	AAK1	True
AAMDC	AAMDC	False	28971	official_exact	AAMDC	True
AAMP	AAMP	False	14	official_exact	AAMP	True
AANAT	AANAT	False	15	official_exact	AANAT	True
AAR2	AAR2	False	25980	official_exact	AAR2	True
AARD	AARD	False	441376	official_exact	AARD	True
AARS	AARS	False	16	unique_synonym	AARS1	True
AARS2	AARS2	False	57505	official_exact	AARS2	True
AARSD1	AARSD1	False	80755	official_exact	AARSD1	True
AASDH	AASDH	False	132949	official_exact	AASDH	True
AASDHPPT	AASDHPPT	False	60496	official_exact	AASDHPPT	True
AASS	AASS	False	10157	official_exact	AASS	True
AATBC	AATBC	False	284837	official_exact	AATBC	True
AATF	AATF	False	26574	official_exact	AATF	True
AATK	AATK	False	9625	unique_synonym	LMTK1	True
AATK-AS1	AATK-AS1	False	388428	unique_synonym	PVALEF	True
AB015752.1	AB015752.1	False		unresolved_or_ambiguous		False
ABALON	ABALON	False		unresolved_or_ambiguous		False
ABAT	ABAT	False	18	official_exact	ABAT	True
ABBA01000935.2	ABBA01000935.2	False		unresolved_or_ambiguous		False
ABBA01006766.1	ABBA01006766.1	False		unresolved_or_ambiguous		False
ABBA01006766.2	ABBA01006766.2	False		unresolved_or_ambiguous		False
ABBA01031660.1	ABBA01031660.1	False		unresolved_or_ambiguous		False
ABBA01031661.1	ABBA01031661.1	False		unresolved_or_ambiguous		False
ABBA01031663.1	ABBA01031663.1	False		unresolved_or_ambiguous		False
ABBA01031674.1	ABBA01031674.1	False		unresolved_or_ambiguous		False
ABBA01040607.1	ABBA01040607.1	False		unresolved_or_ambiguous		False
ABCA1	ABCA1	False	19	official_exact	ABCA1	True
ABCA10	ABCA10	False	10349	official_exact	ABCA10	True
ABCA11P	ABCA11P	False	79963	official_exact	ABCA11P	True
ABCA12	ABCA12	False	26154	official_exact	ABCA12	True
ABCA13	ABCA13	False	154664	official_exact	ABCA13	True
ABCA17P	ABCA17P	False	650655	official_exact	ABCA17P	True
ABCA2	ABCA2	False	20	official_exact	ABCA2	True
ABCA3	ABCA3	False	21	official_exact	ABCA3	True
ABCA4	ABCA4	False	24	official_exact	ABCA4	True
ABCA5	ABCA5	False	23461	official_exact	ABCA5	True
ABCA6	ABCA6	False	23460	official_exact	ABCA6	True
ABCA7	ABCA7	False	10347	official_exact	ABCA7	True
ABCA8	ABCA8	False	10351	official_exact	ABCA8	True
ABCA9	ABCA9	False	10350	official_exact	ABCA9	True
ABCA9-AS1	ABCA9-AS1	False	104355297	official_exact	ABCA9-AS1	True
ABCB1	ABCB1	False	5243	official_exact	ABCB1	True
ABCB10	ABCB10	False	23456	official_exact	ABCB10	True
ABCB10P1	ABCB10P1	False	56476	official_exact	ABCB10P1	True
ABCB10P3	ABCB10P3	False	728248	official_exact	ABCB10P3	True
ABCB10P4	ABCB10P4	False	100132289	official_exact	ABCB10P4	True
ABCB11	ABCB11	False	8647	official_exact	ABCB11	True
ABCB4	ABCB4	False	5244	official_exact	ABCB4	True
ABCB5	ABCB5	False	340273	official_exact	ABCB5	True
ABCB6	ABCB6	False	10058	official_exact	ABCB6	True
ABCB7	ABCB7	False	22	official_exact	ABCB7	True
ABCB8	ABCB8	False	11194	official_exact	ABCB8	True
ABCB9	ABCB9	False	23457	official_exact	ABCB9	True
ABCC1	ABCC1	False	4363	official_exact	ABCC1	True
ABCC10	ABCC10	False	89845	official_exact	ABCC10	True
ABCC11	ABCC11	False	85320	official_exact	ABCC11	True
ABCC12	ABCC12	False	94160	official_exact	ABCC12	True
ABCC13	ABCC13	False	150000	official_exact	ABCC13	True
ABCC2	ABCC2	False	1244	official_exact	ABCC2	True
ABCC3	ABCC3	False	8714	official_exact	ABCC3	True
ABCC4	ABCC4	False	10257	official_exact	ABCC4	True
ABCC5	ABCC5	False	10057	official_exact	ABCC5	True
ABCC5-AS1	ABCC5-AS1	False	100873982	official_exact	ABCC5-AS1	True
ABCC6	ABCC6	False	368	official_exact	ABCC6	True
ABCC6P1	ABCC6P1	False	653190	official_exact	ABCC6P1	True
ABCC6P2	ABCC6P2	False	730013	official_exact	ABCC6P2	True
ABCC8	ABCC8	False	6833	official_exact	ABCC8	True
ABCC9	ABCC9	False	10060	official_exact	ABCC9	True
ABCD1	ABCD1	False	215	official_exact	ABCD1	True
ABCD1P4	ABCD1P4	False	26957	official_exact	ABCD1P4	True
ABCD1P5	ABCD1P5	False	642762	official_exact	ABCD1P5	True
ABCD2	ABCD2	False	225	official_exact	ABCD2	True
ABCD3	ABCD3	False	5825	official_exact	ABCD3	True
ABCD4	ABCD4	False	5826	official_exact	ABCD4	True
ABCE1	ABCE1	False	6059	official_exact	ABCE1	True
ABCF1	ABCF1	False	23	official_exact	ABCF1	True
ABCF2	ABCF2	False	10061	official_exact	ABCF2	True
ABCF2P1	ABCF2P1	False	344653	official_exact	ABCF2P1	True
ABCF2P2	ABCF2P2	False	100422059	official_exact	ABCF2P2	True
ABCF3	ABCF3	False	55324	official_exact	ABCF3	True
ABCG1	ABCG1	False	9619	official_exact	ABCG1	True
ABCG2	ABCG2	False	9429	official_exact	ABCG2	True
ABCG4	ABCG4	False	64137	official_exact	ABCG4	True
ABCG5	ABCG5	False	64240	official_exact	ABCG5	True
ABCG8	ABCG8	False	64241	official_exact	ABCG8	True
ABHD1	ABHD1	False	84696	official_exact	ABHD1	True
ABHD10	ABHD10	False	55347	official_exact	ABHD10	True
ABHD11	ABHD11	False	83451	official_exact	ABHD11	True
ABHD11-AS1	ABHD11-AS1	False	171022	unique_synonym	BICDL3P	True
ABHD12	ABHD12	False	26090	official_exact	ABHD12	True
ABHD12B	ABHD12B	False	145447	official_exact	ABHD12B	True
ABHD13	ABHD13	False	84945	official_exact	ABHD13	True
ABHD14A	ABHD14A	False	25864	official_exact	ABHD14A	True
ABHD14A-ACY1	ABHD14A-ACY1	False	100526760	official_exact	ABHD14A-ACY1	True
ABHD14B	ABHD14B	False	84836	official_exact	ABHD14B	True
ABHD15	ABHD15	False	116236	official_exact	ABHD15	True
ABHD16A	ABHD16A	False	7920	official_exact	ABHD16A	True
ABHD17A	ABHD17A	False	81926	official_exact	ABHD17A	True
ABHD17AP1	ABHD17AP1	False	728917	official_exact	ABHD17AP1	True
ABHD17AP3	ABHD17AP3	False	648359	official_exact	ABHD17AP3	True
ABHD17AP5	ABHD17AP5	False	91219	official_exact	ABHD17AP5	True
ABHD17AP6	ABHD17AP6	False	644988	official_exact	ABHD17AP6	True
ABHD17B	ABHD17B	False	51104	official_exact	ABHD17B	True
ABHD17C	ABHD17C	False	58489	official_exact	ABHD17C	True
ABHD18	ABHD18	False	80167	official_exact	ABHD18	True
ABHD2	ABHD2	False	11057	official_exact	ABHD2	True
ABHD3	ABHD3	False	171586	official_exact	ABHD3	True
ABHD4	ABHD4	False	63874	official_exact	ABHD4	True
ABHD5	ABHD5	False	51099	official_exact	ABHD5	True
ABHD6	ABHD6	False	57406	official_exact	ABHD6	True
ABHD8	ABHD8	False	79575	official_exact	ABHD8	True
ABI1	ABI1	False	10006	official_exact	ABI1	True
ABI1P1	ABI1P1	False	326268	official_exact	ABI1P1	True
ABI2	ABI2	False	10152	official_exact	ABI2	True
ABI3	ABI3	False	51225	official_exact	ABI3	True
ABI3BP	ABI3BP	False	25890	official_exact	ABI3BP	True
ABL1	ABL1	False	25	official_exact	ABL1	True
ABL2	ABL2	False	27	official_exact	ABL2	True
ABLIM1	ABLIM1	False	3983	official_exact	ABLIM1	True
ABLIM2	ABLIM2	False	84448	official_exact	ABLIM2	True
ABLIM3	ABLIM3	False	22885	official_exact	ABLIM3	True
ABO	ABO	False	28	official_exact	ABO	True
ABR	ABR	False	29	official_exact	ABR	True
ABRA	ABRA	False	137735	official_exact	ABRA	True
ABRACL	ABRACL	False	58527	official_exact	ABRACL	True
ABRAXAS1	ABRAXAS1	False	84142	official_exact	ABRAXAS1	True
ABRAXAS2	ABRAXAS2	False	23172	official_exact	ABRAXAS2	True
ABT1	ABT1	False	29777	official_exact	ABT1	True
ABT1P1	ABT1P1	False	100420695	official_exact	ABT1P1	True
ABTB1	ABTB1	False	80325	official_exact	ABTB1	True
ABTB2	ABTB2	False	25841	official_exact	ABTB2	True
AC000032.1	AC000032.1	False		unresolved_or_ambiguous		False
AC000036.1	AC000036.1	False		unresolved_or_ambiguous		False
AC000058.1	AC000058.1	False		unresolved_or_ambiguous		False
AC000067.1	AC000067.1	False		unresolved_or_ambiguous		False
AC000068.1	AC000068.1	False		unresolved_or_ambiguous		False
AC000068.2	AC000068.2	False		unresolved_or_ambiguous		False
AC000078.1	AC000078.1	False		unresolved_or_ambiguous		False
AC000089.1	AC000089.1	False		unresolved_or_ambiguous		False
AC000095.2	AC000095.2	False		unresolved_or_ambiguous		False
AC000120.1	AC000120.1	False		unresolved_or_ambiguous		False
AC000123.1	AC000123.1	False		unresolved_or_ambiguous		False
AC000123.2	AC000123.2	False		unresolved_or_ambiguous		False
AC000123.3	AC000123.3	False		unresolved_or_ambiguous		False
AC000124.1	AC000124.1	False		unresolved_or_ambiguous		False
AC000367.1	AC000367.1	False		unresolved_or_ambiguous		False
AC000372.1	AC000372.1	False		unresolved_or_ambiguous		False
AC000403.1	AC000403.1	False		unresolved_or_ambiguous		False
AC001226.1	AC001226.1	False		unresolved_or_ambiguous		False
AC001226.2	AC001226.2	False		unresolved_or_ambiguous		False
AC002044.1	AC002044.1	False		unresolved_or_ambiguous		False
AC002044.2	AC002044.2	False		unresolved_or_ambiguous		False
AC002044.3	AC002044.3	False		unresolved_or_ambiguous		False
AC002056.1	AC002056.1	False		unresolved_or_ambiguous		False
AC002056.2	AC002056.2	False		unresolved_or_ambiguous		False
AC002059.1	AC002059.1	False		unresolved_or_ambiguous		False
AC002064.1	AC002064.1	False		unresolved_or_ambiguous		False
AC002064.2	AC002064.2	False		unresolved_or_ambiguous		False
AC002064.3	AC002064.3	False		unresolved_or_ambiguous		False
AC002066.1	AC002066.1	False		unresolved_or_ambiguous		False
AC002069.1	AC002069.1	False		unresolved_or_ambiguous		False
AC002069.2	AC002069.2	False		unresolved_or_ambiguous		False
AC002070.1	AC002070.1	False		unresolved_or_ambiguous		False
AC002075.2	AC002075.2	False		unresolved_or_ambiguous		False
AC002076.1	AC002076.1	False		unresolved_or_ambiguous		False
AC002090.1	AC002090.1	False		unresolved_or_ambiguous		False
AC002091.1	AC002091.1	False		unresolved_or_ambiguous		False
AC002091.2	AC002091.2	False		unresolved_or_ambiguous		False
AC002094.4	AC002094.4	False		unresolved_or_ambiguous		False
AC002094.5	AC002094.5	False		unresolved_or_ambiguous		False
AC002101.1	AC002101.1	False		unresolved_or_ambiguous		False
AC002115.1	AC002115.1	False		unresolved_or_ambiguous		False
AC002115.2	AC002115.2	False		unresolved_or_ambiguous		False
AC002116.2	AC002116.2	False		unresolved_or_ambiguous		False
AC002127.1	AC002127.1	False		unresolved_or_ambiguous		False
AC002127.2	AC002127.2	False		unresolved_or_ambiguous		False
AC002128.1	AC002128.1	False		unresolved_or_ambiguous		False
AC002128.2	AC002128.2	False		unresolved_or_ambiguous		False
AC002306.1	AC002306.1	False		unresolved_or_ambiguous		False
AC002310.1	AC002310.1	False		unresolved_or_ambiguous		False
AC002310.2	AC002310.2	False		unresolved_or_ambiguous		False
AC002310.3	AC002310.3	False		unresolved_or_ambiguous		False
AC002310.6	AC002310.6	False		unresolved_or_ambiguous		False
AC002347.1	AC002347.1	False		unresolved_or_ambiguous		False
AC002347.2	AC002347.2	False		unresolved_or_ambiguous		False
AC002350.1	AC002350.1	False		unresolved_or_ambiguous		False
AC002350.2	AC002350.2	False		unresolved_or_ambiguous		False
AC002351.1	AC002351.1	False		unresolved_or_ambiguous		False
AC002366.1	AC002366.1	False		unresolved_or_ambiguous		False
AC002367.1	AC002367.1	False		unresolved_or_ambiguous		False
AC002368.1	AC002368.1	False		unresolved_or_ambiguous		False
AC002383.1	AC002383.1	False		unresolved_or_ambiguous		False
AC002384.2	AC002384.2	False		unresolved_or_ambiguous		False
AC002398.1	AC002398.1	False		unresolved_or_ambiguous		False
AC002400.1	AC002400.1	False		unresolved_or_ambiguous		False
AC002401.1	AC002401.1	False		unresolved_or_ambiguous		False
AC002401.2	AC002401.2	False		unresolved_or_ambiguous		False
AC002401.3	AC002401.3	False		unresolved_or_ambiguous		False
AC002401.4	AC002401.4	False		unresolved_or_ambiguous		False
AC002407.1	AC002407.1	False		unresolved_or_ambiguous		False
AC002428.1	AC002428.1	False		unresolved_or_ambiguous		False
AC002428.2	AC002428.2	False		unresolved_or_ambiguous		False
AC002429.2	AC002429.2	False		unresolved_or_ambiguous		False
AC002451.1	AC002451.1	False		unresolved_or_ambiguous		False
AC002451.2	AC002451.2	False		unresolved_or_ambiguous		False
AC002454.1	AC002454.1	False		unresolved_or_ambiguous		False
AC002456.1	AC002456.1	False		unresolved_or_ambiguous		False
AC002463.1	AC002463.1	False		unresolved_or_ambiguous		False
AC002464.1	AC002464.1	False		unresolved_or_ambiguous		False
AC002467.1	AC002467.1	False		unresolved_or_ambiguous		False
AC002470.1	AC002470.1	False		unresolved_or_ambiguous		False
AC002472.1	AC002472.1	False		unresolved_or_ambiguous		False
AC002472.3	AC002472.3	False		unresolved_or_ambiguous		False
AC002480.1	AC002480.1	False		unresolved_or_ambiguous		False
AC002480.2	AC002480.2	False		unresolved_or_ambiguous		False
AC002480.3	AC002480.3	False		unresolved_or_ambiguous		False
AC002480.4	AC002480.4	False		unresolved_or_ambiguous		False
AC002511.1	AC002511.1	False		unresolved_or_ambiguous		False
AC002511.2	AC002511.2	False		unresolved_or_ambiguous		False
AC002519.1	AC002519.1	False		unresolved_or_ambiguous		False
AC002519.2	AC002519.2	False		unresolved_or_ambiguous		False
AC002524.1	AC002524.1	False		unresolved_or_ambiguous		False
AC002525.1	AC002525.1	False		unresolved_or_ambiguous		False
AC002540.1	AC002540.1	False		unresolved_or_ambiguous		False
AC002542.1	AC002542.1	False		unresolved_or_ambiguous		False
AC002543.1	AC002543.1	False		unresolved_or_ambiguous		False
AC002546.1	AC002546.1	False		unresolved_or_ambiguous		False
AC002546.2	AC002546.2	False		unresolved_or_ambiguous		False
AC002550.2	AC002550.2	False		unresolved_or_ambiguous		False
AC002551.1	AC002551.1	False		unresolved_or_ambiguous		False
AC002553.1	AC002553.1	False		unresolved_or_ambiguous		False
AC002553.2	AC002553.2	False		unresolved_or_ambiguous		False
AC002553.4	AC002553.4	False		unresolved_or_ambiguous		False
AC002558.1	AC002558.1	False		unresolved_or_ambiguous		False
AC002558.2	AC002558.2	False		unresolved_or_ambiguous		False
AC002558.3	AC002558.3	False		unresolved_or_ambiguous		False
AC002563.1	AC002563.1	False		unresolved_or_ambiguous		False
AC002984.1	AC002984.1	False		unresolved_or_ambiguous		False
AC002985.2	AC002985.2	False		unresolved_or_ambiguous		False
AC003001.1	AC003001.1	False		unresolved_or_ambiguous		False
AC003001.2	AC003001.2	False		unresolved_or_ambiguous		False
AC003002.1	AC003002.1	False		unresolved_or_ambiguous		False
AC003002.3	AC003002.3	False		unresolved_or_ambiguous		False
AC003002.4	AC003002.4	False		unresolved_or_ambiguous		False
AC003005.2	AC003005.2	False		unresolved_or_ambiguous		False
AC003009.1	AC003009.1	False		unresolved_or_ambiguous		False
AC003029.1	AC003029.1	False		unresolved_or_ambiguous		False
AC003035.1	AC003035.1	False		unresolved_or_ambiguous		False
AC003035.2	AC003035.2	False		unresolved_or_ambiguous		False
AC003043.1	AC003043.1	False		unresolved_or_ambiguous		False
AC003070.1	AC003070.1	False		unresolved_or_ambiguous		False
AC003071.1	AC003071.1	False		unresolved_or_ambiguous		False
AC003072.1	AC003072.1	False		unresolved_or_ambiguous		False
AC003075.1	AC003075.1	False		unresolved_or_ambiguous		False
AC003080.1	AC003080.1	False		unresolved_or_ambiguous		False
AC003084.1	AC003084.1	False		unresolved_or_ambiguous		False
AC003092.1	AC003092.1	False		unresolved_or_ambiguous		False
AC003092.2	AC003092.2	False		unresolved_or_ambiguous		False
AC003098.1	AC003098.1	False		unresolved_or_ambiguous		False
AC003101.1	AC003101.1	False		unresolved_or_ambiguous		False
AC003101.2	AC003101.2	False		unresolved_or_ambiguous		False
AC003102.1	AC003102.1	False		unresolved_or_ambiguous		False
AC003102.2	AC003102.2	False		unresolved_or_ambiguous		False
AC003659.1	AC003659.1	False		unresolved_or_ambiguous		False
AC003666.1	AC003666.1	False		unresolved_or_ambiguous		False
AC003669.1	AC003669.1	False		unresolved_or_ambiguous		False
AC003681.1	AC003681.1	False		unresolved_or_ambiguous		False
AC003682.1	AC003682.1	False		unresolved_or_ambiguous		False
AC003684.1	AC003684.1	False		unresolved_or_ambiguous		False
AC003687.1	AC003687.1	False		unresolved_or_ambiguous		False
AC003688.2	AC003688.2	False		unresolved_or_ambiguous		False
AC003956.1	AC003956.1	False		unresolved_or_ambiguous		False
AC003957.1	AC003957.1	False		unresolved_or_ambiguous		False
AC003958.2	AC003958.2	False		unresolved_or_ambiguous		False
AC003965.1	AC003965.1	False		unresolved_or_ambiguous		False
AC003973.1	AC003973.1	False		unresolved_or_ambiguous		False
AC003973.2	AC003973.2	False		unresolved_or_ambiguous		False
AC003973.3	AC003973.3	False		unresolved_or_ambiguous		False
AC003975.1	AC003975.1	False		unresolved_or_ambiguous		False
AC003982.1	AC003982.1	False		unresolved_or_ambiguous		False
AC003985.2	AC003985.2	False		unresolved_or_ambiguous		False
AC003986.1	AC003986.1	False		unresolved_or_ambiguous		False
AC003986.2	AC003986.2	False		unresolved_or_ambiguous		False
AC003986.3	AC003986.3	False		unresolved_or_ambiguous		False
AC003989.1	AC003989.1	False		unresolved_or_ambiguous		False
AC003989.2	AC003989.2	False		unresolved_or_ambiguous		False
AC003991.1	AC003991.1	False		unresolved_or_ambiguous		False
AC003991.2	AC003991.2	False		unresolved_or_ambiguous		False
AC003992.1	AC003992.1	False		unresolved_or_ambiguous		False
AC004000.1	AC004000.1	False		unresolved_or_ambiguous		False
AC004004.1	AC004004.1	False		unresolved_or_ambiguous		False
AC004012.1	AC004012.1	False		unresolved_or_ambiguous		False
AC004022.1	AC004022.1	False		unresolved_or_ambiguous		False
AC004022.2	AC004022.2	False		unresolved_or_ambiguous		False
AC004023.1	AC004023.1	False		unresolved_or_ambiguous		False
AC004024.1	AC004024.1	False		unresolved_or_ambiguous		False
AC004034.1	AC004034.1	False		unresolved_or_ambiguous		False
AC004039.1	AC004039.1	False		unresolved_or_ambiguous		False
AC004053.1	AC004053.1	False		unresolved_or_ambiguous		False
AC004057.1	AC004057.1	False		unresolved_or_ambiguous		False
AC004063.1	AC004063.1	False		unresolved_or_ambiguous		False
AC004066.2	AC004066.2	False		unresolved_or_ambiguous		False
AC004067.1	AC004067.1	False		unresolved_or_ambiguous		False
AC004069.1	AC004069.1	False		unresolved_or_ambiguous		False
AC004076.1	AC004076.1	False		unresolved_or_ambiguous		False
AC004076.2	AC004076.2	False		unresolved_or_ambiguous		False
AC004080.2	AC004080.2	False		unresolved_or_ambiguous		False
AC004080.4	AC004080.4	False		unresolved_or_ambiguous		False
AC004112.1	AC004112.1	False		unresolved_or_ambiguous		False
AC004129.2	AC004129.2	False		unresolved_or_ambiguous		False
AC004130.1	AC004130.1	False		unresolved_or_ambiguous		False
AC004134.1	AC004134.1	False		unresolved_or_ambiguous		False
AC004147.2	AC004147.2	False		unresolved_or_ambiguous		False
AC004148.1	AC004148.1	False		unresolved_or_ambiguous		False
AC004148.2	AC004148.2	False		unresolved_or_ambiguous		False
