raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
OR2AT4	OR2AT4	False	341152	official_exact	OR2AT4	True
FAM72D	FAM72D	False	728833	unique_synonym	RUMY4	True
TMEM159	TMEM159	False	57146	unique_synonym	LDAF1	True
GPT2	GPT2	False	84706	official_exact	GPT2	True
UBE2S	UBE2S	False	27338	official_exact	UBE2S	True
ARHGAP24	ARHGAP24	False	83478	official_exact	ARHGAP24	True
CHRFAM7A	CHRFAM7A	False	89832	official_exact	CHRFAM7A	True
PLAGL1	PLAGL1	False	5325	official_exact	PLAGL1	True
EGR2	EGR2	False	1959	official_exact	EGR2	True
PTX3	PTX3	False	5806	official_exact	PTX3	True
CECR2	CECR2	False	27443	official_exact	CECR2	True
ISG20	ISG20	False	3669	official_exact	ISG20	True
GRIA2	GRIA2	False	2891	official_exact	GRIA2	True
METRN	METRN	False	79006	official_exact	METRN	True
ZNF264	ZNF264	False	9422	official_exact	ZNF264	True
FAM71F2	FAM71F2	False	346653	unique_synonym	GARIN1A	True
SDK2	SDK2	False	54549	official_exact	SDK2	True
ANO1	ANO1	False	55107	official_exact	ANO1	True
JUND	JUND	False	3727	official_exact	JUND	True
ABHD12	ABHD12	False	26090	official_exact	ABHD12	True
POU3F1	POU3F1	False	5453	official_exact	POU3F1	True
HYOU1	HYOU1	False	10525	official_exact	HYOU1	True
GHR	GHR	False	2690	official_exact	GHR	True
CD300LG	CD300LG	False	146894	official_exact	CD300LG	True
A3GALT2	A3GALT2	False	127550	official_exact	A3GALT2	True
LDLRAD3	LDLRAD3	False	143458	official_exact	LDLRAD3	True
SEMA7A	SEMA7A	False	8482	official_exact	SEMA7A	True
KLB	KLB	False	152831	official_exact	KLB	True
TBCB	TBCB	False	1155	official_exact	TBCB	True
EIF4A1	EIF4A1	False	1973	official_exact	EIF4A1	True
YBX3	YBX3	False	8531	official_exact	YBX3	True
MBP	MBP	False	4155	official_exact	MBP	True
DSC1	DSC1	False	1823	official_exact	DSC1	True
FAM241A	FAM241A	False	132720	official_exact	FAM241A	True
FA2H	FA2H	False	79152	official_exact	FA2H	True
LYRM9	LYRM9	False	201229	official_exact	LYRM9	True
ADA	ADA	False	100	official_exact	ADA	True
CAMK2B	CAMK2B	False	816	official_exact	CAMK2B	True
FGF13	FGF13	False	2258	official_exact	FGF13	True
COL9A1	COL9A1	False	1297	official_exact	COL9A1	True
CEP85	CEP85	False	64793	official_exact	CEP85	True
MCL1	MCL1	False	4170	official_exact	MCL1	True
TIA1	TIA1	False	7072	official_exact	TIA1	True
NBPF3	NBPF3	False	84224	official_exact	NBPF3	True
CLDN19	CLDN19	False	149461	official_exact	CLDN19	True
FAM72A	FAM72A	False	729533	unique_synonym	RUMY1	True
C3orf80	C3orf80	False	401097	official_exact	C3orf80	True
CUEDC2	CUEDC2	False	79004	official_exact	CUEDC2	True
P2RY2	P2RY2	False	5029	official_exact	P2RY2	True
C12orf56	C12orf56	False	115749	official_exact	C12orf56	True
LIPC	LIPC	False	3990	official_exact	LIPC	True
JUNB	JUNB	False	3726	official_exact	JUNB	True
GPAM	GPAM	False	57678	official_exact	GPAM	True
KCTD11	KCTD11	False	147040	official_exact	KCTD11	True
ARHGAP39	ARHGAP39	False	80728	official_exact	ARHGAP39	True
ZNF135	ZNF135	False	7694	official_exact	ZNF135	True
SCN4B	SCN4B	False	6330	official_exact	SCN4B	True
RAP1GAP	RAP1GAP	False	5909	official_exact	RAP1GAP	True
GLDC	GLDC	False	2731	official_exact	GLDC	True
SLC9A3	SLC9A3	False	6550	official_exact	SLC9A3	True
ENPP5	ENPP5	False	59084	official_exact	ENPP5	True
HPN	HPN	False	3249	official_exact	HPN	True
FOSL1	FOSL1	False	8061	official_exact	FOSL1	True
ANKRD30B	ANKRD30B	False	374860	official_exact	ANKRD30B	True
BMP8A	BMP8A	False	353500	official_exact	BMP8A	True
GRIP2	GRIP2	False	80852	official_exact	GRIP2	True
MYRF	MYRF	False	745	official_exact	MYRF	True
TTC9	TTC9	False	23508	official_exact	TTC9	True
PDZD4	PDZD4	False	57595	official_exact	PDZD4	True
CALD1	CALD1	False	800	official_exact	CALD1	True
EYA2	EYA2	False	2139	official_exact	EYA2	True
HMGA1	HMGA1	False	3159	official_exact	HMGA1	True
SORCS3	SORCS3	False	22986	official_exact	SORCS3	True
PHLDB2	PHLDB2	False	90102	official_exact	PHLDB2	True
MATN3	MATN3	False	4148	official_exact	MATN3	True
RBM11	RBM11	False	54033	official_exact	RBM11	True
RNF103	RNF103	False	7844	official_exact	RNF103	True
MED12L	MED12L	False	116931	official_exact	MED12L	True
PLPPR1	PLPPR1	False	54886	official_exact	PLPPR1	True
NXPH4	NXPH4	False	11247	official_exact	NXPH4	True
ZNF578	ZNF578	False	147660	official_exact	ZNF578	True
RAB3IP	RAB3IP	False	117177	official_exact	RAB3IP	True
PPP1R15A	PPP1R15A	False	23645	official_exact	PPP1R15A	True
TGFA	TGFA	False	7039	official_exact	TGFA	True
BOC	BOC	False	91653	official_exact	BOC	True
STK10	STK10	False	6793	official_exact	STK10	True
PRR7	PRR7	False	80758	official_exact	PRR7	True
GRIN2B	GRIN2B	False	2904	official_exact	GRIN2B	True
ART5	ART5	False	116969	official_exact	ART5	True
FMN2	FMN2	False	56776	official_exact	FMN2	True
TNS4	TNS4	False	84951	official_exact	TNS4	True
EGFL6	EGFL6	False	25975	official_exact	EGFL6	True
TMEM237	TMEM237	False	65062	official_exact	TMEM237	True
INPP5F	INPP5F	False	22876	official_exact	INPP5F	True
TGFBI	TGFBI	False	7045	official_exact	TGFBI	True
RBP4	RBP4	False	5950	official_exact	RBP4	True
BEST1	BEST1	False	7439	official_exact	BEST1	True
NMNAT2	NMNAT2	False	23057	official_exact	NMNAT2	True
CYP26B1	CYP26B1	False	56603	official_exact	CYP26B1	True
IRF1	IRF1	False	3659	official_exact	IRF1	True
HOXC11	HOXC11	False	3227	official_exact	HOXC11	True
GLDN	GLDN	False	342035	official_exact	GLDN	True
ELF3	ELF3	False	1999	official_exact	ELF3	True
MFAP5	MFAP5	False	8076	official_exact	MFAP5	True
SRGAP2	SRGAP2	False	23380	official_exact	SRGAP2	True
OR2A2	OR2A2	False	442361	official_exact	OR2A2	True
RAPSN	RAPSN	False	5913	official_exact	RAPSN	True
TRPC6	TRPC6	False	7225	official_exact	TRPC6	True
EXPH5	EXPH5	False	23086	official_exact	EXPH5	True
PEAK1	PEAK1	False	79834	official_exact	PEAK1	True
ADAMTS18	ADAMTS18	False	170692	official_exact	ADAMTS18	True
CDH13	CDH13	False	1012	official_exact	CDH13	True
