module_id	gene_id	symbol	direction	source_contrast
late_allcell_residual	10369	CACNG2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10370	CITED2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10383	TUBB4B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10385	BTN2A2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10391	CORO2B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10392	NOD1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10393	ANAPC10	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1040	CDS1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10406	WFDC2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10411	RAPGEF3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10412	NSA2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10417	SPON2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10418	SPON1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10427	SEC24B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10432	RBM14	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10447	FAM3C	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10450	PPIE	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10457	GPNMB	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10462	CLEC10A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10469	TIMM44	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1047	CLGN	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10476	ATP5PD	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10477	UBE2E3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10479	SLC9A6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10480	EIF3M	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10485	MIR9-1HG	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10487	CAP1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10492	SYNCRIP	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10494	STK25	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1050	CEBPA	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10500	SEMA6C	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10513	APPBP2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10514	MYBBP1A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10529	NEBL	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10537	UBD	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	105372481	ERVK3-1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	105378803	LRRC53	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10541	ANP32B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10550	ARL6IP5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10552	ARPC1A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1056	CEL	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10560	SLC19A2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10561	IFI44	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10563	CXCL13	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10576	CCT2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10577	NPC2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10587	TXNRD2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10588	MTHFS	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10590	SCGN	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10605	PAIP1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10606	PAICS	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10612	TRIM3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10627	MYL12A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10628	TXNIP	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10630	PDPN	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10631	POSTN	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10644	IGF2BP2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10653	SPINT2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10655	DMRT2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10667	FARS2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10675	CSPG5	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10677	AVIL	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10678	B3GNT2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10687	PNMA2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10690	FUT9	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10718	NRG3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10736	SIX2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10772	SRSF10	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10773	ZBTB6	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10776	ARPP19	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10777	ARPP21	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10788	IQGAP2	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10793	ZNF273	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10794	ZNF460	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10801	SEPTIN9	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10814	CPLX2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10840	ALDH1L1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10846	PDE10A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10848	PPP1R13L	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10857	PGRMC1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10863	ADAM28	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10865	ARID5A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10873	ME3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10874	NMU	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10875	FGL2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10888	GPR83	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10892	MALT1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10893	MMP24	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10900	RUNDC3A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10903	MTMR11	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10905	MAN1A2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10907	TXNL4A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10933	MORF4L1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10948	STARD3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	10952	SEC61B	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10953	TOMM34	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10957	PNRC1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10959	TMED2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10989	IMMT	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	10990	LILRB5	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11000	SLC27A3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11006	LILRB4	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11014	KDELR2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11015	KDELR3	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11027	LILRA2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11030	RBPMS	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11037	STON1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	1104	RCC1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11041	B4GAT1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11045	UPK1A	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11054	OGFR	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11057	ABHD2	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11061	CNMD	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11062	DUS4L	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11078	TRIOBP	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	110806277	PNMA8C	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	110806279	SMIM28	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	110806280	CCDC194	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11092	SPACA9	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11122	PTPRT	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11127	KIF3A	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11135	CDC42EP1	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	11136	SLC7A9	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1114	CHGB	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11141	IL1RAPL1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11154	AP4S1	down	late_allcell_DPN_vs_diabetes
late_allcell_residual	11155	LDB3	up	late_allcell_DPN_vs_diabetes
late_allcell_residual	1116	CHI3L1	down	late_allcell_DPN_vs_diabetes
