endpoint	background	n_genes	n_samples	matrix	sha256
original_hDRG_DPN_control	statfree	28939	12	inputs/matrices/original_hDRG_DPN_control__statfree.tsv.gz	5e9ffde9e759193f6981494ade9d232241ae8280dc7da48227e2b69ead00e7e8
original_JCI_sural_DPN_control	statfree	17921	12	inputs/matrices/original_JCI_sural_DPN_control__statfree.tsv.gz	aee029392e1b7c32511528b1d857cab33134194f5acefb2c12027ac012b3bf52
original_JCI_sural_severe_moderate	statfree	19026	17	inputs/matrices/original_JCI_sural_severe_moderate__statfree.tsv.gz	1645fae80d82b3d9b869febbb545cf3d458922a32fc148659d42202064dd9c79
GSE148059_C02	statfree	24108	77	inputs/matrices/GSE148059_C02__statfree.tsv.gz	3e5d04856e4b2973066bc8c1f4dac4b9e66a2917641bde51370e58accc33bb23
