raw_gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol	include_row
MIR3689C	MIR3689C	False	100616333	official_exact	MIR3689C	True
MIR3689D1	MIR3689D1	False	100616131	official_exact	MIR3689D1	True
MIR3689D2	MIR3689D2	False	100616344	official_exact	MIR3689D2	True
MIR3689E	MIR3689E	False	100616460	official_exact	MIR3689E	True
MIR3689F	MIR3689F	False	100616212	official_exact	MIR3689F	True
MIR369	MIR369	False	442914	official_exact	MIR369	True
MIR3690	MIR3690	False	100500894	official_exact	MIR3690	True
MIR3691	MIR3691	False	100500900	official_exact	MIR3691	True
MIR3692	MIR3692	False	100500899	official_exact	MIR3692	True
MIR3714	MIR3714	False	100500913	official_exact	MIR3714	True
MIR371A	MIR371A	False	442916	official_exact	MIR371A	True
MIR371B	MIR371B	False	100616185	official_exact	MIR371B	True
MIR372	MIR372	False	442917	official_exact	MIR372	True
MIR373	MIR373	False	442918	official_exact	MIR373	True
MIR374A	MIR374A	False	442919	official_exact	MIR374A	True
MIR374B	MIR374B	False	100126317	official_exact	MIR374B	True
MIR374C	MIR374C	False	100500807	official_exact	MIR374C	True
MIR375	MIR375	False	494324	official_exact	MIR375	True
MIR376A1	MIR376A1	False	494325	official_exact	MIR376A1	True
MIR376A2	MIR376A2	False	664615	official_exact	MIR376A2	True
MIR376B	MIR376B	False	574435	official_exact	MIR376B	True
MIR376C	MIR376C	False	442913	official_exact	MIR376C	True
MIR377	MIR377	False	494326	official_exact	MIR377	True
MIR378C	MIR378C	False	100422867	official_exact	MIR378C	True
MIR378D1	MIR378D1	False	100616201	official_exact	MIR378D1	True
MIR378D2	MIR378D2	False	100616169	official_exact	MIR378D2	True
MIR378E	MIR378E	False	100616498	official_exact	MIR378E	True
MIR378F	MIR378F	False	100616492	official_exact	MIR378F	True
MIR378J	MIR378J	False	102465136	official_exact	MIR378J	True
MIR379	MIR379	False	494328	official_exact	MIR379	True
MIR380	MIR380	False	494329	official_exact	MIR380	True
MIR381	MIR381	False	494330	official_exact	MIR381	True
MIR381HG	MIR381HG	False	378881	official_exact	MIR381HG	True
MIR382	MIR382	False	494331	official_exact	MIR382	True
MIR383	MIR383	False	494332	official_exact	MIR383	True
MIR384	MIR384	False	494333	official_exact	MIR384	True
MIR3907	MIR3907	False	100500835	official_exact	MIR3907	True
MIR3908	MIR3908	False	100500909	official_exact	MIR3908	True
MIR3909	MIR3909	False	100500826	official_exact	MIR3909	True
MIR3910-1	MIR3910-1	False	100500821	official_exact	MIR3910-1	True
MIR3910-2	MIR3910-2	False	100500902	official_exact	MIR3910-2	True
MIR3911	MIR3911	False	100500872	official_exact	MIR3911	True
MIR3912	MIR3912	False	100500831	official_exact	MIR3912	True
