gene	gene_input	gene_recovered_from_excel_date	human_gene_id	mapping_method	current_human_symbol
MIR1302-2HG	MIR1302-2HG	False	107985730	official_exact	MIR1302-2HG
FAM138A	FAM138A	False	645520	official_exact	FAM138A
OR4F5	OR4F5	False	79501	official_exact	OR4F5
AL627309.1	AL627309.1	False		unresolved_or_ambiguous	
AL627309.3	AL627309.3	False		unresolved_or_ambiguous	
AL627309.2	AL627309.2	False		unresolved_or_ambiguous	
AL627309.5	AL627309.5	False		unresolved_or_ambiguous	
AL627309.4	AL627309.4	False		unresolved_or_ambiguous	
AP006222.2	AP006222.2	False		unresolved_or_ambiguous	
AL732372.1	AL732372.1	False		unresolved_or_ambiguous	
OR4F29	OR4F29	False	729759	official_exact	OR4F29
AC114498.1	AC114498.1	False		unresolved_or_ambiguous	
OR4F16	OR4F16	False	81399	official_exact	OR4F16
AL669831.2	AL669831.2	False		unresolved_or_ambiguous	
LINC01409	LINC01409	False	105378580	official_exact	LINC01409
FAM87B	FAM87B	False	400728	official_exact	FAM87B
LINC01128	LINC01128	False	643837	official_exact	LINC01128
LINC00115	LINC00115	False	79854	official_exact	LINC00115
FAM41C	FAM41C	False	284593	official_exact	FAM41C
AL645608.6	AL645608.6	False		unresolved_or_ambiguous	
AL645608.2	AL645608.2	False		unresolved_or_ambiguous	
LINC02593	LINC02593	False	100130417	official_exact	LINC02593
SAMD11	SAMD11	False	148398	official_exact	SAMD11
NOC2L	NOC2L	False	26155	official_exact	NOC2L
KLHL17	KLHL17	False	339451	official_exact	KLHL17
PLEKHN1	PLEKHN1	False	84069	official_exact	PLEKHN1
PERM1	PERM1	False	84808	official_exact	PERM1
AL645608.7	AL645608.7	False		unresolved_or_ambiguous	
HES4	HES4	False	57801	official_exact	HES4
ISG15	ISG15	False	9636	official_exact	ISG15
AL645608.1	AL645608.1	False		unresolved_or_ambiguous	
AGRN	AGRN	False	375790	official_exact	AGRN
AL645608.8	AL645608.8	False		unresolved_or_ambiguous	
RNF223	RNF223	False	401934	official_exact	RNF223
C1orf159	C1orf159	False	54991	official_exact	C1orf159
AL390719.3	AL390719.3	False		unresolved_or_ambiguous	
LINC01342	LINC01342	False	254099	official_exact	LINC01342
AL390719.2	AL390719.2	False		unresolved_or_ambiguous	
TTLL10-AS1	TTLL10-AS1	False	100506376	official_exact	TTLL10-AS1
TTLL10	TTLL10	False	254173	official_exact	TTLL10
TNFRSF18	TNFRSF18	False	8784	official_exact	TNFRSF18
TNFRSF4	TNFRSF4	False	7293	official_exact	TNFRSF4
SDF4	SDF4	False	51150	official_exact	SDF4
B3GALT6	B3GALT6	False	126792	official_exact	B3GALT6
C1QTNF12	C1QTNF12	False	388581	official_exact	C1QTNF12
AL162741.1	AL162741.1	False		unresolved_or_ambiguous	
UBE2J2	UBE2J2	False	118424	official_exact	UBE2J2
LINC01786	LINC01786	False	101928895	official_exact	LINC01786
SCNN1D	SCNN1D	False	6339	official_exact	SCNN1D
ACAP3	ACAP3	False	116983	official_exact	ACAP3
PUSL1	PUSL1	False	126789	official_exact	PUSL1
INTS11	INTS11	False	54973	official_exact	INTS11
AL139287.1	AL139287.1	False		unresolved_or_ambiguous	
CPTP	CPTP	False	80772	official_exact	CPTP
TAS1R3	TAS1R3	False	83756	official_exact	TAS1R3
DVL1	DVL1	False	1855	official_exact	DVL1
MXRA8	MXRA8	False	54587	official_exact	MXRA8
AURKAIP1	AURKAIP1	False	54998	official_exact	AURKAIP1
CCNL2	CCNL2	False	81669	official_exact	CCNL2
MRPL20-AS1	MRPL20-AS1	False	148413	official_exact	MRPL20-AS1
MRPL20	MRPL20	False	55052	official_exact	MRPL20
AL391244.2	AL391244.2	False		unresolved_or_ambiguous	
ANKRD65	ANKRD65	False	441869	official_exact	ANKRD65
AL391244.1	AL391244.1	False		unresolved_or_ambiguous	
TMEM88B	TMEM88B	False	643965	unique_synonym	TMEM278
LINC01770	LINC01770	False	102724312	official_exact	LINC01770
VWA1	VWA1	False	64856	official_exact	VWA1
ATAD3C	ATAD3C	False	219293	official_exact	ATAD3C
ATAD3B	ATAD3B	False	83858	official_exact	ATAD3B
ATAD3A	ATAD3A	False	55210	official_exact	ATAD3A
TMEM240	TMEM240	False	339453	official_exact	TMEM240
SSU72	SSU72	False	29101	official_exact	SSU72
AL645728.1	AL645728.1	False		unresolved_or_ambiguous	
FNDC10	FNDC10	False	643988	official_exact	FNDC10
AL691432.4	AL691432.4	False		unresolved_or_ambiguous	
AL691432.2	AL691432.2	False		unresolved_or_ambiguous	
MIB2	MIB2	False	142678	official_exact	MIB2
MMP23B	MMP23B	False	8510	official_exact	MMP23B
CDK11B	CDK11B	False	984	official_exact	CDK11B
FO704657.1	FO704657.1	False		unresolved_or_ambiguous	
SLC35E2B	SLC35E2B	False	728661	official_exact	SLC35E2B
CDK11A	CDK11A	False	728642	official_exact	CDK11A
SLC35E2A	SLC35E2A	False	9906	official_exact	SLC35E2A
NADK	NADK	False	65220	official_exact	NADK
GNB1	GNB1	False	2782	official_exact	GNB1
AL109917.1	AL109917.1	False		unresolved_or_ambiguous	
CALML6	CALML6	False	163688	official_exact	CALML6
TMEM52	TMEM52	False	339456	official_exact	TMEM52
CFAP74	CFAP74	False	85452	official_exact	CFAP74
AL391845.2	AL391845.2	False		unresolved_or_ambiguous	
GABRD	GABRD	False	2563	official_exact	GABRD
AL391845.1	AL391845.1	False		unresolved_or_ambiguous	
PRKCZ	PRKCZ	False	5590	official_exact	PRKCZ
AL590822.2	AL590822.2	False		unresolved_or_ambiguous	
PRKCZ-AS1	PRKCZ-AS1	False	100506504	official_exact	PRKCZ-AS1
FAAP20	FAAP20	False	199990	official_exact	FAAP20
AL590822.1	AL590822.1	False		unresolved_or_ambiguous	
SKI	SKI	False	6497	official_exact	SKI
AL590822.3	AL590822.3	False		unresolved_or_ambiguous	
MORN1	MORN1	False	79906	official_exact	MORN1
AL589739.1	AL589739.1	False		unresolved_or_ambiguous	
AL513477.2	AL513477.2	False		unresolved_or_ambiguous	
RER1	RER1	False	11079	official_exact	RER1
PEX10	PEX10	False	5192	official_exact	PEX10
PLCH2	PLCH2	False	9651	official_exact	PLCH2
AL139246.1	AL139246.1	False		unresolved_or_ambiguous	
AL139246.4	AL139246.4	False		unresolved_or_ambiguous	
PANK4	PANK4	False	55229	official_exact	PANK4
HES5	HES5	False	388585	official_exact	HES5
AL139246.5	AL139246.5	False		unresolved_or_ambiguous	
TNFRSF14-AS1	TNFRSF14-AS1	False	115110	official_exact	TNFRSF14-AS1
TNFRSF14	TNFRSF14	False	8764	official_exact	TNFRSF14
AL139246.3	AL139246.3	False		unresolved_or_ambiguous	
PRXL2B	PRXL2B	False	127281	official_exact	PRXL2B
MMEL1	MMEL1	False	79258	official_exact	MMEL1
AL831784.1	AL831784.1	False		unresolved_or_ambiguous	
TTC34	TTC34	False	100287898	official_exact	TTC34
AC242022.2	AC242022.2	False		unresolved_or_ambiguous	
AC242022.1	AC242022.1	False		unresolved_or_ambiguous	
AL592464.2	AL592464.2	False		unresolved_or_ambiguous	
AL592464.3	AL592464.3	False		unresolved_or_ambiguous	
AL592464.1	AL592464.1	False		unresolved_or_ambiguous	
AL589702.1	AL589702.1	False		unresolved_or_ambiguous	
ACTRT2	ACTRT2	False	140625	official_exact	ACTRT2
PRDM16-DT	PRDM16-DT	False	440556	official_exact	PRDM16-DT
PRDM16	PRDM16	False	63976	official_exact	PRDM16
AL008733.1	AL008733.1	False		unresolved_or_ambiguous	
AL590438.1	AL590438.1	False		unresolved_or_ambiguous	
AL354743.2	AL354743.2	False		unresolved_or_ambiguous	
AL354743.1	AL354743.1	False		unresolved_or_ambiguous	
ARHGEF16	ARHGEF16	False	27237	official_exact	ARHGEF16
AL512413.1	AL512413.1	False		unresolved_or_ambiguous	
MEGF6	MEGF6	False	1953	official_exact	MEGF6
AL513320.1	AL513320.1	False		unresolved_or_ambiguous	
TPRG1L	TPRG1L	False	127262	official_exact	TPRG1L
WRAP73	WRAP73	False	49856	official_exact	WRAP73
TP73	TP73	False	7161	official_exact	TP73
AL136528.1	AL136528.1	False		unresolved_or_ambiguous	
AL136528.2	AL136528.2	False		unresolved_or_ambiguous	
CCDC27	CCDC27	False	148870	official_exact	CCDC27
SMIM1	SMIM1	False	388588	official_exact	SMIM1
LRRC47	LRRC47	False	57470	official_exact	LRRC47
AL365330.1	AL365330.1	False		unresolved_or_ambiguous	
CEP104	CEP104	False	9731	official_exact	CEP104
DFFB	DFFB	False	1677	official_exact	DFFB
C1orf174	C1orf174	False	339448	official_exact	C1orf174
LINC01134	LINC01134	False	100133612	official_exact	LINC01134
LINC01346	LINC01346	False	728716	official_exact	LINC01346
LINC01345	LINC01345	False	105376672	official_exact	LINC01345
LINC02780	LINC02780	False	105376673	official_exact	LINC02780
AL805961.1	AL805961.1	False		unresolved_or_ambiguous	
LINC01777	LINC01777	False	284661	official_exact	LINC01777
AL355602.1	AL355602.1	False		unresolved_or_ambiguous	
Z98747.1	Z98747.1	False		unresolved_or_ambiguous	
LINC01646	LINC01646	False	105376679	official_exact	LINC01646
AJAP1	AJAP1	False	55966	official_exact	AJAP1
Z98886.1	Z98886.1	False		unresolved_or_ambiguous	
BX005132.1	BX005132.1	False		unresolved_or_ambiguous	
LINC02781	LINC02781	False	105376680	official_exact	LINC02781
LINC02782	LINC02782	False	105376681	official_exact	LINC02782
AL139823.1	AL139823.1	False		unresolved_or_ambiguous	
Z98259.3	Z98259.3	False		unresolved_or_ambiguous	
Z98259.2	Z98259.2	False		unresolved_or_ambiguous	
Z98259.1	Z98259.1	False		unresolved_or_ambiguous	
AL365255.1	AL365255.1	False		unresolved_or_ambiguous	
NPHP4	NPHP4	False	261734	official_exact	NPHP4
KCNAB2	KCNAB2	False	8514	official_exact	KCNAB2
CHD5	CHD5	False	26038	official_exact	CHD5
RPL22	RPL22	False	6146	official_exact	RPL22
AL031847.1	AL031847.1	False		unresolved_or_ambiguous	
RNF207	RNF207	False	388591	official_exact	RNF207
ICMT	ICMT	False	23463	official_exact	ICMT
LINC00337	LINC00337	False	148645	unique_synonym	ICMT-DT
HES3	HES3	False	390992	official_exact	HES3
GPR153	GPR153	False	387509	official_exact	GPR153
ACOT7	ACOT7	False	11332	official_exact	ACOT7
AL031848.2	AL031848.2	False		unresolved_or_ambiguous	
HES2	HES2	False	54626	official_exact	HES2
ESPN	ESPN	False	83715	official_exact	ESPN
AL031848.1	AL031848.1	False		unresolved_or_ambiguous	
TNFRSF25	TNFRSF25	False	8718	official_exact	TNFRSF25
PLEKHG5	PLEKHG5	False	57449	official_exact	PLEKHG5
NOL9	NOL9	False	79707	official_exact	NOL9
TAS1R1	TAS1R1	False	80835	official_exact	TAS1R1
ZBTB48	ZBTB48	False	3104	official_exact	ZBTB48
KLHL21	KLHL21	False	9903	official_exact	KLHL21
PHF13	PHF13	False	148479	official_exact	PHF13
THAP3	THAP3	False	90326	official_exact	THAP3
DNAJC11	DNAJC11	False	55735	official_exact	DNAJC11
LINC01672	LINC01672	False	100505887	official_exact	LINC01672
AL591163.1	AL591163.1	False		unresolved_or_ambiguous	
CAMTA1-DT	CAMTA1-DT	False	110841581	official_exact	CAMTA1-DT
CAMTA1	CAMTA1	False	23261	official_exact	CAMTA1
AL512330.1	AL512330.1	False		unresolved_or_ambiguous	
CAMTA1-IT1	CAMTA1-IT1	False	124900385	official_exact	CAMTA1-IT1
Z97987.1	Z97987.1	False		unresolved_or_ambiguous	
AL365194.1	AL365194.1	False		unresolved_or_ambiguous	
AL359881.3	AL359881.3	False		unresolved_or_ambiguous	
AL359881.2	AL359881.2	False		unresolved_or_ambiguous	
AL359881.1	AL359881.1	False		unresolved_or_ambiguous	
VAMP3	VAMP3	False	9341	official_exact	VAMP3
Z98884.2	Z98884.2	False		unresolved_or_ambiguous	
PER3	PER3	False	8863	official_exact	PER3
Z98884.1	Z98884.1	False		unresolved_or_ambiguous	
UTS2	UTS2	False	10911	official_exact	UTS2
TNFRSF9	TNFRSF9	False	3604	official_exact	TNFRSF9
PARK7	PARK7	False	11315	official_exact	PARK7
AL034417.4	AL034417.4	False		unresolved_or_ambiguous	
AL034417.3	AL034417.3	False		unresolved_or_ambiguous	
ERRFI1	ERRFI1	False	54206	official_exact	ERRFI1
AL034417.2	AL034417.2	False		unresolved_or_ambiguous	
LINC01714	LINC01714	False	102724539	official_exact	LINC01714
AL358876.2	AL358876.2	False		unresolved_or_ambiguous	
SLC45A1	SLC45A1	False	50651	official_exact	SLC45A1
RERE	RERE	False	473	official_exact	RERE
RERE-AS1	RERE-AS1	False	102724552	official_exact	RERE-AS1
AL357552.2	AL357552.2	False		unresolved_or_ambiguous	
ENO1	ENO1	False	2023	official_exact	ENO1
ENO1-AS1	ENO1-AS1	False	100505975	official_exact	ENO1-AS1
CA6	CA6	False	765	official_exact	CA6
SLC2A7	SLC2A7	False	155184	official_exact	SLC2A7
SLC2A5	SLC2A5	False	6518	official_exact	SLC2A5
GPR157	GPR157	False	80045	official_exact	GPR157
MIR34AHG	MIR34AHG	False	106614088	official_exact	MIR34AHG
LNCTAM34A	LNCTAM34A	False	102724571	official_exact	LNCTAM34A
H6PD	H6PD	False	9563	official_exact	H6PD
SPSB1	SPSB1	False	80176	official_exact	SPSB1
BX323043.1	BX323043.1	False		unresolved_or_ambiguous	
LINC02606	LINC02606	False	100506022	official_exact	LINC02606
AL928921.1	AL928921.1	False		unresolved_or_ambiguous	
SLC25A33	SLC25A33	False	84275	official_exact	SLC25A33
TMEM201	TMEM201	False	199953	official_exact	TMEM201
PIK3CD	PIK3CD	False	5293	official_exact	PIK3CD
PIK3CD-AS1	PIK3CD-AS1	False	644997	official_exact	PIK3CD-AS1
PIK3CD-AS2	PIK3CD-AS2	False	101929074	official_exact	PIK3CD-AS2
CLSTN1	CLSTN1	False	22883	official_exact	CLSTN1
CTNNBIP1	CTNNBIP1	False	56998	official_exact	CTNNBIP1
AL357140.1	AL357140.1	False		unresolved_or_ambiguous	
AL357140.4	AL357140.4	False		unresolved_or_ambiguous	
LZIC	LZIC	False	84328	official_exact	LZIC
AL357140.2	AL357140.2	False		unresolved_or_ambiguous	
NMNAT1	NMNAT1	False	64802	official_exact	NMNAT1
RBP7	RBP7	False	116362	official_exact	RBP7
UBE4B	UBE4B	False	10277	official_exact	UBE4B
KIF1B	KIF1B	False	23095	official_exact	KIF1B
AL139424.3	AL139424.3	False		unresolved_or_ambiguous	
AL139424.2	AL139424.2	False		unresolved_or_ambiguous	
PGD	PGD	False	5226	official_exact	PGD
AL139424.1	AL139424.1	False		unresolved_or_ambiguous	
CENPS	CENPS	False	378708	official_exact	CENPS
CORT	CORT	False	1325	official_exact	CORT
DFFA	DFFA	False	1676	official_exact	DFFA
AL354956.1	AL354956.1	False		unresolved_or_ambiguous	
PEX14	PEX14	False	5195	official_exact	PEX14
AL139423.2	AL139423.2	False		unresolved_or_ambiguous	
CASZ1	CASZ1	False	54897	official_exact	CASZ1
AL139423.1	AL139423.1	False		unresolved_or_ambiguous	
C1orf127	C1orf127	False	148345	unique_synonym	CIROZ
TARDBP	TARDBP	False	23435	official_exact	TARDBP
MASP2	MASP2	False	10747	official_exact	MASP2
AL109811.2	AL109811.2	False		unresolved_or_ambiguous	
SRM	SRM	False	6723	official_exact	SRM
EXOSC10	EXOSC10	False	5394	official_exact	EXOSC10
AL109811.1	AL109811.1	False		unresolved_or_ambiguous	
EXOSC10-AS1	EXOSC10-AS1	False	105376736	official_exact	EXOSC10-AS1
MTOR	MTOR	False	2475	official_exact	MTOR
MTOR-AS1	MTOR-AS1	False	100873935	official_exact	MTOR-AS1
ANGPTL7	ANGPTL7	False	10218	official_exact	ANGPTL7
UBIAD1	UBIAD1	False	29914	official_exact	UBIAD1
AL031291.1	AL031291.1	False		unresolved_or_ambiguous	
DISP3	DISP3	False	57540	official_exact	DISP3
AL590989.1	AL590989.1	False		unresolved_or_ambiguous	
LINC01647	LINC01647	False	101929181	official_exact	LINC01647
AL031731.1	AL031731.1	False		unresolved_or_ambiguous	
FBXO2	FBXO2	False	26232	official_exact	FBXO2
FBXO44	FBXO44	False	93611	official_exact	FBXO44
FBXO6	FBXO6	False	26270	official_exact	FBXO6
MAD2L2	MAD2L2	False	10459	official_exact	MAD2L2
DRAXIN	DRAXIN	False	374946	official_exact	DRAXIN
AGTRAP	AGTRAP	False	57085	official_exact	AGTRAP
C1orf167	C1orf167	False	284498	official_exact	C1orf167
AL953897.1	AL953897.1	False		unresolved_or_ambiguous	
MTHFR	MTHFR	False	4524	official_exact	MTHFR
CLCN6	CLCN6	False	1185	official_exact	CLCN6
NPPA	NPPA	False	4878	official_exact	NPPA
NPPB	NPPB	False	4879	official_exact	NPPB
AL021155.5	AL021155.5	False		unresolved_or_ambiguous	
KIAA2013	KIAA2013	False	90231	official_exact	KIAA2013
PLOD1	PLOD1	False	5351	official_exact	PLOD1
AL096840.2	AL096840.2	False		unresolved_or_ambiguous	
MFN2	MFN2	False	9927	official_exact	MFN2
MIIP	MIIP	False	60672	official_exact	MIIP
TNFRSF8	TNFRSF8	False	943	official_exact	TNFRSF8
AL357835.1	AL357835.1	False		unresolved_or_ambiguous	
TNFRSF1B	TNFRSF1B	False	7133	official_exact	TNFRSF1B
VPS13D	VPS13D	False	55187	official_exact	VPS13D
LINC02766	LINC02766	False	105376744	official_exact	LINC02766
DHRS3	DHRS3	False	9249	official_exact	DHRS3
AC254633.1	AC254633.1	False		unresolved_or_ambiguous	
AADACL4	AADACL4	False	343066	official_exact	AADACL4
AADACL3	AADACL3	False	126767	official_exact	AADACL3
C1orf158	C1orf158	False	93190	unique_synonym	CFAP107
PRAMEF12	PRAMEF12	False	390999	official_exact	PRAMEF12
PRAMEF1	PRAMEF1	False	65121	official_exact	PRAMEF1
LINC01784	LINC01784	False	105376745	official_exact	LINC01784
PRAMEF11	PRAMEF11	False	440560	official_exact	PRAMEF11
HNRNPCL1	HNRNPCL1	False	343069	official_exact	HNRNPCL1
PRAMEF2	PRAMEF2	False	65122	official_exact	PRAMEF2
PRAMEF4	PRAMEF4	False	400735	official_exact	PRAMEF4
PRAMEF10	PRAMEF10	False	343071	official_exact	PRAMEF10
PRAMEF7	PRAMEF7	False	441871	official_exact	PRAMEF7
PRAMEF6	PRAMEF6	False	440561	official_exact	PRAMEF6
PRAMEF27	PRAMEF27	False	101929983	official_exact	PRAMEF27
HNRNPCL3	HNRNPCL3	False	649330	official_exact	HNRNPCL3
PRAMEF25	PRAMEF25	False	441873	official_exact	PRAMEF25
HNRNPCL2	HNRNPCL2	False	440563	official_exact	HNRNPCL2
AC245056.1	AC245056.1	False		unresolved_or_ambiguous	
PRAMEF26	PRAMEF26	False	645359	official_exact	PRAMEF26
HNRNPCL4	HNRNPCL4	False	101060301	official_exact	HNRNPCL4
PRAMEF9	PRAMEF9	False	343070	official_exact	PRAMEF9
PRAMEF13	PRAMEF13	False	400736	official_exact	PRAMEF13
PRAMEF18	PRAMEF18	False	391003	official_exact	PRAMEF18
PRAMEF5	PRAMEF5	False	343068	official_exact	PRAMEF5
PRAMEF8	PRAMEF8	False	391002	official_exact	PRAMEF8
PRAMEF33	PRAMEF33	False	645382	official_exact	PRAMEF33
PRAMEF15	PRAMEF15	False	653619	official_exact	PRAMEF15
AC243961.1	AC243961.1	False		unresolved_or_ambiguous	
PRAMEF14	PRAMEF14	False	729528	official_exact	PRAMEF14
PRAMEF19	PRAMEF19	False	645414	official_exact	PRAMEF19
PRAMEF17	PRAMEF17	False	391004	official_exact	PRAMEF17
PRAMEF20	PRAMEF20	False	645425	official_exact	PRAMEF20
LRRC38	LRRC38	False	126755	official_exact	LRRC38
AL354712.1	AL354712.1	False		unresolved_or_ambiguous	
PDPN	PDPN	False	10630	official_exact	PDPN
AL359771.1	AL359771.1	False		unresolved_or_ambiguous	
PRDM2	PRDM2	False	7799	official_exact	PRDM2
KAZN	KAZN	False	23254	official_exact	KAZN
AL357873.1	AL357873.1	False		unresolved_or_ambiguous	
KAZN-AS1	KAZN-AS1	False	105376762	official_exact	KAZN-AS1
AL031293.1	AL031293.1	False		unresolved_or_ambiguous	
TMEM51-AS1	TMEM51-AS1	False	200197	official_exact	TMEM51-AS1
TMEM51	TMEM51	False	55092	official_exact	TMEM51
C1orf195	C1orf195	False	727684	unique_synonym	TMEM51-AS2
FHAD1	FHAD1	False	114827	official_exact	FHAD1
AL031283.2	AL031283.2	False		unresolved_or_ambiguous	
AL031283.3	AL031283.3	False		unresolved_or_ambiguous	
AL031283.1	AL031283.1	False		unresolved_or_ambiguous	
EFHD2	EFHD2	False	79180	official_exact	EFHD2
CTRC	CTRC	False	11330	official_exact	CTRC
CELA2A	CELA2A	False	63036	official_exact	CELA2A
CELA2B	CELA2B	False	51032	official_exact	CELA2B
CASP9	CASP9	False	842	official_exact	CASP9
DNAJC16	DNAJC16	False	23341	official_exact	DNAJC16
AL121992.3	AL121992.3	False		unresolved_or_ambiguous	
AGMAT	AGMAT	False	79814	official_exact	AGMAT
AL121992.1	AL121992.1	False		unresolved_or_ambiguous	
DDI2-RSC1A1	DDI2-RSC1A1	False		unresolved_or_ambiguous	
AL121992.2	AL121992.2	False		unresolved_or_ambiguous	
PLEKHM2	PLEKHM2	False	23207	official_exact	PLEKHM2
AL450998.3	AL450998.3	False		unresolved_or_ambiguous	
SLC25A34	SLC25A34	False	284723	official_exact	SLC25A34
SLC25A34-AS1	SLC25A34-AS1	False	110806303	official_exact	SLC25A34-AS1
TMEM82	TMEM82	False	388595	official_exact	TMEM82
FBLIM1	FBLIM1	False	54751	official_exact	FBLIM1
UQCRHL	UQCRHL	False	440567	official_exact	UQCRHL
AL450998.2	AL450998.2	False		unresolved_or_ambiguous	
SPEN	SPEN	False	23013	official_exact	SPEN
ZBTB17	ZBTB17	False	7709	official_exact	ZBTB17
SRARP	SRARP	False	149563	official_exact	SRARP
AL355994.3	AL355994.3	False		unresolved_or_ambiguous	
HSPB7	HSPB7	False	27129	official_exact	HSPB7
CLCNKA	CLCNKA	False	1187	official_exact	CLCNKA
CLCNKB	CLCNKB	False	1188	official_exact	CLCNKB
FAM131C	FAM131C	False	348487	official_exact	FAM131C
EPHA2	EPHA2	False	1969	official_exact	EPHA2
AL451042.2	AL451042.2	False		unresolved_or_ambiguous	
AL451042.1	AL451042.1	False		unresolved_or_ambiguous	
ARHGEF19-AS1	ARHGEF19-AS1	False		unresolved_or_ambiguous	
ARHGEF19	ARHGEF19	False	128272	official_exact	ARHGEF19
AL109627.1	AL109627.1	False		unresolved_or_ambiguous	
CPLANE2	CPLANE2	False	79363	official_exact	CPLANE2
FBXO42	FBXO42	False	54455	official_exact	FBXO42
SZRD1	SZRD1	False	26099	official_exact	SZRD1
SPATA21	SPATA21	False	374955	official_exact	SPATA21
NECAP2	NECAP2	False	55707	official_exact	NECAP2
LINC01772	LINC01772	False	107984921	official_exact	LINC01772
AL137802.2	AL137802.2	False		unresolved_or_ambiguous	
AL137802.1	AL137802.1	False		unresolved_or_ambiguous	
LINC01783	LINC01783	False	100132147	official_exact	LINC01783
NBPF1	NBPF1	False	55672	official_exact	NBPF1
AL137798.1	AL137798.1	False		unresolved_or_ambiguous	
AL137798.2	AL137798.2	False		unresolved_or_ambiguous	
AL021920.1	AL021920.1	False		unresolved_or_ambiguous	
AL021920.3	AL021920.3	False		unresolved_or_ambiguous	
CROCC	CROCC	False	9696	official_exact	CROCC
BX284668.1	BX284668.1	False		unresolved_or_ambiguous	
BX284668.2	BX284668.2	False		unresolved_or_ambiguous	
BX284668.5	BX284668.5	False		unresolved_or_ambiguous	
BX284668.6	BX284668.6	False		unresolved_or_ambiguous	
MFAP2	MFAP2	False	4237	official_exact	MFAP2
AL049569.2	AL049569.2	False		unresolved_or_ambiguous	
AL049569.1	AL049569.1	False		unresolved_or_ambiguous	
ATP13A2	ATP13A2	False	23400	official_exact	ATP13A2
SDHB	SDHB	False	6390	official_exact	SDHB
PADI2	PADI2	False	11240	official_exact	PADI2
LINC02783	LINC02783	False	400743	official_exact	LINC02783
AL590644.1	AL590644.1	False		unresolved_or_ambiguous	
PADI1	PADI1	False	29943	official_exact	PADI1
PADI3	PADI3	False	51702	official_exact	PADI3
PADI4	PADI4	False	23569	official_exact	PADI4
PADI6	PADI6	False	353238	official_exact	PADI6
RCC2-AS1	RCC2-AS1	False	114515514	official_exact	RCC2-AS1
RCC2	RCC2	False	55920	official_exact	RCC2
ARHGEF10L	ARHGEF10L	False	55160	official_exact	ARHGEF10L
LINC02810	LINC02810	False	107984028	official_exact	LINC02810
ACTL8	ACTL8	False	81569	official_exact	ACTL8
AL357509.1	AL357509.1	False		unresolved_or_ambiguous	
LINC01654	LINC01654	False	101927876	official_exact	LINC01654
IGSF21	IGSF21	False	84966	official_exact	IGSF21
IGSF21-AS1	IGSF21-AS1	False	105376814	official_exact	IGSF21-AS1
AL591896.1	AL591896.1	False		unresolved_or_ambiguous	
KLHDC7A	KLHDC7A	False	127707	official_exact	KLHDC7A
PAX7	PAX7	False	5081	official_exact	PAX7
TAS1R2	TAS1R2	False	80834	official_exact	TAS1R2
ALDH4A1	ALDH4A1	False	8659	official_exact	ALDH4A1
IFFO2	IFFO2	False	126917	official_exact	IFFO2
UBR4	UBR4	False	23352	official_exact	UBR4
EMC1-AS1	EMC1-AS1	False	101927895	official_exact	EMC1-AS1
EMC1	EMC1	False	23065	official_exact	EMC1
MRTO4	MRTO4	False	51154	official_exact	MRTO4
AKR7A3	AKR7A3	False	22977	official_exact	AKR7A3
AKR7A2	AKR7A2	False	8574	official_exact	AKR7A2
SLC66A1	SLC66A1	False	54896	official_exact	SLC66A1
CAPZB	CAPZB	False	832	official_exact	CAPZB
MICOS10	MICOS10	False	440574	official_exact	MICOS10
AL031727.2	AL031727.2	False		unresolved_or_ambiguous	
NBL1	NBL1	False	4681	official_exact	NBL1
HTR6	HTR6	False	3362	official_exact	HTR6
TMCO4	TMCO4	False	255104	official_exact	TMCO4
RNF186	RNF186	False	54546	official_exact	RNF186
AL391883.1	AL391883.1	False		unresolved_or_ambiguous	
OTUD3	OTUD3	False	23252	official_exact	OTUD3
PLA2G2E	PLA2G2E	False	30814	official_exact	PLA2G2E
PLA2G2A	PLA2G2A	False	5320	official_exact	PLA2G2A
PLA2G5	PLA2G5	False	5322	official_exact	PLA2G5
PLA2G2D	PLA2G2D	False	26279	official_exact	PLA2G2D
PLA2G2F	PLA2G2F	False	64600	official_exact	PLA2G2F
Z98257.1	Z98257.1	False		unresolved_or_ambiguous	
PLA2G2C	PLA2G2C	False	391013	official_exact	PLA2G2C
UBXN10-AS1	UBXN10-AS1	False	391013	unique_synonym	PLA2G2C
UBXN10	UBXN10	False	127733	official_exact	UBXN10
LINC01757	LINC01757	False	105376827	official_exact	LINC01757
Z98257.2	Z98257.2	False		unresolved_or_ambiguous	
VWA5B1	VWA5B1	False	127731	official_exact	VWA5B1
AL020998.1	AL020998.1	False		unresolved_or_ambiguous	
LINC01141	LINC01141	False	339505	official_exact	LINC01141
AL139254.1	AL139254.1	False		unresolved_or_ambiguous	
AL139254.2	AL139254.2	False		unresolved_or_ambiguous	
AL139254.3	AL139254.3	False		unresolved_or_ambiguous	
CAMK2N1	CAMK2N1	False	55450	official_exact	CAMK2N1
MUL1	MUL1	False	79594	official_exact	MUL1
FAM43B	FAM43B	False	163933	official_exact	FAM43B
CDA	CDA	False	978	official_exact	CDA
PINK1	PINK1	False	65018	official_exact	PINK1
DDOST	DDOST	False	1650	official_exact	DDOST
KIF17	KIF17	False	57576	official_exact	KIF17
SH2D5	SH2D5	False	400745	official_exact	SH2D5
AL663074.1	AL663074.1	False		unresolved_or_ambiguous	
HP1BP3	HP1BP3	False	50809	official_exact	HP1BP3
