GeneID	Symbol	Synonyms
3045	HBD	HBK
4508	ATP6	ATPase6|MTATP6
4509	ATP8	ATPase8|MTATP8
4512	COX1	COI|MTCO1
4513	COX2	COII|MTCO2
4514	COX3	COIII|MTCO3
4519	CYTB	MTCYB
4535	ND1	MTND1
4536	ND2	MTND2
4537	ND3	MTND3
4538	ND4	MTND4
4539	ND4L	MTND4L
4540	ND5	MTND5
4541	ND6	MTND6
4549	RNR1	MTRNR1
4550	RNR2	MTRNR2
6052	RNR1	-
6053	RNR2	-
7006	TEC	PSCTK4
221938	MMD2	PAQR10
100124696	TEC	-
100187828	HBD	-
100240737	DEL1P36	C1DELp36
100505381	MMD2	-
100528024	DEL11P13	C11DELp13|WAGR
107648861	DEL11P13	C11DELp13
107985614	TRNAV-CAC	-
107985615	TRNAV-CAC	-
107987368	TRNAE-UUC	-
123670537	DEL1P36	C1DELp36
124901561	TRNAA-AGC	-
124901562	TRNAA-AGC	-
124901563	TRNAA-AGC	-
124901564	TRNAA-AGC	-
124901565	TRNAA-AGC	-
124905578	TRNAG-CCC	-
124905579	TRNAN-GUU	-
124905580	TRNAE-UUC	-
124905581	TRNAG-CCC	-
124905582	TRNAN-GUU	-
124905583	TRNAE-UUC	-
124905584	TRNAE-UUC	-
124905585	TRNAN-GUU	-
124905586	TRNAE-UUC	-
124905587	TRNAN-GUU	-
124905588	TRNAG-CCC	-
124905847	TRNAG-GCC	-
124905848	TRNAL-CAG	-
124905849	TRNAG-GCC	-
124905850	TRNAL-CAG	-
124905851	TRNAG-GCC	-
124905852	TRNAL-CAG	-
124905853	TRNAG-GCC	-
124905854	TRNAD-GUC	-
124905855	TRNAE-CUC	-
124905856	TRNAG-UCC	-
124905857	TRNAD-GUC	-
124905858	TRNAE-CUC	-
124905859	TRNAG-UCC	-
124905860	TRNAD-GUC	-
124905861	TRNAE-CUC	-
124905862	TRNAG-UCC	-
124905863	TRNAD-GUC	-
124905864	TRNAE-CUC	-
124905865	TRNAG-UCC	-
124905866	TRNAD-GUC	-
124905867	TRNAE-CUC	-
124905868	TRNAG-UCC	-
124905869	TRNAD-GUC	-
124905870	TRNAE-CUC	-
124905871	TRNAG-UCC	-
124905872	TRNAD-GUC	-
124905873	TRNAE-CUC	-
124905874	TRNAG-UCC	-
124905875	TRNAD-GUC	-
124905876	TRNAE-CUC	-
124905877	TRNAG-UCC	-
124905878	TRNAD-GUC	-
124905879	TRNAE-CUC	-
124905880	TRNAG-UCC	-
124905881	TRNAD-GUC	-
124905882	TRNAE-CUC	-
124905883	TRNAG-UCC	-
124905884	TRNAD-GUC	-
124905885	TRNAE-CUC	-
124905886	TRNAG-UCC	-
124905887	TRNAD-GUC	-
124905888	TRNAE-CUC	-
124905889	TRNAG-UCC	-
124905890	TRNAD-GUC	-
124905891	TRNAE-CUC	-
124905892	TRNAG-UCC	-
124905893	TRNAD-GUC	-
124905894	TRNAE-CUC	-
124905895	TRNAG-UCC	-
124905896	TRNAD-GUC	-
124905897	TRNAE-CUC	-
124905898	TRNAG-UCC	-
124905899	TRNAD-GUC	-
124905900	TRNAE-CUC	-
124905901	TRNAG-UCC	-
124905902	TRNAD-GUC	-
124905903	TRNAE-CUC	-
124905904	TRNAG-UCC	-
124905906	TRNAL-CAG	-
124905907	TRNAG-GCC	-
124905908	TRNAE-UUC	-
124905909	TRNAL-CAG	-
124905910	TRNAG-GCC	-
124905911	TRNAL-CAG	-
124905912	TRNAG-GCC	-
124905913	TRNAL-CAG	-
124905914	TRNAG-GCC	-
124905915	TRNAL-CAG	-
124905916	TRNAG-GCC	-
124905917	TRNAL-CAG	-
124905918	TRNAG-GCC	-
124905920	TRNAL-CAG	-
124905921	TRNAG-GCC	-
124905922	TRNAL-CAG	-
124905923	TRNAG-GCC	-
124905924	TRNAL-CAG	-
124905925	TRNAG-GCC	-
124905926	TRNAL-CAG	-
124905927	TRNAG-GCC	-
124905928	TRNAL-CAG	-
124905929	TRNAG-GCC	-
124905930	TRNAL-CAG	-
124905931	TRNAG-GCC	-
124905932	TRNAL-CAG	-
124905933	TRNAG-GCC	-
124905934	TRNAL-CAG	-
124906586	TRNAA-AGC	-
6775062	trnT	-
6775063	ND6	-
6775064	trnE	-
6775065	CYTB	-
6775066	ND5	-
6775067	trnL	-
6775068	trnS	-
6775069	trnH	-
6775070	trnR	-
6775071	ND4L	-
6775072	ND4	-
6775073	COX3	-
6775074	ATP6	-
6775075	trnG	-
6775076	ND3	-
6775077	ATP8	-
6775078	trnK	-
6775079	COX2	-
6775080	trnS	-
6775081	trnD	-
6775082	trnY	-
6775083	COX1	-
6775084	trnC	-
6775086	trnL	-
6775087	12S rRNA	-
6775088	trnF	-
6775089	trnP	-
6775090	trnV	-
6775092	trnW	-
6775093	trnA	-
6775094	ND2	-
6775095	trnQ	-
6775096	trnM	-
6775097	trnI	-
6775098	ND1	-
8923184	trnF	-
8923185	trnV	-
8923186	trnL	-
8923187	COX3	-
8923188	ATP6	-
8923189	trnS	-
8923190	trnK	-
8923191	trnG	-
8923192	trnT	-
8923193	trnI	-
8923194	trnW	-
8923195	trnR	-
8923196	trnH	-
8923197	ND4	-
8923198	ND6	-
8923199	trnE	-
8923200	trnC	-
8923201	ND4L	-
8923202	COX2	-
8923203	trnY	-
8923204	trnM	-
8923205	CYTB	-
8923206	ND3	-
8923207	trnS	-
8923208	trnQ	-
8923209	ND1	-
8923210	ND5	-
8923211	ATP8	-
8923212	ND2	-
8923213	12S rRNA	-
8923214	trnL	-
8923215	trnD	-
8923216	trnP	-
8923217	trnA	-
8923218	COX1	-
