module	endpoint	program	test	p	q_BH_cross_module_sensitivity
M01	GSE148059_C02	late_allcell_residual	U arm	0.7186	0.88718125
M01	GSE148059_C02	late_allcell_residual	D arm	0.492	0.8499878968800824
M01	GSE148059_C02	late_neuron_residual	U arm	0.5707	0.8499878968800824
M01	GSE148059_C02	late_neuron_residual	D arm	0.8375	0.9126653707701272
M01	GSE148059_C02	late_shared_concordant_neuronal_core	U arm	0.383	0.7836769230769232
M01	GSE148059_C02	late_shared_concordant_neuronal_core	D arm	0.7002	0.88718125
M01	GSE148059_C02	original_early_allcell	U arm	0.1643	0.5667846153846153
M01	GSE148059_C02	original_early_allcell	D arm	0.3118	0.7836769230769232
M01	GSE148059_C02	original_late_allcell	U arm	0.7589	0.8873658411671235
M01	GSE148059_C02	original_late_allcell	D arm	0.4985	0.8499878968800824
M01	GSE148059_C02	original_late_neuron	U arm	0.3721	0.7836769230769232
M01	GSE148059_C02	original_late_neuron	D arm	0.7471	0.88718125
M01	GSE148059_C02	original_severity	U arm	0.2892	0.7692720000000001
M01	GSE148059_C02	original_severity	D arm	0.9099	0.9282442748091604
M01	GSE148059_C02	original_xenium	U arm	0.6376	0.8574272133095662
M01	GSE148059_C02	original_xenium	D arm	0.5268	0.8499878968800824
M01	GSE148059_C02	severity_neuron_residual	U arm	0.3786	0.7836769230769232
M01	GSE148059_C02	severity_neuron_residual	D arm	0.8661	0.9126653707701272
M01	GSE24290_C01	late_allcell_residual	U arm	0.0949	0.4207233333333333
M01	GSE24290_C01	late_allcell_residual	D arm	0.3485	0.7836769230769232
M01	GSE24290_C01	late_neuron_residual	U arm	0.742	0.88718125
M01	GSE24290_C01	late_neuron_residual	D arm	0.475	0.8499878968800824
M01	GSE24290_C01	late_shared_concordant_neuronal_core	U arm	0.5437	0.8499878968800824
M01	GSE24290_C01	late_shared_concordant_neuronal_core	D arm	0.4591	0.8499878968800824
M01	GSE24290_C01	original_early_allcell	U arm	0.5691	0.8499878968800824
M01	GSE24290_C01	original_early_allcell	D arm	0.6283	0.8574272133095662
M01	GSE24290_C01	original_late_allcell	U arm	0.1022	0.4384709677419355
M01	GSE24290_C01	original_late_allcell	D arm	0.3418	0.7836769230769232
M01	GSE24290_C01	original_late_neuron	U arm	0.5965	0.8574272133095662
M01	GSE24290_C01	original_late_neuron	D arm	0.5524	0.8499878968800824
M01	GSE24290_C01	original_severity	U arm	0.1662	0.5667846153846153
M01	GSE24290_C01	original_severity	D arm	0.234	0.648375
M01	GSE24290_C01	original_xenium	U arm	0.4059	0.8057417910447761
M01	GSE24290_C01	original_xenium	D arm	0.8503	0.9126653707701272
M01	GSE24290_C01	severity_neuron_residual	U arm	0.1756	0.58387
M01	GSE24290_C01	severity_neuron_residual	D arm	0.2193	0.648375
M04	Morton minus control	late_allcell_residual	full score	0.1224	0.4910873440285204
M04	Morton minus control	late_neuron_residual	full score	0.5192	0.8499878968800824
M04	Morton minus control	late_shared_concordant_neuronal_core	full score	0.0002	0.0266
M04	Morton minus control	original_early_allcell	full score	0.8025	0.9126653707701272
M04	Morton minus control	original_late_allcell	full score	0.0804	0.3819
M04	Morton minus control	original_late_neuron	full score	0.2285	0.648375
M04	Morton minus control	original_severity	full score	0.0522	0.3764568764568765
M04	Morton minus control	original_xenium	full score	0.0367	0.372549019607843
M04	Morton minus control	severity_neuron_residual	full score	0.0466	0.372549019607843
M05	AH DPN minus MNC	late_allcell_residual	full score	0.7142857142857143	0.88718125
M05	AH DPN minus MNC	late_neuron_residual	full score	0.3714285714285714	0.7836769230769232
M05	AH DPN minus MNC	late_shared_concordant_neuronal_core	full score	0.6285714285714286	0.8574272133095662
M05	AH DPN minus MNC	original_early_allcell	full score	0.5714285714285714	0.8499878968800824
M05	AH DPN minus MNC	original_late_allcell	full score	0.7428571428571429	0.88718125
M05	AH DPN minus MNC	original_late_neuron	full score	0.3714285714285714	0.7836769230769232
M05	AH DPN minus MNC	original_severity	full score	0.3428571428571428	0.7836769230769232
M05	AH DPN minus MNC	original_xenium	full score	0.0285714285714285	0.3446078431372547
M05	AH DPN minus MNC	severity_neuron_residual	full score	0.3428571428571428	0.7836769230769232
M05	MG DPN minus MNC	late_allcell_residual	full score	0.2	0.6333333333333334
M05	MG DPN minus MNC	late_neuron_residual	full score	0.1428571428571428	0.5277777777777776
