module	endpoint	program	test	p	q_BH_cross_module_sensitivity
M01	GSE148059_C02	original_late_neuron	D arm	0.7471	0.8849645030425964
M01	GSE148059_C02	original_severity	U arm	0.2892	0.7849714285714287
M01	GSE148059_C02	original_severity	D arm	0.9099	0.9282442748091603
M01	GSE148059_C02	original_xenium	U arm	0.6376	0.8661764705882353
M01	GSE148059_C02	original_xenium	D arm	0.5268	0.8406473705407408
M01	GSE148059_C02	severity_neuron_residual	U arm	0.3786	0.8350655737704918
M01	GSE148059_C02	severity_neuron_residual	D arm	0.8661	0.9126653707701271
M01	GSE24290_C01	late_allcell_residual	U arm	0.0949	0.4071516129032258
M01	GSE24290_C01	late_allcell_residual	D arm	0.3485	0.8350655737704918
M01	GSE24290_C01	late_neuron_residual	U arm	0.742	0.8849645030425964
M01	GSE24290_C01	late_neuron_residual	D arm	0.475	0.8406473705407408
M01	GSE24290_C01	late_shared_concordant_neuronal_core	U arm	0.5437	0.8406473705407408
M01	GSE24290_C01	late_shared_concordant_neuronal_core	D arm	0.4591	0.8406473705407408
M01	GSE24290_C01	original_early_allcell	U arm	0.5691	0.8406473705407408
M01	GSE24290_C01	original_early_allcell	D arm	0.6283	0.8661764705882353
M01	GSE24290_C01	original_late_allcell	U arm	0.1022	0.42476875000000003
M01	GSE24290_C01	original_late_allcell	D arm	0.3418	0.8350655737704918
M01	GSE24290_C01	original_late_neuron	U arm	0.5965	0.8530591397849463
M01	GSE24290_C01	original_late_neuron	D arm	0.5524	0.8406473705407408
M01	GSE24290_C01	original_severity	U arm	0.1662	0.5817
M01	GSE24290_C01	original_severity	D arm	0.234	0.7073181818181818
M01	GSE24290_C01	original_xenium	U arm	0.4059	0.8406473705407408
M01	GSE24290_C01	original_xenium	D arm	0.8503	0.9126653707701271
M01	GSE24290_C01	severity_neuron_residual	U arm	0.1756	0.5988410256410257
M01	GSE24290_C01	severity_neuron_residual	D arm	0.2193	0.7073181818181818
M06	molecular ANCOVA	late_allcell_residual	joint treatment	0.5751797798436648	0.8406473705407408
M06	molecular ANCOVA	late_neuron_residual	joint treatment	0.760599292428963	0.8849645030425964
M06	molecular ANCOVA	late_shared_concordant_neuronal_core	joint treatment	0.8923625338031903	0.9200326898901109
M06	molecular ANCOVA	original_early_allcell	joint treatment	0.7414811794600721	0.8849645030425964
M06	molecular ANCOVA	original_late_allcell	joint treatment	0.5827439469646372	0.8424450537640951
M06	molecular ANCOVA	original_late_neuron	joint treatment	0.6513236136895193	0.8750105113202633
M06	molecular ANCOVA	original_severity	joint treatment	0.8714924969007981	0.9126653707701271
M06	molecular ANCOVA	severity_neuron_residual	joint treatment	0.8336847263412706	0.9126653707701271
M06	NPSI interaction	late_allcell_residual	joint interaction	0.4707268409697599	0.8406473705407408
M06	NPSI interaction	late_neuron_residual	joint interaction	0.5557058650089306	0.8406473705407408
M06	NPSI interaction	late_shared_concordant_neuronal_core	joint interaction	0.865759658916093	0.9126653707701271
M06	NPSI interaction	original_early_allcell	joint interaction	0.5372217552525063	0.8406473705407408
M06	NPSI interaction	original_late_allcell	joint interaction	0.5019230016574019	0.8406473705407408
M06	NPSI interaction	original_late_neuron	joint interaction	0.8355426121336217	0.9126653707701271
M06	NPSI interaction	original_severity	joint interaction	0.3435718288576281	0.8350655737704918
M06	NPSI interaction	severity_neuron_residual	joint interaction	0.2334187750397327	0.7073181818181818
M04	Morton minus control	late_allcell_residual	full score	0.0694	0.34956709956709964
M04	Morton minus control	late_neuron_residual	full score	0.307	0.8131254901960785
M04	Morton minus control	late_shared_concordant_neuronal_core	full score	0.0001	0.013300000000000001
M04	Morton minus control	original_early_allcell	full score	0.6988	0.8849645030425964
M04	Morton minus control	original_late_allcell	full score	0.0461	0.33333333333333326
M04	Morton minus control	original_late_neuron	full score	0.3547	0.8350655737704918
M04	Morton minus control	original_severity	full score	0.0405	0.33333333333333326
M04	Morton minus control	original_xenium	full score	0.0064	0.14186666666666667
M04	Morton minus control	severity_neuron_residual	full score	0.0442	0.33333333333333326
M05	AH DPN minus MNC	late_allcell_residual	full score	0.7714285714285715	0.8849645030425964
M05	AH DPN minus MNC	late_neuron_residual	full score	0.7142857142857143	0.8849645030425964
M05	AH DPN minus MNC	late_shared_concordant_neuronal_core	full score	0.7428571428571429	0.8849645030425964
M05	AH DPN minus MNC	original_early_allcell	full score	0.4857142857142857	0.8406473705407408
M05	AH DPN minus MNC	original_late_allcell	full score	0.7428571428571429	0.8849645030425964
M05	AH DPN minus MNC	original_late_neuron	full score	0.5142857142857142	0.8406473705407408
M05	AH DPN minus MNC	original_severity	full score	0.5142857142857142	0.8406473705407408
M05	AH DPN minus MNC	original_xenium	full score	0.02857142857142857	0.31666666666666665
M05	AH DPN minus MNC	severity_neuron_residual	full score	0.4	0.8406473705407408
M05	MG DPN minus MNC	late_allcell_residual	full score	0.2571428571428571	0.7125
M05	MG DPN minus MNC	late_neuron_residual	full score	0.2571428571428571	0.7125
M05	MG DPN minus MNC	late_shared_concordant_neuronal_core	full score	0.9142857142857143	0.9282442748091603
M05	MG DPN minus MNC	original_early_allcell	full score	0.42857142857142855	0.8406473705407408
M05	MG DPN minus MNC	original_late_allcell	full score	0.2571428571428571	0.7125
M05	MG DPN minus MNC	original_late_neuron	full score	0.5428571428571428	0.8406473705407408
M05	MG DPN minus MNC	original_severity	full score	0.5714285714285714	0.8406473705407408
M05	MG DPN minus MNC	original_xenium	full score	0.02857142857142857	0.31666666666666665
M05	MG DPN minus MNC	severity_neuron_residual	full score	0.5714285714285714	0.8406473705407408
