module	source	participant_key	sample_key	timepoint	group	hierarchy	cross_source_link
M01	GSE302658	E1001002	GSM9108252	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1001002	GSM9108254	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1001007	GSM9108251	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1001007	GSM9108257	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1001009	GSM9108317	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1001009	GSM9108253	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1001010	GSM9108250	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1001010	GSM9108255	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1001012	GSM9108316	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1001012	GSM9108256	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1002001	GSM9108239	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1002001	GSM9108240	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1003002	GSM9108244	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1003002	GSM9108249	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1003003	GSM9108245	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1003003	GSM9108248	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1003006	GSM9108246	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1003006	GSM9108247	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1004001	GSM9108177	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1004001	GSM9108178	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1005001	GSM9108204	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005001	GSM9108290	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005005	GSM9108205	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005005	GSM9108309	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005006	GSM9108281	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1005006	GSM9108310	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1005007	GSM9108292	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1005007	GSM9108311	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1005008	GSM9108291	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E1005008	GSM9108208	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E1005018	GSM9108282	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005018	GSM9108289	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005019	GSM9108303	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005019	GSM9108207	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1005022	GSM9108304	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1005022	GSM9108206	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1005023	GSM9108315	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1005023	GSM9108209	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1006003	GSM9108241	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1006003	GSM9108243	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1006005	GSM9108318	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1006005	GSM9108242	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E1007002	GSM9108265	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E1007002	GSM9108266	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802002	GSM9108170	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7802002	GSM9108173	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7802003	GSM9108171	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802003	GSM9108176	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802006	GSM9108307	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802006	GSM9108175	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802007	GSM9108306	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802007	GSM9108172	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802009	GSM9108308	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7802009	GSM9108174	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7802012	GSM9108305	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802012	GSM9108365	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802013	GSM9108341	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802013	GSM9108369	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7802016	GSM9108339	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7802016	GSM9108368	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7803001	GSM9108210	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7803001	GSM9108214	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7803004	GSM9108213	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803004	GSM9108215	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803005	GSM9108211	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7803005	GSM9108313	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7803006	GSM9108293	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7803006	GSM9108312	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7803008	GSM9108295	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803008	GSM9108216	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803009	GSM9108294	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7803009	GSM9108314	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7803019	GSM9108212	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803019	GSM9108371	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7803021	GSM9108364	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7803021	GSM9108370	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7804006	GSM9108228	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7804006	GSM9108234	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7804010	GSM9108229	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7804010	GSM9108233	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7804011	GSM9108227	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7804011	GSM9108235	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7804014	GSM9108226	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7804014	GSM9108231	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7804015	GSM9108230	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7804015	GSM9108232	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7804033	GSM9108331	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7804033	GSM9108330	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7805002	GSM9108278	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7805002	GSM9108283	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7805010	GSM9108280	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7805010	GSM9108284	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7805017	GSM9108279	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7805017	GSM9108374	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7805019	GSM9108353	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7805019	GSM9108373	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7805022	GSM9108354	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7805022	GSM9108372	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806003	GSM9108237	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806003	GSM9108299	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806014	GSM9108297	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806014	GSM9108302	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806018	GSM9108296	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806018	GSM9108238	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806020	GSM9108298	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806020	GSM9108301	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806023	GSM9108332	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806023	GSM9108300	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806029	GSM9108333	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806029	GSM9108349	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806035	GSM9108334	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806035	GSM9108351	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806040	GSM9108347	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806040	GSM9108360	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806042	GSM9108348	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806042	GSM9108358	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806045	GSM9108362	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806048	GSM9108345	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806048	GSM9108361	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7806050	GSM9108346	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806050	GSM9108359	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7806055	GSM9108236	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806055	GSM9108350	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7806059	GSM9108357	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7807004	GSM9108188	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7807004	GSM9108190	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7807006	GSM9108186	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7807006	GSM9108189	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7807007	GSM9108187	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7807007	GSM9108191	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7807013	GSM9108340	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7807013	GSM9108192	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7808012	GSM9108326	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7808012	GSM9108327	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7808015	GSM9108342	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7808015	GSM9108193	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7808016	GSM9108335	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7808016	GSM9108328	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7808018	GSM9108344	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7808018	GSM9108329	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7808019	GSM9108343	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7808019	GSM9108336	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7809003	GSM9108180	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7809003	GSM9108185	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7809005	GSM9108179	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7809005	GSM9108182	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7809008	GSM9108184	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7809012	GSM9108181	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7809012	GSM9108338	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7809016	GSM9108337	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7809016	GSM9108183	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810002	GSM9108219	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7810002	GSM9108224	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7810004	GSM9108220	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810004	GSM9108225	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810005	GSM9108285	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810005	GSM9108320	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810008	GSM9108218	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810008	GSM9108321	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810009	GSM9108287	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810009	GSM9108322	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810013	GSM9108319	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810013	GSM9108363	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810017	GSM9108286	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810017	GSM9108222	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810018	GSM9108288	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810018	GSM9108223	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7810022	GSM9108217	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7810022	GSM9108221	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7811002	GSM9108275	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7811002	GSM9108277	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7811005	GSM9108274	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7811005	GSM9108325	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7811008	GSM9108324	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7811008	GSM9108276	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7812001	GSM9108196	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7812001	GSM9108199	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7812002	GSM9108194	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7812002	GSM9108203	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7812006	GSM9108198	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7812006	GSM9108200	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7812007	GSM9108195	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7812007	GSM9108201	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7812008	GSM9108197	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7812008	GSM9108202	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7812010	GSM9108356	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7812010	GSM9108367	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7812015	GSM9108355	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7812015	GSM9108366	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7813001	GSM9108259	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7813001	GSM9108261	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7813008	GSM9108260	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7813008	GSM9108264	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7813011	GSM9108258	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7813011	GSM9108263	followup	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7813012	GSM9108352	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7813012	GSM9108262	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7814001	GSM9108269	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7814001	GSM9108272	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7814003	GSM9108268	baseline	Placebo	participant>visit sample	NONE
M01	GSE302658	E7814003	GSM9108271	followup	Placebo	participant>visit sample	NONE
M01	GSE302658	E7814011	GSM9108323	baseline	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7814011	GSM9108270	followup	AZD2423 20 mg	participant>visit sample	NONE
M01	GSE302658	E7814012	GSM9108267	baseline	AZD2423 150 mg	participant>visit sample	NONE
M01	GSE302658	E7814012	GSM9108273	followup	AZD2423 150 mg	participant>visit sample	NONE
M02	GSE286347	GSM8724140	GSM8724140	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724141	GSM8724141	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724142	GSM8724142	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724143	GSM8724143	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724144	GSM8724144	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724145	GSM8724145	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724146	GSM8724146	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724147	GSM8724147	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724148	GSM8724148	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724149	GSM8724149	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724150	GSM8724150	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724151	GSM8724151	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724152	GSM8724152	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724153	GSM8724153	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724154	GSM8724154	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724155	GSM8724155	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724156	GSM8724156	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724157	GSM8724157	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724158	GSM8724158	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724159	GSM8724159	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724160	GSM8724160	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724161	GSM8724161	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724162	GSM8724162	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724163	GSM8724163	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724164	GSM8724164	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724165	GSM8724165	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724166	GSM8724166	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724167	GSM8724167	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724168	GSM8724168	cross-sectional	control	public biospecimen; participant-level study record	NONE
M02	GSE286347	GSM8724169	GSM8724169	cross-sectional	control	public biospecimen; participant-level study record	NONE
