target_id	sample_id	group	primary_expression_source
DPN_vs_control	C1	Control	DESeq2_normalized_counts
DPN_vs_control	C2	Control	DESeq2_normalized_counts
DPN_vs_control	C3	Control	DESeq2_normalized_counts
DPN_vs_control	C4	Control	DESeq2_normalized_counts
DPN_vs_control	C5	Control	DESeq2_normalized_counts
DPN_vs_control	C6	Control	DESeq2_normalized_counts
DPN_vs_control	S38	DPN	DESeq2_normalized_counts
DPN_vs_control	S39	DPN	DESeq2_normalized_counts
DPN_vs_control	S40	DPN	DESeq2_normalized_counts
DPN_vs_control	S42	DPN	DESeq2_normalized_counts
DPN_vs_control	S43	DPN	DESeq2_normalized_counts
DPN_vs_control	S44	DPN	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S8	Moderate	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S10	Moderate	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S11	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S12	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S13	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S14	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S18	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S19	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S20	Moderate	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S21	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S22	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S25	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S28	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S30	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S31	Severe	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S33	Moderate	DESeq2_normalized_counts
severe_vs_moderate_axonal_loss	S34	Severe	DESeq2_normalized_counts
