feature_id	gene_id	mapping_status	finite_all	all_zero	eligible_preaggregate	exclusion_reason
ENSG00000000003	7105	unique	True	False	True	
ENSG00000000005	64102	unique	True	False	True	
ENSG00000000419	8813	unique	True	False	True	
ENSG00000000457	57147	unique	True	False	True	
ENSG00000000460	55732	unique	True	False	True	
ENSG00000000938	2268	unique	True	False	True	
ENSG00000000971	3075	unique	True	False	True	
ENSG00000001036	2519	unique	True	False	True	
ENSG00000001084	2729	unique	True	False	True	
ENSG00000001167	4800	unique	True	False	True	
ENSG00000001460	90529	unique	True	False	True	
ENSG00000001461	57185	unique	True	False	True	
ENSG00000001497	81887	unique	True	False	True	
ENSG00000001561	22875	unique	True	False	True	
ENSG00000001617	6405	unique	True	False	True	
ENSG00000001626	1080	unique	True	False	True	
ENSG00000001629	54467	unique	True	False	True	
ENSG00000001630	1595	unique	True	False	True	
ENSG00000001631	889	unique	True	False	True	
ENSG00000002016	5893	unique	True	False	True	
ENSG00000002079		unmapped	True	False	False	not_unique_one_to_one_mapping
ENSG00000002330	572	unique	True	False	True	
ENSG00000002549	51056	unique	True	False	True	
ENSG00000002586	4267	unique	True	False	True	
ENSG00000002587	9957	unique	True	False	True	
ENSG00000002726	26	unique	True	False	True	
ENSG00000002745	51384	unique	True	False	True	
ENSG00000002746	23072	unique	True	False	True	
ENSG00000002822	8379	unique	True	False	True	
ENSG00000002834	3927	unique	True	False	True	
ENSG00000002919	29916	unique	True	False	True	
ENSG00000002933	55365	unique	True	False	True	
ENSG00000003056	4074	unique	True	False	True	
ENSG00000003096	90293	unique	True	False	True	
ENSG00000003137	56603	unique	True	False	True	
ENSG00000003147	3382	unique	True	False	True	
ENSG00000003249	79007	unique	True	False	True	
ENSG00000003393	57679	unique	True	False	True	
ENSG00000003400	843	unique	True	False	True	
ENSG00000003402	8837	unique	True	False	True	
ENSG00000003436	7035	unique	True	False	True	
ENSG00000003509	55471	unique	True	False	True	
ENSG00000003756	10181	unique	True	False	True	
ENSG00000003987	9108	unique	True	False	True	
ENSG00000003989	6542	unique	True	False	True	
ENSG00000004059	381	unique	True	False	True	
ENSG00000004139	23098	unique	True	False	True	
ENSG00000004142	26073	unique	True	False	True	
ENSG00000004399	23129	unique	True	False	True	
ENSG00000004455	204	unique	True	False	True	
ENSG00000004468	952	unique	True	False	True	
ENSG00000004478	2288	unique	True	False	True	
ENSG00000004487	23028	unique	True	False	True	
ENSG00000004534	10180	unique	True	False	True	
ENSG00000004660	84254	unique	True	False	True	
ENSG00000004700	5965	unique	True	False	True	
ENSG00000004766	55610	unique	True	False	True	
ENSG00000004776	126393	unique	True	False	True	
ENSG00000004777	115703	unique	True	False	True	
ENSG00000004779	4706	unique	True	False	True	
ENSG00000004799	5166	unique	True	False	True	
ENSG00000004809	85413	unique	True	False	True	
ENSG00000004838	51364	unique	True	False	True	
ENSG00000004846	340273	unique	True	False	True	
ENSG00000004848	170302	unique	True	False	True	
ENSG00000004864	10165	unique	True	False	True	
ENSG00000004866		unmapped	True	False	False	not_unique_one_to_one_mapping
ENSG00000004897	996	unique	True	False	True	
ENSG00000004939	6521	unique	True	False	True	
ENSG00000004948	799	unique	True	False	True	
ENSG00000004961	3052	unique	True	False	True	
ENSG00000004975	1856	unique	True	False	True	
ENSG00000005001	64063	unique	True	False	True	
ENSG00000005007	5976	unique	True	False	True	
ENSG00000005020	8935	unique	True	False	True	
ENSG00000005022	292	unique	True	False	True	
ENSG00000005059	55013	unique	True	False	True	
ENSG00000005073	3207	unique	True	False	True	
ENSG00000005075	5439	unique	True	False	True	
ENSG00000005100	56919	unique	True	False	True	
ENSG00000005102	4222	unique	True	False	True	
ENSG00000005108	221981	unique	True	False	True	
ENSG00000005156	3980	unique	True	False	True	
ENSG00000005175	79657	unique	True	False	True	
ENSG00000005187	6296	unique	True	False	True	
ENSG00000005189	81691	unique	True	False	True	
ENSG00000005194	57019	unique	True	False	True	
ENSG00000005206	56928	unique	True	False	True	
ENSG00000005238	80256	unique	True	False	True	
ENSG00000005243	51226	unique	True	False	True	
ENSG00000005249	5577	unique	True	False	True	
ENSG00000005302	10943	unique	True	False	True	
ENSG00000005339	1387	unique	True	False	True	
ENSG00000005379	9256	unique	True	False	True	
ENSG00000005381	4353	unique	True	False	True	
ENSG00000005421	5444	unique	True	False	True	
ENSG00000005436	6936	unique	True	False	True	
ENSG00000005448	84058	unique	True	False	True	
ENSG00000005469	54677	unique	True	False	True	
ENSG00000005471	5244	unique	True	False	True	
ENSG00000005483	55904	unique	True	False	True	
ENSG00000005486	57414	unique	True	False	True	
ENSG00000005513	30812	unique	True	False	True	
ENSG00000005700	25998	unique	True	False	True	
ENSG00000005801	7748	unique	True	False	True	
ENSG00000005810	23077	unique	True	False	True	
ENSG00000005812	26224	unique	True	False	True	
ENSG00000005844	3683	unique	True	False	True	
ENSG00000005882	5164	unique	True	False	True	
ENSG00000005884	3675	unique	True	False	True	
ENSG00000005889	7543	unique	True	False	True	
ENSG00000005893	3920	unique	True	False	True	
ENSG00000005961	3674	unique	True	False	True	
ENSG00000005981	51666	unique	True	False	True	
ENSG00000006007	51573	unique	True	False	True	
ENSG00000006015	55049	unique	True	False	True	
ENSG00000006016	9244	unique	True	False	True	
ENSG00000006025	114881	unique	True	False	True	
ENSG00000006042	26022	unique	True	False	True	
ENSG00000006047	51087	unique	True	False	True	
ENSG00000006059	3883	unique	True	True	False	all_zero
ENSG00000006062	9020	unique	True	False	True	
ENSG00000006071	6833	unique	True	False	True	
ENSG00000006116	10368	unique	True	False	True	
ENSG00000006118	54972	unique	True	False	True	
ENSG00000006125	163	unique	True	False	True	
ENSG00000006128	6863	unique	True	False	True	
ENSG00000006194	10127	unique	True	False	True	
ENSG00000006210	6376	unique	True	False	True	
ENSG00000006282	64847	unique	True	False	True	
ENSG00000006283	8913	unique	True	False	True	
ENSG00000006327	51330	unique	True	False	True	
ENSG00000006377	1750	unique	True	False	True	
ENSG00000006432	4293	unique	True	False	True	
ENSG00000006451	5898	unique	True	False	True	
ENSG00000006453	55971	unique	True	False	True	
ENSG00000006459	80853	unique	True	False	True	
ENSG00000006468	2115	unique	True	False	True	
ENSG00000006530	55750	unique	True	False	True	
ENSG00000006534	221	unique	True	False	True	
ENSG00000006555	55001	unique	True	False	True	
ENSG00000006576	57157	unique	True	False	True	
ENSG00000006606	10344	unique	True	False	True	
ENSG00000006607	9855	unique	True	False	True	
ENSG00000006611	10083	unique	True	False	True	
ENSG00000006625	79017	unique	True	False	True	
ENSG00000006634	10926	unique	True	False	True	
ENSG00000006638	6915	unique	True	False	True	
ENSG00000006652	3475	unique	True	False	True	
ENSG00000006659	56891	unique	True	False	True	
ENSG00000006695	1352	unique	True	False	True	
ENSG00000006704	9569	unique	True	False	True	
ENSG00000006712	54623	unique	True	False	True	
ENSG00000006715	27072	unique	True	False	True	
ENSG00000006740	9912	unique	True	False	True	
ENSG00000006744	60528	unique	True	False	True	
