ensembl_gene_id	human_gene_id	current_symbol_cache	type_of_gene_cache	ensembl_mapping_is_one_to_one	present_in_GSE302658	current_symbol_rebuilt	type_of_gene_rebuilt	rebuilt_one_to_one	_merge
ENSG00000000003	7105	TSPAN6	protein-coding	True	True	TSPAN6	protein-coding	True	both
ENSG00000000005	64102	TNMD	protein-coding	True	True	TNMD	protein-coding	True	both
ENSG00000000419	8813	DPM1	protein-coding	True	True	DPM1	protein-coding	True	both
ENSG00000000457	57147	SCYL3	protein-coding	True	True	SCYL3	protein-coding	True	both
ENSG00000000460	55732	FIRRM	protein-coding	True	True	FIRRM	protein-coding	True	both
ENSG00000000938	2268	FGR	protein-coding	True	True	FGR	protein-coding	True	both
ENSG00000000971	3075	CFH	protein-coding	True	True	CFH	protein-coding	True	both
ENSG00000001036	2519	FUCA2	protein-coding	True	True	FUCA2	protein-coding	True	both
ENSG00000001084	2729	GCLC	protein-coding	True	True	GCLC	protein-coding	True	both
ENSG00000001167	4800	NFYA	protein-coding	True	True	NFYA	protein-coding	True	both
ENSG00000001460	90529	STPG1	protein-coding	True	True	STPG1	protein-coding	True	both
ENSG00000001461	57185	NIPAL3	protein-coding	True	True	NIPAL3	protein-coding	True	both
ENSG00000001497	81887	LAS1L	protein-coding	True	True	LAS1L	protein-coding	True	both
ENSG00000001561	22875	ENPP4	protein-coding	True	True	ENPP4	protein-coding	True	both
ENSG00000001617	6405	SEMA3F	protein-coding	True	True	SEMA3F	protein-coding	True	both
ENSG00000001626	1080	CFTR	protein-coding	True	True	CFTR	protein-coding	True	both
ENSG00000001629	54467	ANKIB1	protein-coding	True	True	ANKIB1	protein-coding	True	both
ENSG00000001630	1595	CYP51A1	protein-coding	True	True	CYP51A1	protein-coding	True	both
ENSG00000001631	889	KRIT1	protein-coding	True	True	KRIT1	protein-coding	True	both
ENSG00000002016	5893	RAD52	protein-coding	True	True	RAD52	protein-coding	True	both
ENSG00000002330	572	BAD	protein-coding	True	True	BAD	protein-coding	True	both
ENSG00000002549	51056	LAP3	protein-coding	True	True	LAP3	protein-coding	True	both
ENSG00000002586	4267	CD99	protein-coding	True	True	CD99	protein-coding	True	both
ENSG00000002587	9957	HS3ST1	protein-coding	True	True	HS3ST1	protein-coding	True	both
ENSG00000002726	26	AOC1	protein-coding	True	True	AOC1	protein-coding	True	both
ENSG00000002745	51384	WNT16	protein-coding	True	True	WNT16	protein-coding	True	both
ENSG00000002746	23072	HECW1	protein-coding	True	True	HECW1	protein-coding	True	both
ENSG00000002822	8379	MAD1L1	protein-coding	True	True	MAD1L1	protein-coding	True	both
ENSG00000002834	3927	LASP1	protein-coding	True	True	LASP1	protein-coding	True	both
ENSG00000002919	29916	SNX11	protein-coding	True	True	SNX11	protein-coding	True	both
ENSG00000002933	55365	TMEM176A	protein-coding	True	True	TMEM176A	protein-coding	True	both
ENSG00000003056	4074	M6PR	protein-coding	True	True	M6PR	protein-coding	True	both
ENSG00000003096	90293	KLHL13	protein-coding	True	True	KLHL13	protein-coding	True	both
ENSG00000003137	56603	CYP26B1	protein-coding	True	True	CYP26B1	protein-coding	True	both
ENSG00000003147	3382	ICA1	protein-coding	True	True	ICA1	protein-coding	True	both
ENSG00000003249	79007	DBNDD1	protein-coding	True	True	DBNDD1	protein-coding	True	both
ENSG00000003393	57679	ALS2	protein-coding	True	True	ALS2	protein-coding	True	both
ENSG00000003400	843	CASP10	protein-coding	True	True	CASP10	protein-coding	True	both
ENSG00000003402	8837	CFLAR	protein-coding	True	True	CFLAR	protein-coding	True	both
ENSG00000003436	7035	TFPI	protein-coding	True	True	TFPI	protein-coding	True	both
ENSG00000003509	55471	NDUFAF7	protein-coding	True	True	NDUFAF7	protein-coding	True	both
ENSG00000003756	10181	RBM5	protein-coding	True	True	RBM5	protein-coding	True	both
ENSG00000003987	9108	MTMR7	protein-coding	True	True	MTMR7	protein-coding	True	both
ENSG00000003989	6542	SLC7A2	protein-coding	True	True	SLC7A2	protein-coding	True	both
ENSG00000004059	381	ARF5	protein-coding	True	True	ARF5	protein-coding	True	both
ENSG00000004139	23098	SARM1	protein-coding	True	True	SARM1	protein-coding	True	both
ENSG00000004142	26073	POLDIP2	protein-coding	True	True	POLDIP2	protein-coding	True	both
ENSG00000004399	23129	PLXND1	protein-coding	True	True	PLXND1	protein-coding	True	both
ENSG00000004455	204	AK2	protein-coding	True	True	AK2	protein-coding	True	both
ENSG00000004468	952	CD38	protein-coding	True	True	CD38	protein-coding	True	both
ENSG00000004478	2288	FKBP4	protein-coding	True	True	FKBP4	protein-coding	True	both
ENSG00000004487	23028	KDM1A	protein-coding	True	True	KDM1A	protein-coding	True	both
ENSG00000004534	10180	RBM6	protein-coding	True	True	RBM6	protein-coding	True	both
ENSG00000004660	84254	CAMKK1	protein-coding	True	True	CAMKK1	protein-coding	True	both
ENSG00000004700	5965	RECQL	protein-coding	True	True	RECQL	protein-coding	True	both
ENSG00000004766	55610	VPS50	protein-coding	True	True	VPS50	protein-coding	True	both
ENSG00000004776	126393	HSPB6	protein-coding	True	True	HSPB6	protein-coding	True	both
ENSG00000004777	115703	ARHGAP33	protein-coding	True	True	ARHGAP33	protein-coding	True	both
ENSG00000004779	4706	NDUFAB1	protein-coding	True	True	NDUFAB1	protein-coding	True	both
ENSG00000004799	5166	PDK4	protein-coding	True	True	PDK4	protein-coding	True	both
ENSG00000004809	85413	SLC22A16	protein-coding	True	True	SLC22A16	protein-coding	True	both
ENSG00000004838	51364	ZMYND10	protein-coding	True	True	ZMYND10	protein-coding	True	both
ENSG00000004846	340273	ABCB5	protein-coding	True	True	ABCB5	protein-coding	True	both
ENSG00000004848	170302	ARX	protein-coding	True	True	ARX	protein-coding	True	both
ENSG00000004864	10165	SLC25A13	protein-coding	True	True	SLC25A13	protein-coding	True	both
ENSG00000004866	7982	ST7	protein-coding	False	True	ST7	protein-coding	False	both
ENSG00000004866	93655	ST7-OT3	ncRNA	False	True	ST7-OT3	ncRNA	False	both
ENSG00000004897	996	CDC27	protein-coding	True	True	CDC27	protein-coding	True	both
ENSG00000004939	6521	SLC4A1	protein-coding	True	True	SLC4A1	protein-coding	True	both
ENSG00000004948	799	CALCR	protein-coding	True	True	CALCR	protein-coding	True	both
ENSG00000004961	3052	HCCS	protein-coding	True	True	HCCS	protein-coding	True	both
ENSG00000004975	1856	DVL2	protein-coding	True	True	DVL2	protein-coding	True	both
ENSG00000005001	64063	PRSS22	protein-coding	True	True	PRSS22	protein-coding	True	both
ENSG00000005007	5976	UPF1	protein-coding	True	True	UPF1	protein-coding	True	both
ENSG00000005020	8935	SKAP2	protein-coding	True	True	SKAP2	protein-coding	True	both
ENSG00000005022	292	SLC25A5	protein-coding	True	True	SLC25A5	protein-coding	True	both
ENSG00000005059	55013	MCUB	protein-coding	True	True	MCUB	protein-coding	True	both
ENSG00000005073	3207	HOXA11	protein-coding	True	True	HOXA11	protein-coding	True	both
ENSG00000005075	5439	POLR2J	protein-coding	True	True	POLR2J	protein-coding	True	both
ENSG00000005100	56919	DHX33	protein-coding	True	True	DHX33	protein-coding	True	both
ENSG00000005102	4222	MEOX1	protein-coding	True	True	MEOX1	protein-coding	True	both
ENSG00000005108	221981	THSD7A	protein-coding	True	True	THSD7A	protein-coding	True	both
ENSG00000005156	3980	LIG3	protein-coding	True	True	LIG3	protein-coding	True	both
ENSG00000005175	79657	RPAP3	protein-coding	True	True	RPAP3	protein-coding	True	both
ENSG00000005187	6296	ACSM3	protein-coding	True	True	ACSM3	protein-coding	True	both
ENSG00000005189	81691	REXO5	protein-coding	True	True	REXO5	protein-coding	True	both
ENSG00000005194	57019	CIAPIN1	protein-coding	True	True	CIAPIN1	protein-coding	True	both
ENSG00000005206	56928	SPPL2B	protein-coding	True	True	SPPL2B	protein-coding	True	both
ENSG00000005238	80256	ATOSB	protein-coding	True	True	ATOSB	protein-coding	True	both
ENSG00000005243	51226	COPZ2	protein-coding	True	True	COPZ2	protein-coding	True	both
ENSG00000005249	5577	PRKAR2B	protein-coding	True	True	PRKAR2B	protein-coding	True	both
ENSG00000005302	10943	MSL3	protein-coding	True	True	MSL3	protein-coding	True	both
ENSG00000005339	1387	CREBBP	protein-coding	True	True	CREBBP	protein-coding	True	both
ENSG00000005379	9256	TSPOAP1	protein-coding	True	True	TSPOAP1	protein-coding	True	both
ENSG00000005381	4353	MPO	protein-coding	True	True	MPO	protein-coding	True	both
ENSG00000005421	5444	PON1	protein-coding	True	True	PON1	protein-coding	True	both
ENSG00000005436	6936	GCFC2	protein-coding	True	True	GCFC2	protein-coding	True	both
ENSG00000005448	84058	WDR54	protein-coding	True	True	WDR54	protein-coding	True	both
ENSG00000005469	54677	CROT	protein-coding	True	True	CROT	protein-coding	True	both
ENSG00000005471	5244	ABCB4	protein-coding	True	True	ABCB4	protein-coding	True	both
ENSG00000005483	55904	KMT2E	protein-coding	True	True	KMT2E	protein-coding	True	both
ENSG00000005486	57414	RHBDD2	protein-coding	True	True	RHBDD2	protein-coding	True	both
ENSG00000005513	30812	SOX8	protein-coding	True	True	SOX8	protein-coding	True	both
ENSG00000005700	25998	IBTK	protein-coding	True	True	IBTK	protein-coding	True	both
ENSG00000005801	7748	ZNF195	protein-coding	True	True	ZNF195	protein-coding	True	both
ENSG00000005810	23077	MYCBP2	protein-coding	True	True	MYCBP2	protein-coding	True	both
ENSG00000005812	26224	FBXL3	protein-coding	True	True	FBXL3	protein-coding	True	both
ENSG00000005844	3683	ITGAL	protein-coding	True	True	ITGAL	protein-coding	True	both
ENSG00000005882	5164	PDK2	protein-coding	True	True	PDK2	protein-coding	True	both
ENSG00000005884	3675	ITGA3	protein-coding	True	True	ITGA3	protein-coding	True	both
ENSG00000005889	7543	ZFX	protein-coding	True	True	ZFX	protein-coding	True	both
ENSG00000005893	3920	LAMP2	protein-coding	True	True	LAMP2	protein-coding	True	both
ENSG00000005961	3674	ITGA2B	protein-coding	True	True	ITGA2B	protein-coding	True	both
ENSG00000005981	51666	ASB4	protein-coding	True	True	ASB4	protein-coding	True	both
ENSG00000006007	51573	GDE1	protein-coding	True	True	GDE1	protein-coding	True	both
ENSG00000006015	55049	REX1BD	protein-coding	True	True	REX1BD	protein-coding	True	both
ENSG00000006016	9244	CRLF1	protein-coding	True	True	CRLF1	protein-coding	True	both
ENSG00000006025	114881	OSBPL7	protein-coding	True	True	OSBPL7	protein-coding	True	both
ENSG00000006042	26022	TMEM98	protein-coding	True	True	TMEM98	protein-coding	True	both
ENSG00000006047	51087	YBX2	protein-coding	True	True	YBX2	protein-coding	True	both
ENSG00000006059	3883	KRT33A	protein-coding	True	True	KRT33A	protein-coding	True	both
ENSG00000006062	9020	MAP3K14	protein-coding	True	True	MAP3K14	protein-coding	True	both
ENSG00000006071	6833	ABCC8	protein-coding	True	True	ABCC8	protein-coding	True	both
ENSG00000006116	10368	CACNG3	protein-coding	True	True	CACNG3	protein-coding	True	both
ENSG00000006118	54972	TMEM132A	protein-coding	True	True	TMEM132A	protein-coding	True	both
ENSG00000006125	163	AP2B1	protein-coding	True	True	AP2B1	protein-coding	True	both
ENSG00000006128	6863	TAC1	protein-coding	True	True	TAC1	protein-coding	True	both
ENSG00000006194	10127	ZNF263	protein-coding	True	True	ZNF263	protein-coding	True	both
ENSG00000006210	6376	CX3CL1	protein-coding	True	True	CX3CL1	protein-coding	True	both
ENSG00000006282	64847	SPATA20	protein-coding	True	True	SPATA20	protein-coding	True	both
ENSG00000006283	8913	CACNA1G	protein-coding	True	True	CACNA1G	protein-coding	True	both
ENSG00000006327	51330	TNFRSF12A	protein-coding	True	True	TNFRSF12A	protein-coding	True	both
ENSG00000006377	1750	DLX6	protein-coding	True	True	DLX6	protein-coding	True	both
ENSG00000006432	4293	MAP3K9	protein-coding	True	True	MAP3K9	protein-coding	True	both
ENSG00000006451	5898	RALA	protein-coding	True	True	RALA	protein-coding	True	both
ENSG00000006453	55971	BAIAP2L1	protein-coding	True	True	BAIAP2L1	protein-coding	True	both
ENSG00000006459	80853	KDM7A	protein-coding	True	True	KDM7A	protein-coding	True	both
ENSG00000006468	2115	ETV1	protein-coding	True	True	ETV1	protein-coding	True	both
ENSG00000006530	55750	AGK	protein-coding	True	True	AGK	protein-coding	True	both
ENSG00000006534	221	ALDH3B1	protein-coding	True	True	ALDH3B1	protein-coding	True	both
ENSG00000006555	55001	TTC22	protein-coding	True	True	TTC22	protein-coding	True	both
ENSG00000006576	57157	PHTF2	protein-coding	True	True	PHTF2	protein-coding	True	both
ENSG00000006606	10344	CCL26	protein-coding	True	True	CCL26	protein-coding	True	both
ENSG00000006607	9855	FARP2	protein-coding	True	True	FARP2	protein-coding	True	both
ENSG00000006611	10083	USH1C	protein-coding	True	True	USH1C	protein-coding	True	both
ENSG00000006625	79017	GGCT	protein-coding	True	True	GGCT	protein-coding	True	both
ENSG00000006634	10926	DBF4	protein-coding	True	True	DBF4	protein-coding	True	both
ENSG00000006638	6915	TBXA2R	protein-coding	True	True	TBXA2R	protein-coding	True	both
ENSG00000006652	3475	IFRD1	protein-coding	True	True	IFRD1	protein-coding	True	both
ENSG00000006659	56891	LGALS14	protein-coding	True	True	LGALS14	protein-coding	True	both
ENSG00000006695	1352	COX10	protein-coding	True	True	COX10	protein-coding	True	both
ENSG00000006704	9569	GTF2IRD1	protein-coding	True	True	GTF2IRD1	protein-coding	True	both
ENSG00000006712	54623	PAF1	protein-coding	True	True	PAF1	protein-coding	True	both
ENSG00000006715	27072	VPS41	protein-coding	True	True	VPS41	protein-coding	True	both
ENSG00000006740	9912	ARHGAP44	protein-coding	True	True	ARHGAP44	protein-coding	True	both
ENSG00000006744	60528	ELAC2	protein-coding	True	True	ELAC2	protein-coding	True	both
ENSG00000006747	85477	SCIN	protein-coding	True	True	SCIN	protein-coding	True	both
ENSG00000006756	414	ARSD	protein-coding	True	True	ARSD	protein-coding	True	both
ENSG00000006757	8228	PNPLA4	protein-coding	True	True	PNPLA4	protein-coding	True	both
ENSG00000006788	8735	MYH13	protein-coding	True	True	MYH13	protein-coding	True	both
ENSG00000006831	79602	ADIPOR2	protein-coding	True	True	ADIPOR2	protein-coding	True	both
ENSG00000006837	51265	CDKL3	protein-coding	True	True	CDKL3	protein-coding	True	both
ENSG00000007001	151531	UPP2	protein-coding	True	True	UPP2	protein-coding	True	both
ENSG00000007038	10942	PRSS21	protein-coding	True	True	PRSS21	protein-coding	True	both
ENSG00000007047	57787	MARK4	protein-coding	True	True	MARK4	protein-coding	True	both
ENSG00000007062	8842	PROM1	protein-coding	True	True	PROM1	protein-coding	True	both
ENSG00000007080	115098	CCDC124	protein-coding	True	True	CCDC124	protein-coding	True	both
ENSG00000007129	90273	CEACAM21	protein-coding	True	True	CEACAM21	protein-coding	True	both
ENSG00000007168	5048	PAFAH1B1	protein-coding	True	True	PAFAH1B1	protein-coding	True	both
ENSG00000007171	4843	NOS2	protein-coding	True	True	NOS2	protein-coding	True	both
ENSG00000007174	1770	DNAH9	protein-coding	True	True	DNAH9	protein-coding	True	both
ENSG00000007202	9703	BLTP2	protein-coding	True	True	BLTP2	protein-coding	True	both
ENSG00000007216	9058	SLC13A2	protein-coding	True	True	SLC13A2	protein-coding	True	both
ENSG00000007237	8522	GAS7	protein-coding	True	True	GAS7	protein-coding	True	both
ENSG00000007255	79090	TRAPPC6A	protein-coding	True	True	TRAPPC6A	protein-coding	True	both
ENSG00000007264	4145	MATK	protein-coding	True	True	MATK	protein-coding	True	both
ENSG00000007306	1087	CEACAM7	protein-coding	True	True	CEACAM7	protein-coding	True	both
ENSG00000007312	974	CD79B	protein-coding	True	True	CD79B	protein-coding	True	both
ENSG00000007314	6329	SCN4A	protein-coding	True	True	SCN4A	protein-coding	True	both
ENSG00000007341	54879	ST7L	protein-coding	True	True	ST7L	protein-coding	True	both
ENSG00000007350	8277	TKTL1	protein-coding	True	True	TKTL1	protein-coding	True	both
ENSG00000007372	5080	PAX6	protein-coding	True	True	PAX6	protein-coding	True	both
ENSG00000007376	113000	RPUSD1	protein-coding	True	True	RPUSD1	protein-coding	True	both
ENSG00000007384	64285	RHBDF1	protein-coding	True	True	RHBDF1	protein-coding	True	both
ENSG00000007392	55692	LUC7L	protein-coding	True	True	LUC7L	protein-coding	True	both
ENSG00000007402	9254	CACNA2D2	protein-coding	True	True	CACNA2D2	protein-coding	True	both
ENSG00000007516	8938	BAIAP3	protein-coding	True	True	BAIAP3	protein-coding	True	both
ENSG00000007520	115939	TSR3	protein-coding	True	True	TSR3	protein-coding	True	both
ENSG00000007541	9091	PIGQ	protein-coding	True	True	PIGQ	protein-coding	True	both
ENSG00000007545	57585	CRAMP1	protein-coding	True	True	CRAMP1	protein-coding	True	both
ENSG00000007866	7005	TEAD3	protein-coding	True	True	TEAD3	protein-coding	True	both
ENSG00000007908	6401	SELE	protein-coding	True	True	SELE	protein-coding	True	both
ENSG00000007923	55735	DNAJC11	protein-coding	True	True	DNAJC11	protein-coding	True	both
ENSG00000007933	2328	FMO3	protein-coding	True	True	FMO3	protein-coding	True	both
ENSG00000007944	29116	MYLIP	protein-coding	True	True	MYLIP	protein-coding	True	both
ENSG00000007952	27035	NOX1	protein-coding	True	True	NOX1	protein-coding	True	both
ENSG00000007968	1870	E2F2	protein-coding	True	True	E2F2	protein-coding	True	both
ENSG00000008018	5689	PSMB1	protein-coding	True	True	PSMB1	protein-coding	True	both
ENSG00000008056	6853	SYN1	protein-coding	True	True	SYN1	protein-coding	True	both
ENSG00000008083	3720	JARID2	protein-coding	True	True	JARID2	protein-coding	True	both
ENSG00000008086	6792	CDKL5	protein-coding	True	True	CDKL5	protein-coding	True	both
ENSG00000008118	57172	CAMK1G	protein-coding	True	True	CAMK1G	protein-coding	True	both
ENSG00000008128	728642	CDK11A	protein-coding	True	True	CDK11A	protein-coding	True	both
ENSG00000008130	65220	NADK	protein-coding	True	True	NADK	protein-coding	True	both
ENSG00000008196	7021	TFAP2B	protein-coding	True	True	TFAP2B	protein-coding	True	both
ENSG00000008197	83741	TFAP2D	protein-coding	True	True	TFAP2D	protein-coding	True	both
ENSG00000008226	9940	DLEC1	protein-coding	True	True	DLEC1	protein-coding	True	both
ENSG00000008256	9265	CYTH3	protein-coding	True	True	CYTH3	protein-coding	True	both
ENSG00000008277	53616	ADAM22	protein-coding	True	True	ADAM22	protein-coding	True	both
ENSG00000008282	6856	SYPL1	protein-coding	True	True	SYPL1	protein-coding	True	both
ENSG00000008283	1534	CYB561	protein-coding	True	True	CYB561	protein-coding	True	both
ENSG00000008294	9043	SPAG9	protein-coding	True	True	SPAG9	protein-coding	True	both
ENSG00000008300	1951	CELSR3	protein-coding	True	True	CELSR3	protein-coding	True	both
ENSG00000008311	10157	AASS	protein-coding	True	True	AASS	protein-coding	True	both
ENSG00000008323	55200	PLEKHG6	protein-coding	True	True	PLEKHG6	protein-coding	True	both
ENSG00000008324	51188	SS18L2	protein-coding	True	True	SS18L2	protein-coding	True	both
ENSG00000008382	84954	MPND	protein-coding	True	True	MPND	protein-coding	True	both
ENSG00000008394	4257	MGST1	protein-coding	True	True	MGST1	protein-coding	True	both
ENSG00000008405	1407	CRY1	protein-coding	True	True	CRY1	protein-coding	True	both
ENSG00000008438	8993	PGLYRP1	protein-coding	True	True	PGLYRP1	protein-coding	True	both
ENSG00000008441	4784	NFIX	protein-coding	True	True	NFIX	protein-coding	True	both
ENSG00000008513	6482	ST3GAL1	protein-coding	True	True	ST3GAL1	protein-coding	True	both
ENSG00000008516	64386	MMP25	protein-coding	True	True	MMP25	protein-coding	True	both
ENSG00000008517	9235	IL32	protein-coding	True	True	IL32	protein-coding	True	both
ENSG00000008710	5310	PKD1	protein-coding	True	True	PKD1	protein-coding	True	both
ENSG00000008735	23542	MAPK8IP2	protein-coding	True	True	MAPK8IP2	protein-coding	True	both
ENSG00000008838	9862	MED24	protein-coding	True	True	MED24	protein-coding	True	both
ENSG00000008853	23221	RHOBTB2	protein-coding	True	True	RHOBTB2	protein-coding	True	both
ENSG00000008869	54497	HEATR5B	protein-coding	True	True	HEATR5B	protein-coding	True	both
ENSG00000008952	7095	SEC62	protein-coding	True	True	SEC62	protein-coding	True	both
ENSG00000008988	6224	RPS20	protein-coding	True	True	RPS20	protein-coding	True	both
ENSG00000009307	7812	CSDE1	protein-coding	True	True	CSDE1	protein-coding	True	both
ENSG00000009335	9690	UBE3C	protein-coding	True	True	UBE3C	protein-coding	True	both
ENSG00000009413	5980	REV3L	protein-coding	True	True	REV3L	protein-coding	True	both
ENSG00000009694	10178	TENM1	protein-coding	True	True	TENM1	protein-coding	True	both
ENSG00000009709	5081	PAX7	protein-coding	True	True	PAX7	protein-coding	True	both
ENSG00000009724	10747	MASP2	protein-coding	True	True	MASP2	protein-coding	True	both
ENSG00000009765	389434	IYD	protein-coding	True	True	IYD	protein-coding	True	both
ENSG00000009780	199870	FAM76A	protein-coding	True	True	FAM76A	protein-coding	True	both
ENSG00000009790	80342	TRAF3IP3	protein-coding	True	True	TRAF3IP3	protein-coding	True	both
ENSG00000009830	29954	POMT2	protein-coding	True	True	POMT2	protein-coding	True	both
ENSG00000009844	51534	VTA1	protein-coding	True	True	VTA1	protein-coding	True	both
ENSG00000009950	51085	MLXIPL	protein-coding	True	True	MLXIPL	protein-coding	True	both
ENSG00000009954	9031	BAZ1B	protein-coding	True	True	BAZ1B	protein-coding	True	both
ENSG00000010017	10048	RANBP9	protein-coding	True	True	RANBP9	protein-coding	True	both
ENSG00000010030	51513	ETV7	protein-coding	True	True	ETV7	protein-coding	True	both
ENSG00000010072	83932	SPRTN	protein-coding	True	True	SPRTN	protein-coding	True	both
ENSG00000010165	51603	METTL13	protein-coding	True	True	METTL13	protein-coding	True	both
ENSG00000010219	8798	DYRK4	protein-coding	True	True	DYRK4	protein-coding	True	both
ENSG00000010244	7756	ZNF207	protein-coding	True	True	ZNF207	protein-coding	True	both
ENSG00000010256	7384	UQCRC1	protein-coding	True	True	UQCRC1	protein-coding	True	both
ENSG00000010270	83930	STARD3NL	protein-coding	True	True	STARD3NL	protein-coding	True	both
ENSG00000010278	928	CD9	protein-coding	True	True	CD9	protein-coding	True	both
ENSG00000010282	57467	HHATL	protein-coding	True	True	HHATL	protein-coding	True	both
ENSG00000010292	9918	NCAPD2	protein-coding	True	True	NCAPD2	protein-coding	True	both
ENSG00000010295	25900	IFFO1	protein-coding	True	True	IFFO1	protein-coding	True	both
ENSG00000010310	2696	GIPR	protein-coding	True	True	GIPR	protein-coding	True	both
ENSG00000010318	51533	PHF7	protein-coding	True	True	PHF7	protein-coding	True	both
ENSG00000010319	56920	SEMA3G	protein-coding	True	True	SEMA3G	protein-coding	True	both
ENSG00000010322	11188	NISCH	protein-coding	True	True	NISCH	protein-coding	True	both
ENSG00000010327	23166	STAB1	protein-coding	True	True	STAB1	protein-coding	True	both
ENSG00000010361	80199	FUZ	protein-coding	True	True	FUZ	protein-coding	True	both
ENSG00000010379	6540	SLC6A13	protein-coding	True	True	SLC6A13	protein-coding	True	both
ENSG00000010404	3423	IDS	protein-coding	True	True	IDS	protein-coding	True	both
ENSG00000010438	5646	PRSS3	protein-coding	True	True	PRSS3	protein-coding	True	both
ENSG00000010539	7752	ZNF200	protein-coding	True	True	ZNF200	protein-coding	True	both
ENSG00000010610	920	CD4	protein-coding	True	True	CD4	protein-coding	True	both
ENSG00000010626	10233	LRRC23	protein-coding	True	True	LRRC23	protein-coding	True	both
ENSG00000010671	695	BTK	protein-coding	True	True	BTK	protein-coding	True	both
ENSG00000010704	3077	HFE	protein-coding	True	True	HFE	protein-coding	True	both
ENSG00000010803	22955	SCMH1	protein-coding	True	True	SCMH1	protein-coding	True	both
ENSG00000010810	2534	FYN	protein-coding	True	True	FYN	protein-coding	True	both
ENSG00000010818	3097	HIVEP2	protein-coding	True	True	HIVEP2	protein-coding	True	both
ENSG00000010932	2326	FMO1	protein-coding	True	True	FMO1	protein-coding	True	both
ENSG00000011007	6924	ELOA	protein-coding	True	True	ELOA	protein-coding	True	both
ENSG00000011009	11313	LYPLA2	protein-coding	True	True	LYPLA2	protein-coding	True	both
ENSG00000011021	1185	CLCN6	protein-coding	True	True	CLCN6	protein-coding	True	both
ENSG00000011028	9902	MRC2	protein-coding	True	True	MRC2	protein-coding	True	both
ENSG00000011052	654364	NME1-NME2	protein-coding	True	True	NME1-NME2	protein-coding	True	both
ENSG00000011083	6534	SLC6A7	protein-coding	True	True	SLC6A7	protein-coding	True	both
ENSG00000011105	10867	TSPAN9	protein-coding	True	True	TSPAN9	protein-coding	True	both
ENSG00000011114	55727	BTBD7	protein-coding	True	True	BTBD7	protein-coding	True	both
ENSG00000011132	9546	APBA3	protein-coding	True	True	APBA3	protein-coding	True	both
ENSG00000011143	54903	MKS1	protein-coding	True	True	MKS1	protein-coding	True	both
ENSG00000011198	51099	ABHD5	protein-coding	True	True	ABHD5	protein-coding	True	both
ENSG00000011201	3730	ANOS1	protein-coding	True	True	ANOS1	protein-coding	True	both
ENSG00000011243	26993	AKAP8L	protein-coding	True	True	AKAP8L	protein-coding	True	both
ENSG00000011258	54799	MBTD1	protein-coding	True	True	MBTD1	protein-coding	True	both
ENSG00000011260	51096	UTP18	protein-coding	True	True	UTP18	protein-coding	True	both
ENSG00000011275	54476	RNF216	protein-coding	True	True	RNF216	protein-coding	True	both
ENSG00000011295	54902	TTC19	protein-coding	True	True	TTC19	protein-coding	True	both
ENSG00000011304	5725	PTBP1	protein-coding	True	True	PTBP1	protein-coding	True	both
ENSG00000011332	8193	DPF1	protein-coding	True	True	DPF1	protein-coding	True	both
ENSG00000011347	9066	SYT7	protein-coding	True	True	SYT7	protein-coding	True	both
ENSG00000011376	23395	LARS2	protein-coding	True	True	LARS2	protein-coding	True	both
ENSG00000011405	5286	PIK3C2A	protein-coding	True	True	PIK3C2A	protein-coding	True	both
ENSG00000011422	5329	PLAUR	protein-coding	True	True	PLAUR	protein-coding	True	both
ENSG00000011426	54443	ANLN	protein-coding	True	True	ANLN	protein-coding	True	both
ENSG00000011451	58525	WIZ	protein-coding	True	True	WIZ	protein-coding	True	both
ENSG00000011454	23637	RABGAP1	protein-coding	True	True	RABGAP1	protein-coding	True	both
ENSG00000011465	1634	DCN	protein-coding	True	True	DCN	protein-coding	True	both
ENSG00000011478	54814	QPCTL	protein-coding	True	True	QPCTL	protein-coding	True	both
ENSG00000011485	5536	PPP5C	protein-coding	True	True	PPP5C	protein-coding	True	both
ENSG00000011523	23177	CEP68	protein-coding	True	True	CEP68	protein-coding	True	both
ENSG00000011566	8491	MAP4K3	protein-coding	True	True	MAP4K3	protein-coding	True	both
ENSG00000011590	27033	ZBTB32	protein-coding	True	True	ZBTB32	protein-coding	True	both
ENSG00000011600	7305	TYROBP	protein-coding	True	True	TYROBP	protein-coding	True	both
ENSG00000011638	57146	LDAF1	protein-coding	True	True	LDAF1	protein-coding	True	both
ENSG00000011677	2556	GABRA3	protein-coding	True	True	GABRA3	protein-coding	True	both
ENSG00000012048	672	BRCA1	protein-coding	True	True	BRCA1	protein-coding	True	both
ENSG00000012061	2067	ERCC1	protein-coding	True	True	ERCC1	protein-coding	True	both
ENSG00000012124	933	CD22	protein-coding	True	True	CD22	protein-coding	True	both
ENSG00000012171	7869	SEMA3B	protein-coding	True	True	SEMA3B	protein-coding	True	both
ENSG00000012174	51360	MBTPS2	protein-coding	True	True	MBTPS2	protein-coding	True	both
ENSG00000012211	4007	PRICKLE3	protein-coding	True	True	PRICKLE3	protein-coding	True	both
ENSG00000012223	4057	LTF	protein-coding	True	True	LTF	protein-coding	True	both
ENSG00000012232	2137	EXTL3	protein-coding	True	True	EXTL3	protein-coding	True	both
ENSG00000012504	9971	NR1H4	protein-coding	True	True	NR1H4	protein-coding	True	both
