analysis_id	source	endpoint	program	deletions	median_abs_change	max_abs_change	direction_preserved_n	original_effect	minimum_remaining_up	minimum_remaining_down
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P4	9	0.00045664116113779997	0.0019305891228439996	9	0.0076916675027862	281	112
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P5	7	0.0008569761097676001	0.007785159663328399	7	0.0185780715972731	15	39
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P6	9	0.0009318746571730999	0.0031396701981074027	9	0.0372744606356522	42	69
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P7	9	0.00042974809889309985	0.0032559355451692	7	0.0015727222915098	67	171
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P8	9	0.00038456394453119727	0.000598128488814801	9	0.0228918428128885	1170	1470
M04	GSE250152	Morton minus control	P1	9	0.0008071103230171003	0.005987849858926	8	0.0025504917589955	247	292
M04	GSE250152	Morton minus control	P10	9	0.0005281194279141994	0.004729890887537401	9	0.0101414208884751	195	98
M04	GSE250152	Morton minus control	P2	9	0.0008870345872161005	0.0030689823143514993	9	0.0111337852952969	1242	1558
M04	GSE250152	Morton minus control	P3	9	0.0007382731789149994	0.0052346979812249	8	0.0046055320784919	124	250
M04	GSE250152	Morton minus control	P4	9	0.0003307887789666987	0.003871259264723201	9	0.0086309807878424	288	112
M04	GSE250152	Morton minus control	P5	7	0.0011643354756519994	0.0038172440021247006	7	-0.0215980474390003	15	38
M04	GSE250152	Morton minus control	P6	9	0.0027792395408341025	0.006275356053909702	9	0.0337725119723272	41	67
M04	GSE250152	Morton minus control	P7	9	0.0003837749978412002	0.0055711606541447994	9	-0.0057893558773425	76	162
M04	GSE250152	Morton minus control	P8	9	0.0006974904591374991	0.0029425169493205996	9	0.0101163246998001	1169	1462
M05	GSE143979	AH DPN minus MNC	P1	9	0.001093028762294999	0.004903281786893799	9	0.0146267140585267	250	285
M05	GSE143979	AH DPN minus MNC	P10	9	0.0014145289207794995	0.003044817213946999	9	0.0156261245448968	195	98
M05	GSE143979	AH DPN minus MNC	P2	9	0.0002662678058698003	0.0023081661417265	9	0.0043016923282453	1244	1546
M05	GSE143979	AH DPN minus MNC	P3	9	0.0002776203208296	0.0010138060096183997	9	-0.0051135175825928	117	263
M05	GSE143979	AH DPN minus MNC	P4	9	0.0011196920348560003	0.0020186811497032	9	0.0088177672659256	283	111
M05	GSE143979	AH DPN minus MNC	P5	7	0.0016266838454212992	0.010262385912351804	7	0.037343859683253	14	38
M05	GSE143979	AH DPN minus MNC	P6	9	0.0006629475310988998	0.0060204158840403	8	-0.0041551534177095	42	67
M05	GSE143979	AH DPN minus MNC	P7	9	0.00023704049305159998	0.0019815311868331006	9	-0.002821040902561	68	173
M05	GSE143979	AH DPN minus MNC	P8	9	0.00026802249889340025	0.0024317165695239003	9	0.0044446054100294	1168	1451
M05	GSE143979	MG DPN minus MNC	P1	9	0.0005677316717716003	0.0032254233216086996	9	-0.0112408381395919	250	285
M05	GSE143979	MG DPN minus MNC	P10	9	0.00023172443929569964	0.0011478875350688991	9	-0.0117919865988046	195	98
M05	GSE143979	MG DPN minus MNC	P2	9	0.0002656818038821989	0.0009360126460484005	9	0.0084387799022533	1244	1546
M05	GSE143979	MG DPN minus MNC	P3	9	0.00041577499252089993	0.0034748745618561998	9	0.003639714431527	117	263
M05	GSE143979	MG DPN minus MNC	P4	9	0.00025711370645780003	0.0008773767614332004	9	-0.0103218398373277	283	111
M05	GSE143979	MG DPN minus MNC	P5	7	0.0005111574453504006	0.0037098350513194087	7	0.0599615292956116	14	38
M05	GSE143979	MG DPN minus MNC	P6	9	0.00040930431237449995	0.0039168106266476	7	-0.0009808188285233	42	67
M05	GSE143979	MG DPN minus MNC	P7	9	0.0005661367027296003	0.0041355774555478005	9	0.0076401961670697	68	173
M05	GSE143979	MG DPN minus MNC	P8	9	0.00021967064301310103	0.0009724758547478996	9	0.0086914303718945	1168	1451
