analysis_id	source	endpoint	program	block	original_effect	deleted_effect	eligible_before	eligible_after	rank_universe_same	remaining_up	remaining_down	reason
M01	GSE148059_C02	GSE148059_C02	P8	black	-2.8827392333650472e-05	-9.338168141121794e-05	True	True	True	1237	1576	
M01	GSE148059_C02	GSE148059_C02	P8	blue	-2.8827392333650472e-05	-4.562824434767136e-05	True	True	True	1230	1506	
M01	GSE148059_C02	GSE148059_C02	P8	brown	-2.8827392333650472e-05	-5.2146334373860535e-05	True	True	True	1245	1462	
M01	GSE148059_C02	GSE148059_C02	P8	green	-2.8827392333650472e-05	5.649861872621245e-05	True	True	True	1283	1536	
M01	GSE148059_C02	GSE148059_C02	P8	magenta	-2.8827392333650472e-05	-1.4082331623294802e-05	True	True	True	1283	1581	
M01	GSE148059_C02	GSE148059_C02	P8	pink	-2.8827392333650472e-05	-0.0002328625604911	True	True	True	1261	1578	
M01	GSE148059_C02	GSE148059_C02	P8	red	-2.8827392333650472e-05	-6.840041041563066e-05	True	True	True	1289	1521	
M01	GSE148059_C02	GSE148059_C02	P8	turquoise	-2.8827392333650472e-05	0.000104533268372	True	True	True	1171	1546	
M01	GSE148059_C02	GSE148059_C02	P8	yellow	-2.8827392333650472e-05	-0.000210617751191	True	True	True	1189	1533	
M01	GSE148059_C02	GSE148059_C02	P7	black	-0.0006576252344175	-0.000502108159951	True	True	True	72	195	
M01	GSE148059_C02	GSE148059_C02	P7	blue	-0.0006576252344175	-0.0003913707816028	True	True	True	67	190	
M01	GSE148059_C02	GSE148059_C02	P7	brown	-0.0006576252344175	-0.0005281797529125	True	True	True	71	173	
M01	GSE148059_C02	GSE148059_C02	P7	green	-0.0006576252344175	-0.0005248704447794	True	True	True	72	185	
M01	GSE148059_C02	GSE148059_C02	P7	magenta	-0.0006576252344175	-0.0006590001287625	True	True	True	73	198	
M01	GSE148059_C02	GSE148059_C02	P7	pink	-0.0006576252344175	-0.0004985148941065	True	True	True	73	196	
M01	GSE148059_C02	GSE148059_C02	P7	red	-0.0006576252344175	-0.0006823036312634	True	True	True	70	193	
M01	GSE148059_C02	GSE148059_C02	P7	turquoise	-0.0006576252344175	-0.0007414056443659	True	True	True	65	176	
M01	GSE148059_C02	GSE148059_C02	P7	yellow	-0.0006576252344175	-0.0004985414591747	True	True	True	70	190	
M01	GSE148059_C02	GSE148059_C02	P6	black	-0.0015641186172901	-0.0018577133765664	True	True	True	43	78	
M01	GSE148059_C02	GSE148059_C02	P6	blue	-0.0015641186172901	-0.0006737093311351	True	True	True	41	76	
M01	GSE148059_C02	GSE148059_C02	P6	brown	-0.0015641186172901	-0.0018933806256453	True	True	True	44	69	
M01	GSE148059_C02	GSE148059_C02	P6	green	-0.0015641186172901	-0.0013445797081693	True	True	True	46	75	
M01	GSE148059_C02	GSE148059_C02	P6	magenta	-0.0015641186172901	-0.0016098913144427	True	True	True	45	79	
M01	GSE148059_C02	GSE148059_C02	P6	pink	-0.0015641186172901	-0.001633217804894	True	True	True	44	79	
M01	GSE148059_C02	GSE148059_C02	P6	red	-0.0015641186172901	-0.0015602990561772	True	True	True	46	77	
M01	GSE148059_C02	GSE148059_C02	P6	turquoise	-0.0015641186172901	-0.0016795545432304	True	True	True	40	74	
M01	GSE148059_C02	GSE148059_C02	P6	yellow	-0.0015641186172901	-0.0017893745171821	True	True	True	43	77	
M01	GSE148059_C02	GSE148059_C02	P1	black	0.002906255526385	0.0029836043147864	True	True	True	300	318	
M01	GSE148059_C02	GSE148059_C02	P1	blue	0.002906255526385	0.0022677367717003	True	True	True	294	285	
M01	GSE148059_C02	GSE148059_C02	P1	brown	0.002906255526385	0.0025811594463625	True	True	True	285	298	
M01	GSE148059_C02	GSE148059_C02	P1	green	0.002906255526385	0.0025152450474571	True	True	True	277	325	
M01	GSE148059_C02	GSE148059_C02	P1	magenta	0.002906255526385	0.0029147019347323	True	True	True	300	327	
M01	GSE148059_C02	GSE148059_C02	P1	pink	0.002906255526385	0.0029461265552069	True	True	True	300	326	
M01	GSE148059_C02	GSE148059_C02	P1	red	0.002906255526385	0.0029452402296309	True	True	True	295	320	
M01	GSE148059_C02	GSE148059_C02	P1	turquoise	0.002906255526385	0.0032353354308016	True	True	True	250	307	
M01	GSE148059_C02	GSE148059_C02	P1	yellow	0.002906255526385	0.0031657679922778	True	True	True	288	312	
M01	GSE148059_C02	GSE148059_C02	P2	black	-6.596723168979956e-05	-0.0001349435656067	True	True	True	1316	1685	
M01	GSE148059_C02	GSE148059_C02	P2	blue	-6.596723168979956e-05	-3.6142131835517947e-05	True	True	True	1304	1613	
M01	GSE148059_C02	GSE148059_C02	P2	brown	-6.596723168979956e-05	-0.0001059121116517	True	True	True	1325	1560	
M01	GSE148059_C02	GSE148059_C02	P2	green	-6.596723168979956e-05	2.3228432482480572e-05	True	True	True	1365	1642	
M01	GSE148059_C02	GSE148059_C02	P2	magenta	-6.596723168979956e-05	-5.297242341439733e-05	True	True	True	1364	1691	
M01	GSE148059_C02	GSE148059_C02	P2	pink	-6.596723168979956e-05	-0.0002679023848277	True	True	True	1340	1688	
M01	GSE148059_C02	GSE148059_C02	P2	red	-6.596723168979956e-05	-0.0001013822704011	True	True	True	1370	1627	
M01	GSE148059_C02	GSE148059_C02	P2	turquoise	-6.596723168979956e-05	5.323684829277084e-05	True	True	True	1244	1651	
M01	GSE148059_C02	GSE148059_C02	P2	yellow	-6.596723168979956e-05	-0.0002589954555311	True	True	True	1263	1641	
M01	GSE148059_C02	GSE148059_C02	P3	black	-0.0009399181623477	-0.0009346591832725	True	True	True	122	295	
M01	GSE148059_C02	GSE148059_C02	P3	blue	-0.0009399181623477	-0.000505909755023	True	True	True	115	287	
M01	GSE148059_C02	GSE148059_C02	P3	brown	-0.0009399181623477	-0.0009243963239893	True	True	True	121	264	
M01	GSE148059_C02	GSE148059_C02	P3	green	-0.0009399181623477	-0.0007953383703336	True	True	True	125	282	
M01	GSE148059_C02	GSE148059_C02	P3	magenta	-0.0009399181623477	-0.0009530879234459	True	True	True	125	299	
M01	GSE148059_C02	GSE148059_C02	P3	pink	-0.0009399181623477	-0.0008115658931945	True	True	True	124	296	
M01	GSE148059_C02	GSE148059_C02	P3	red	-0.0009399181623477	-0.0010289410167	True	True	True	121	292	
M01	GSE148059_C02	GSE148059_C02	P3	turquoise	-0.0009399181623477	-0.0010347738169786	True	True	True	112	271	
M01	GSE148059_C02	GSE148059_C02	P3	yellow	-0.0009399181623477	-0.0008503729782452	True	True	True	120	284	
M01	GSE148059_C02	GSE148059_C02	P4	black	-0.0005137078967676	-0.0004314248968678	True	True	True	316	132	
M01	GSE148059_C02	GSE148059_C02	P4	blue	-0.0005137078967676	-0.0007824197977712	True	True	True	301	112	
M01	GSE148059_C02	GSE148059_C02	P4	brown	-0.0005137078967676	-0.0003155631829408	True	True	True	304	118	
M01	GSE148059_C02	GSE148059_C02	P4	green	-0.0005137078967676	-0.0006925486983627	True	True	True	305	131	
