endpoint	version	module_id	status	n_total	n_positive	n_negative	mean_difference	ci_low	ci_high	t	p	hedges_g	fixed_direction_auc	missing	exact	permutations	reason	q_BH_common_method
GSE148059_C02	repaired_inherited	late_allcell_residual	COMPLETED	77.0	22.0	27.0	-2.039449799851361e-05	-0.0028612634184253	0.0028222364720961	-0.0140297375861419	0.9901	-0.0037883511209279	0.5235690235690236	0.0	False	9999.0		0.9901
GSE148059_C02	repaired_inherited	late_neuron_residual	COMPLETED	77.0	22.0	27.0	-0.0006599643447486	-0.0033946188242723	0.0019791481228176	-0.5122249081120877	0.6617	-0.1278122623362421	0.4747474747474747	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	late_shared_concordant_neuronal_core	COMPLETED	77.0	22.0	27.0	-0.0015668390251847	-0.0052201789948722	0.0022835192085374	-0.8553354518322438	0.4337	-0.2231944475263078	0.4646464646464646	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	original_early_allcell	COMPLETED	77.0	22.0	27.0	0.0028976851868576	-0.0011167152651848	0.0065888680194287	1.4030111383747286	0.1854	0.3819790384949072	0.6178451178451179	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	original_late_allcell	COMPLETED	77.0	22.0	27.0	-5.809925223011857e-05	-0.0027058396747656	0.0026753915277959	-0.0401854039103087	0.9712	-0.0108096883571237	0.5269360269360269	0.0	False	9999.0		0.9901
GSE148059_C02	repaired_inherited	original_late_neuron	COMPLETED	77.0	22.0	27.0	-0.0009425507423654	-0.0031956820397256	0.0012516938385312	-0.8549671098454608	0.4653	-0.2111772825983881	0.4494949494949495	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	original_severity	COMPLETED	77.0	22.0	27.0	-0.0005267280691266	-0.0022457219514612	0.0012193953775306	-0.412534933710776	0.5764	-0.1577105397924773	0.4175084175084175	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	original_xenium	COMPLETED	77.0	22.0	27.0	0.0012803948479413	-0.0008092953189846	0.003553166122991	1.0441606189524073	0.2694	0.3226643890415901	0.5942760942760943	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	severity_neuron_residual	COMPLETED	77.0	22.0	27.0	-0.0006043803227454	-0.0025600833574194	0.0015134550055877	-0.4128752649027276	0.5721	-0.1567624340583014	0.4225589225589226	0.0	False	9999.0		0.8507571428571428
GSE148059_C02	repaired_inherited	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
original_hDRG_DPN_control	repaired_statfree	late_allcell_residual	COMPLETED	12.0	5.0	7.0	0.0228918428128885	0.0057566564561293	0.0387770279166859	1.6287633351431496	0.15	0.9304175229893604	0.8285714285714286	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	late_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0015727222915099	-0.0063749524624588	0.0097838025076427	0.3263160005179928	0.7566666666666667	0.1720409636874928	0.4857142857142857	0.0	True	300.0		0.8033333333333333
original_hDRG_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	COMPLETED	12.0	5.0	7.0	0.0372744606356522	0.017543914063896	0.0556861818238425	1.797587078682502	0.14	1.1227833291918403	0.7428571428571429	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_early_allcell	COMPLETED	12.0	5.0	7.0	-0.0025231213324022	-0.0165601989188495	0.0122610927408388	-0.2801447583496404	0.8033333333333333	-0.1369013716743023	0.3428571428571428	0.0	True	300.0		0.8033333333333333
original_hDRG_DPN_control	repaired_statfree	original_late_allcell	COMPLETED	12.0	5.0	7.0	0.0233554988033742	0.0062839669841979	0.0391490723012885	1.6476157668842597	0.1366666666666666	0.947068879213492	0.8285714285714286	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_late_neuron	COMPLETED	12.0	5.0	7.0	0.0106912703520711	0.0021866833067172	0.0190441892932044	1.516769913955072	0.1633333333333333	0.9045913748858028	0.7142857142857143	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_severity	COMPLETED	12.0	5.0	7.0	0.0076916675027862	0.0012016515992147	0.0147085029361594	1.5333681832182071	0.16	0.835127918501298	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	original_xenium	COMPLETED	12.0	5.0	7.0	0.0185780715972731	-0.0324779914969498	0.067323372458668	0.5735342121801174	0.6	0.2982478492600079	0.6	0.0	True	300.0		0.7714285714285714
original_hDRG_DPN_control	repaired_statfree	severity_neuron_residual	COMPLETED	12.0	5.0	7.0	0.0089886909223649	0.0012134152758956	0.0175397199648455	1.498421701106213	0.1733333333333333	0.8059408064136171	0.7714285714285715	0.0	True	300.0		0.26
original_hDRG_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
original_JCI_sural_DPN_control	repaired_statfree	late_allcell_residual	COMPLETED	12.0	6.0	6.0	-0.0368927498444749	-0.069458476561306	-0.0148643135230175	-2.282981564756867	0.0043290043290043	-1.2166892501236892	0.0277777777777777	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_statfree	late_neuron_residual	COMPLETED	12.0	6.0	6.0	0.0267471692281034	0.0060869631622755	0.0482512757624348	2.2134788369570497	0.0562770562770562	1.1796485560271006	0.8611111111111112	0.0	True	924.0		0.0751391465677179
original_JCI_sural_DPN_control	repaired_statfree	late_shared_concordant_neuronal_core	COMPLETED	12.0	6.0	6.0	0.0098280128728479	-0.0142045933086798	0.0343041517349197	0.710976116172954	0.4826839826839826	0.3789066942090919	0.6111111111111112	0.0	True	924.0		0.5430194805194806
original_JCI_sural_DPN_control	repaired_statfree	original_early_allcell	COMPLETED	12.0	6.0	6.0	-0.0504969177382452	-0.0746488843903219	-0.0320823428541044	-4.25644153073159	0.0021645021645021	-2.268422458668726	0.0	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_statfree	original_late_allcell	COMPLETED	12.0	6.0	6.0	-0.0355009321050886	-0.066264440637873	-0.0134249632492685	-2.2455899189283026	0.0064935064935064	-1.1967617946302451	0.0555555555555555	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_statfree	original_late_neuron	COMPLETED	12.0	6.0	6.0	0.0254459559081848	0.0064217482364893	0.0449571064281462	2.2614457874069505	0.0584415584415584	1.2052120007235214	0.8055555555555556	0.0	True	924.0		0.0751391465677179
original_JCI_sural_DPN_control	repaired_statfree	original_severity	COMPLETED	12.0	6.0	6.0	-0.0163320793528477	-0.0289843860131454	-0.0065037087086198	-2.4539541525764483	0.0108225108225108	-1.307807160525242	0.0833333333333333	0.0	True	924.0		0.0194805194805194
original_JCI_sural_DPN_control	repaired_statfree	original_xenium	COMPLETED	12.0	6.0	6.0	0.0067523960673221	-0.0190601945972892	0.0333214894126837	0.4780977951030553	0.6341991341991342	0.254796822186199	0.6388888888888888	0.0	True	924.0		0.6341991341991342
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_residual	COMPLETED	12.0	6.0	6.0	-0.0160078762843208	-0.0268315296434269	-0.0068875836928948	-2.745360921304918	0.0064935064935064	-1.463109107942837	0.0555555555555555	0.0	True	924.0		0.0146103896103896
original_JCI_sural_DPN_control	repaired_statfree	severity_neuron_shared_concordant_core	NOT_EVALUABLE														fewer than 10 measured genes per signed arm	
original_JCI_sural_severe_moderate	repaired_statfree	late_allcell_residual	COMPLETED	17.0	13.0	4.0	0.0058394150049487	-0.017856065984234	0.0329955150595568	0.3858125105446113	0.7109243697478992	0.1846790537349394	0.5384615384615384	0.0	True	2380.0		0.9176470588235294
original_JCI_sural_severe_moderate	repaired_statfree	late_neuron_residual	COMPLETED	17.0	13.0	4.0	-0.0016011955304053	-0.0143081243609088	0.0087172953576278	-0.2322785354003394	0.8134453781512605	-0.1423353207702527	0.4615384615384615	0.0	True	2380.0		0.9176470588235294
