source	program	version	model	status_new	reason_new	effect_new	p_new	ci_low_new	ci_high_new	rank_new	columns_new	n_new	residual_df_new	condition_number_new	group_R2_from_proxy_covariates_new	missing_response	q_new	status_old	reason_old	effect_old	p_old	ci_low_old	ci_high_old	rank_old	columns_old	n_old	residual_df_old	condition_number_old	effect_change_from_unadjusted	proxy_panels	Y	group_R2_from_proxy_covariates_old	q_old
GSE24290	original_late_neuron	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.000499270564595	0.8845903050005929	-0.0072408074445727	0.0062422663153826	2.0	2.0	35	33.0	2.6528561187650106			0.989221731522276	COMPLETED	observational_HC3	0.0001535879129282	0.9347002500599229	-0.0035204868560856	0.003827662681942	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.979602815753176
GSE24290	original_late_neuron	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0006005276796712	0.7584505118145025	-0.0032269542949596	0.0044280096543021	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.9128368746278857	COMPLETED	observational_HC3	0.0010471430635068	0.3506586147497635	-0.0011518659185437	0.0032461520455574	4	4	35	31	3.9781341842818767	0.0008935551505786	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_severity	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0048782004248135	0.1309283819505577	-0.0112081622061812	0.001451761356554	2.0	2.0	35	33.0	2.6528561187650106			0.6053532753448846	COMPLETED	observational_HC3	-0.0043103607103923	0.1482477761998548	-0.0101538059441543	0.0015330845233697	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	original_severity	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	-0.0061353130263259	0.1457478312862361	-0.0144015247666767	0.0021308987140248	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7437221416463349	COMPLETED	observational_HC3	-0.0055584763285776	0.1550949383834479	-0.0132210826104559	0.0021041299533006	4	4	35	31	3.9781341842818767	-0.0012481156181853	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_xenium	repaired_inherited	unadjusted	COMPLETED	observational_HC3	0.0049169598261659	0.3572036568016686	-0.0055500713875568	0.0153839910398888	2.0	2.0	35	33.0	2.6528561187650106			0.8027437882661256	COMPLETED	observational_HC3	0.0049169598261659	0.3572036568016692	-0.0055500713875568	0.0153839910398888	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE24290	original_xenium	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	0.0045918959731809	0.4500431896427983	-0.0073231551165636	0.0165069470629255	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.8044755490217894	COMPLETED	observational_HC3	0.0045918959731809	0.4500431896427986	-0.0073231551165637	0.0165069470629255	4	4	35	31	3.9781341842818767	-0.000325063852985	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7500719827379978
GSE24290	severity_neuron_residual	repaired_inherited	unadjusted	COMPLETED	observational_HC3	-0.0054970608803075	0.1282815831379344	-0.0125809893239265	0.0015868675633113	2.0	2.0	35	33.0	2.6528561187650106			0.6053532753448846	COMPLETED	observational_HC3	-0.005434529393672	0.1287974332319641	-0.0124473372616375	0.0015782784742934	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	severity_neuron_residual	repaired_inherited	proxy_adjusted	COMPLETED	observational_HC3	-0.0071250007979216	0.11815298574736	-0.0160620181515551	0.0018120165557118	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7437221416463349	COMPLETED	observational_HC3	-0.0070689951063253	0.1184301318150869	-0.0159424441158661	0.0018044539032154	4	4	35	31	3.9781341842818767	-0.0016344657126532	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	unadjusted	NOT_EVALUABLE	cached_response_missing_no_imputation							35				35.0		COMPLETED	observational_HC3	-0.000703515331476	0.7649295396223363	-0.0053148906402928	0.0039078599773406	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8999171054380428
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	proxy_adjusted	NOT_EVALUABLE	cached_response_missing_no_imputation							35				35.0		COMPLETED	observational_HC3	-0.0006150084543713	0.82741520789296	-0.0061438880891162	0.0049138711803735	4	4	35	31	3.9781341842818767	8.8506877104726e-05	8	unchanged_Batch01_cached_score	0.0654844821047549	0.9267145304170862
GSE24290	late_allcell_residual	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0071605111076229	0.162119831926614	-0.0171995454625458	0.0028785232472998	2.0	2.0	35	33.0	2.6528561187650106			0.603543165718204	COMPLETED	observational_HC3	-0.0071171754899373	0.1631220176223649	-0.0171192747932203	0.0028849238133456	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	late_allcell_residual	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.0047620493885932	0.3271097311092905	-0.014286438048146	0.0047623392709595	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7462337587453491	COMPLETED	observational_HC3	-0.004734382324446	0.3282931857556358	-0.014226630170855	0.004757865521963	4	4	35	31	3.9781341842818767	0.0023827931654913	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	late_neuron_residual	repaired_statfree	unadjusted	COMPLETED	observational_HC3	0.0005273554335506	0.8798371298827083	-0.006309707367807	0.0073644182349083	2.0	2.0	35	33.0	2.6528561187650106			0.9847156815184405	COMPLETED	observational_HC3	0.0009609559220393	0.6082728814772707	-0.0027137576158864	0.0046356694599651	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8689612592532439
GSE24290	late_neuron_residual	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	0.0015939254800183	0.465321692167137	-0.0026849198094694	0.0058727707695061	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7919025936809758	COMPLETED	observational_HC3	0.0019388818981743	0.1200211108016696	-0.0005054323594947	0.0043831961558435	4	4	35	31	3.9781341842818767	0.000977925976135	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0043372729324156	0.4751832560146112	-0.0162421091886744	0.0075675633238431	2.0	2.0	35	33.0	2.6528561187650106			0.8094711171035373	COMPLETED	observational_HC3	-0.0028492539759639	0.4847423431343515	-0.0108419133373657	0.0051434053854379	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.002468253516083	0.581010118737959	-0.0112336125447722	0.006297105512606	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.8044755490217894	COMPLETED	observational_HC3	-0.0013287645487949	0.6595679330258761	-0.0072408482264376	0.0045833191288477	4	4	35	31	3.9781341842818767	0.0015204894271689	8	unchanged_Batch01_cached_score	0.0654844821047549	0.8794239107011682
GSE24290	original_early_allcell	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0033353447737865	0.5574353029889645	-0.0144784415278596	0.0078077519802865	2.0	2.0	35	33.0	2.6528561187650106			0.8094711171035373	COMPLETED	observational_HC3	-0.0033353447737865	0.5574353029889652	-0.0144784415278596	0.0078077519802865	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE24290	original_early_allcell	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.007245842362995	0.1176961922398151	-0.0163231420158942	0.001831457289904	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7462337587453491	COMPLETED	observational_HC3	-0.007245842362995	0.1176961922398159	-0.0163231420158942	0.001831457289904	4	4	35	31	3.9781341842818767	-0.0039104975892085	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_late_allcell	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0070024354687841	0.1676508793661678	-0.0169492442838133	0.002944373346245	2.0	2.0	35	33.0	2.6528561187650106			0.603543165718204	COMPLETED	observational_HC3	-0.0069407304477028	0.1679714961074913	-0.0168073273362066	0.002925866440801	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	original_late_allcell	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.0046319379532408	0.3305431740650377	-0.0139620935892306	0.0046982176827489	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7462337587453491	COMPLETED	observational_HC3	-0.0045894720874024	0.3311649607885523	-0.0138459829636107	0.0046670387888058	4	4	35	31	3.9781341842818767	0.0023512583603003	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_late_neuron	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.000499270564595	0.8845903050005929	-0.0072408074445727	0.0062422663153826	2.0	2.0	35	33.0	2.6528561187650106			0.9847156815184405	COMPLETED	observational_HC3	0.0001535879129282	0.9347002500599229	-0.0035204868560856	0.003827662681942	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.979602815753176
GSE24290	original_late_neuron	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	0.0006005276796712	0.7584505118145025	-0.0032269542949596	0.0044280096543021	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.9186039994726428	COMPLETED	observational_HC3	0.0010471430635068	0.3506586147497635	-0.0011518659185437	0.0032461520455574	4	4	35	31	3.9781341842818767	0.0008935551505786	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_severity	repaired_statfree	unadjusted	COMPLETED	observational_HC3	-0.0048782004248135	0.1309283819505577	-0.0112081622061812	0.001451761356554	2.0	2.0	35	33.0	2.6528561187650106			0.603543165718204	COMPLETED	observational_HC3	-0.0043103607103923	0.1482477761998548	-0.0101538059441543	0.0015330845233697	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.672614750383214
GSE24290	original_severity	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	-0.0061353130263259	0.1457478312862361	-0.0144015247666767	0.0021308987140248	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7462337587453491	COMPLETED	observational_HC3	-0.0055584763285776	0.1550949383834479	-0.0132210826104559	0.0021041299533006	4	4	35	31	3.9781341842818767	-0.0012481156181853	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7013172294995271
GSE24290	original_xenium	repaired_statfree	unadjusted	COMPLETED	observational_HC3	0.0049169598261659	0.3572036568016686	-0.0055500713875568	0.0153839910398888	2.0	2.0	35	33.0	2.6528561187650106			0.8094711171035373	COMPLETED	observational_HC3	0.0049169598261659	0.3572036568016692	-0.0055500713875568	0.0153839910398888	2	2	35	33	2.6528561187650106	0.0	8	unchanged_Batch01_cached_score		0.8613855960355479
GSE24290	original_xenium	repaired_statfree	proxy_adjusted	COMPLETED	observational_HC3	0.0045918959731809	0.4500431896427983	-0.0073231551165636	0.0165069470629255	4.0	4.0	35	31.0	3.978134184281875	0.0654844821047549		0.7919025936809758	COMPLETED	observational_HC3	0.0045918959731809	0.4500431896427986	-0.0073231551165637	0.0165069470629255	4	4	35	31	3.9781341842818767	-0.000325063852985	8	unchanged_Batch01_cached_score	0.0654844821047549	0.7500719827379978
