program	celltype	contrast	minimum_nuclei	n_case_new	n_control_new	mean_difference_new	p_new	ci_low_new	ci_high_new	status_new	reason_new	allocations_new	permutations_new	absolute_Welch_t_new	q_new	n_case_old	n_control_old	mean_difference_old	p_old	ci_low_old	ci_high_old	status_old	reason_old	allocations_old	permutations_old	absolute_Welch_t_old	q_old
late_allcell_residual	Endoneurial	CIAP_minus_CTRL	20	11	4	-0.0007709472171516	0.9032967032967032	-0.0119513603822878	0.0093508682460856	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.1256655662953679	0.9707069050352632	11	4	-0.0003370608380169	0.953846153846154	-0.0111223369612499	0.0093722479858874	COMPLETED	unadjusted_observational_association	1365.0	1365.0	0.0571902682959463	0.9899090157154674
late_allcell_residual	Endoneurial	VN_minus_CTRL	20	5	4	0.0022927776049337				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0026894893137836				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Epineurial	CIDP_minus_CTRL	20	9	4	-0.0035874100994876	0.5678321678321678	-0.0137090883084951	0.0076446530375321	COMPLETED	unadjusted_observational_association	715.0	715.0	0.6142010604411721	0.8176783216783217	9	4	-0.0024530294058586	0.6531468531468532	-0.0112197878155515	0.0072339563053896	COMPLETED	unadjusted_observational_association	715.0	715.0	0.4861171679894558	0.8458315018315018
late_allcell_residual	Epineurial	CIAP_minus_CTRL	20	11	4	-0.0074133613489703	0.1274725274725274	-0.0145885949128788	-0.0003468296789087	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.7930932563513675	0.5398836457659987	11	4	-0.0066993588927652	0.1201465201465201	-0.0131324348325944	-0.0002999800948611	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.8225534578987057	0.4577010291296005
late_allcell_residual	Epineurial	VN_minus_CTRL	20	5	4	-0.0106173130318914				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	-0.0105293770414653				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Granulocyte	CIDP_minus_CTRL	20	0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Granulocyte	CIAP_minus_CTRL	20	2	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					2	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Granulocyte	VN_minus_CTRL	20	0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	0					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Lymphatic_endothelial	CIDP_minus_CTRL	20	6	2	-0.0067523505510804				NOT_EVALUABLE	fewer_than_four_donors_per_group					6	2	-0.0079860213961514				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Lymphatic_endothelial	CIAP_minus_CTRL	20	8	2	-0.0095650157151456				NOT_EVALUABLE	fewer_than_four_donors_per_group					8	2	-0.0109111671640437				NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Lymphatic_endothelial	VN_minus_CTRL	20	0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group					0	2					NOT_EVALUABLE	fewer_than_four_donors_per_group				
late_allcell_residual	Lymphoid	CIDP_minus_CTRL	20	9	4	0.0121513860846089	0.0643356643356643	0.0022474825178107	0.021839611562921	COMPLETED	unadjusted_observational_association	715.0	715.0	2.2478768507419518	0.5208791208791209	9	4	0.0129234905648338	0.0461538461538461	0.0036945338299592	0.0217852247959777	COMPLETED	unadjusted_observational_association	715.0	715.0	2.643061635893597	0.3886639676113361
late_allcell_residual	Lymphoid	CIAP_minus_CTRL	20	11	4	0.0071111256356629	0.2652014652014652	-0.0026050761928413	0.0166185918746808	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.2383951471275525	0.6227456753772542	11	4	0.0076142897106132	0.1963369963369963	-0.001427985097067	0.016917021749996	COMPLETED	unadjusted_observational_association	1365.0	1365.0	1.428625548306984	0.5416193002399899
late_allcell_residual	Lymphoid	VN_minus_CTRL	20	5	4	0.0103452507175902				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center					5	4	0.0099857488717056				DESCRIPTIVE_ONLY	diagnosis_fully_confounded_with_center				
late_allcell_residual	Macrophage	CIDP_minus_CTRL	20	9	4	-0.0063046195166713	0.3202797202797203	-0.0174628597379377	0.00419582544389	COMPLETED	unadjusted_observational_association	715.0	715.0	1.0788207705054933	0.6227456753772542	9	4	-0.0056837252942325	0.4013986013986014	-0.0173162027812545	0.0054170367571449	COMPLETED	unadjusted_observational_association	715.0	715.0	0.9162976872105566	0.7365967365967365
