endpoint	background	family	source_max_abs_t	draws	unique_draws	space	enumerated	conditional_midrank_percentile	not_validation_p
original_hDRG_DPN_control	inherited	late_allcell	1.797061574614793	999	999	18272853541885343031838720053333188616150264827792102691774343263291670974391332389944779942147454953753668982960125320766460242539931767808370670925122936185261312877771824361501878723724701927952141516800000	False	0.8678678678678678	True
original_hDRG_DPN_control	inherited	late_neuron	1.797061574614793	999	999	31104622908280506199589932448500780192020942235749044369638915891408150855680000000000000	False	0.5215215215215215	True
original_JCI_sural_DPN_control	inherited	late_allcell	2.283162780569873	999	999	20556094540890367557107519188150139195653793727453688817114565698778501692172572902209807065544740804781039949620533657164048189640817127375549189525725910839254478764179407470158177260011520000000000000000	False	0.5345345345345346	True
original_JCI_sural_DPN_control	inherited	late_neuron	2.206109974888931	999	999	93509085445559506726849883566062308071925730527925729337972972898549760000000000000	False	0.3553553553553553	True
original_JCI_sural_severe_moderate	inherited	late_allcell	0.3853803209948641	999	999	7400252334157180844939712702908526016220509765410248575488726658551254164793481421792103285819759705394521261397906918645521685203176056124736753835474687510538042385484266059398871896688680763392000000000000	False	0.087087087087087	True
original_JCI_sural_severe_moderate	inherited	late_neuron	0.2303333742109455	999	999	780036752887369309545667341243633287751770759355732637981096701572006333644800000000	False	0.2512512512512512	True
GSE24290_C01	inherited	late_allcell	1.4396225020049438	999	999	327970197795971032530990050806168307003732881985592852533431114304606423528116006632031860639899401128809877793090474166769474350560527455799603201505617020075188691959697835604992000000000000	False	0.4674674674674675	True
GSE24290_C01	inherited	late_neuron	0.735416873145804	999	999	363611261196067226653065658600239215294071341678578842368362202929971200000000	False	0.7907907907907908	True
GSE24290_C01	statfree	late_allcell	1.4396225020049438	999	999	327970197795971032530990050806168307003732881985592852533431114304606423528116006632031860639899401128809877793090474166769474350560527455799603201505617020075188691959697835604992000000000000	False	0.4834834834834834	True
GSE24290_C01	statfree	late_neuron	0.735416873145804	999	999	363611261196067226653065658600239215294071341678578842368362202929971200000000	False	0.7957957957957958	True
GSE148059_C02	inherited	late_allcell	0.8553354518322438	999	999	2664187333181491066442142606593192866806163987287594712401690722760884550727028943854716873215640836765853770125377424709427117113260350514511739651958520670049774404293266882310899313231236431872000000000000	False	0.8498498498498499	True
GSE148059_C02	inherited	late_neuron	0.8553354518322438	999	999	34526467790890629983287048345089824509535041524376124782411776000000000000000000	False	0.2802802802802803	True
original_hDRG_DPN_control	statfree	late_allcell	1.797587078682502	999	999	1218420306033658376067366909471998460424189398952453721455928427307331970338722925877089472761557543802478001275453102652670318098164233359410045680660666097733853413586675353970102524021057137917558784000000	False	0.8218218218218218	True
original_hDRG_DPN_control	statfree	late_neuron	1.797587078682502	999	999	31104622908280506199589932448500780192020942235749044369638915891408150855680000000000000	False	0.5365365365365365	True
original_JCI_sural_DPN_control	statfree	late_allcell	2.282981564756867	999	999	20556094540890367557107519188150139195653793727453688817114565698778501692172572902209807065544740804781039949620533657164048189640817127375549189525725910839254478764179407470158177260011520000000000000000	False	0.5425425425425425	True
original_JCI_sural_DPN_control	statfree	late_neuron	2.2134788369570497	999	999	120813119577891332163823866988321006009872290357376848935636989182914560000000000000	False	0.3293293293293293	True
original_JCI_sural_severe_moderate	statfree	late_allcell	0.3858125105446112	999	999	7400252334157180844939712702908526016220509765410248575488726658551254164793481421792103285819759705394521261397906918645521685203176056124736753835474687510538042385484266059398871896688680763392000000000000	False	0.091091091091091	True
original_JCI_sural_severe_moderate	statfree	late_neuron	0.2322785354003394	999	999	780036752887369309545667341243633287751770759355732637981096701572006333644800000000	False	0.2512512512512512	True
GSE148059_C02	statfree	late_allcell	0.8545224322772528	999	999	2509374359116020995812091191135923310598261552569908690196815941670048298889129288390470091873761361531701042034026212474588332052970722133872760454117726162866093514396933697137799763541675212800000000000000	False	0.8538538538538538	True
GSE148059_C02	statfree	late_neuron	0.8545224322772528	999	999	37701888763563604720449248362047533278657439839902627704882567577600000000000000	False	0.3093093093093093	True
