status_new	status_reason_new	n_total_new	n_positive_new	n_negative_new	positive_mean_new	negative_mean_new	mean_difference_new	mean_difference_ci_low_new	mean_difference_ci_high_new	effect_type_new	effect_new	effect_ci_low_new	effect_ci_high_new	permutation_one_sided_p_new	permutation_two_sided_p_new	permutation_iterations_new	bootstrap_iterations_new	loo_all_positive_new	loo_min_effect_new	loo_max_effect_new	cohort	mapping_set	module_id	module_display_new	test_family	endpoint_new	positive_direction_new	permutation_one_sided_bh_q_new	permutation_two_sided_bh_q_new	version	status_old	status_reason_old	n_total_old	n_positive_old	n_negative_old	positive_mean_old	negative_mean_old	mean_difference_old	mean_difference_ci_low_old	mean_difference_ci_high_old	effect_type_old	effect_old	effect_ci_low_old	effect_ci_high_old	permutation_one_sided_p_old	permutation_two_sided_p_old	permutation_iterations_old	bootstrap_iterations_old	loo_all_positive_old	loo_min_effect_old	loo_max_effect_old	module_display_old	endpoint_old	positive_direction_old	permutation_one_sided_bh_q_old	permutation_two_sided_bh_q_old
COMPLETED		35	18.0	17.0	0.0069507697849652	0.0141112808925882	-0.0071605111076229	-0.0163438271657097	0.0018769888875463	Hedges_g	-0.4738511341407125	-1.197516082126007	0.1304890361839679	0.918410815891841	0.1625783742162578	100000	5000	False	-0.0092038360368443	-0.0051586140227645	GSE24290	primary_unambiguous	late_allcell_residual	Late all-cell residual	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.3728212717872821	repaired_inherited	COMPLETED		35	18.0	17.0	0.0080932088575763	0.0152103843475136	-0.0071171754899373	-0.0162928788301039	0.0019112974964092	Hedges_g	-0.4726354695022726	-1.195694651347613	0.1305114394743688	0.9179308206917932	0.1636283637163628	100000	5000	False	-0.0091527559551925	-0.0051370566876856	Late all-cell residual	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.4150458495415046
COMPLETED		35	18.0	17.0	-0.0253828367449327	-0.0259101921784833	0.0005273554335506	-0.0058352530153365	0.0069249531901878	Hedges_g	0.050772274884751	-0.6383399144830012	0.6929004868709673	0.4376856231437686	0.8772212277877222	100000	5000	False	-0.0006187172612502	0.0015107932096801	GSE24290	primary_unambiguous	late_neuron_residual	Late neuron residual	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.8825411745882541	repaired_inherited	COMPLETED		35	18.0	17.0	-0.0182929096285208	-0.0192538655505601	0.0009609559220393	-0.0024180217019448	0.0044545391640682	Hedges_g	0.1726087583089291	-0.4878192156161647	0.8266559409650228	0.3009269907300927	0.6033439665603344	100000	5000	True	0.0002924483201478	0.0015736704032828	Late neuron residual	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.754179958200418
COMPLETED		35	18.0	17.0	0.0681040091767271	0.0724412821091428	-0.0043372729324156	-0.0155701802309582	0.0071399931505473	Hedges_g	-0.2428882441958899	-0.9317178242526588	0.4353488341748172	0.7664623353766462	0.4664853351466485	100000	5000	False	-0.0060594166055511	-0.0023003127122449	GSE24290	primary_unambiguous	late_shared_concordant_neuronal_core	Late shared neuronal core	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.6997280027199727	repaired_inherited	COMPLETED		35	18.0	17.0	0.0481483498736119	0.0509976038495758	-0.0028492539759639	-0.0102107263665501	0.0049632599192417	Hedges_g	-0.2380962465587136	-0.9233550171912558	0.4564643857366218	0.7637623623763763	0.4739052609473905	100000	5000	False	-0.003941045637025	-0.0015700210493538	Late shared neuronal core	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.754179958200418
COMPLETED		35	18.0	17.0	-0.0452979371566341	-0.0419625923828476	-0.0033353447737865	-0.0143111732962515	0.0068791555993798	Hedges_g	-0.1988824865082821	-0.8537741828148186	0.4717607722289341	0.7218427815721843	0.5531444685553144	100000	5000	False	-0.005265125371916	-0.0008846416178965	GSE24290	primary_unambiguous	original_early_allcell	Original early all-cell	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.7111857452854042	repaired_inherited	COMPLETED		35	18.0	17.0	-0.0452979371566342	-0.0419625923828476	-0.0033353447737865	-0.0143111732962514	0.0068791555993798	Hedges_g	-0.1988824865082818	-0.8537741828148163	0.4717607722289355	0.7218427815721843	0.5531444685553144	100000	5000	False	-0.005265125371916	-0.0008846416178965	Original early all-cell	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.754179958200418
COMPLETED		35	18.0	17.0	0.0105477134917535	0.0175501489605376	-0.0070024354687841	-0.0161646553922408	0.0019232689663833	Hedges_g	-0.4677342569666136	-1.192091921647554	0.1296516347634112	0.9168308316916832	0.1656983430165698	100000	5000	False	-0.0090040632708512	-0.0050957256634959	GSE24290	primary_unambiguous	original_late_allcell	Original late all-cell	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.3728212717872821	repaired_inherited	COMPLETED		35	18.0	17.0	0.010520061874261	0.0174607923219639	-0.0069407304477028	-0.0160259480661786	0.001912211565882	Hedges_g	-0.4673837300456729	-1.1923000388021958	0.1302157985691187	0.9167308326916732	0.1660183398166018	100000	5000	False	-0.0089274622207389	-0.0050472680598835	Original late all-cell	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.4150458495415046
COMPLETED		35	18.0	17.0	-0.0130541026632925	-0.0125548320986974	-0.000499270564595	-0.0067550232013932	0.0058416964651362	Hedges_g	-0.0489463248526371	-0.7369382464134603	0.6126264142715871	0.5584444155558445	0.8825411745882541	100000	5000	False	-0.0015692757414372	0.0004559010786984	GSE24290	primary_unambiguous	original_late_neuron	Original late neuron	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.8825411745882541	repaired_inherited	COMPLETED		35	18.0	17.0	0.0002587334719513	0.0001051455590231	0.0001535879129282	-0.0032981521517551	0.0035948078471481	Hedges_g	0.0276300032059482	-0.6295228574204713	0.7053042510343894	0.4687353126468735	0.935210647893521	100000	5000	False	-0.0004950881148873	0.0007272596111689	Original late neuron	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.935210647893521
COMPLETED		35	18.0	17.0	-0.0392918290690276	-0.0344136286442141	-0.0048782004248135	-0.0109282372080081	0.0007653613787082	Hedges_g	-0.5160133475431248	-1.1302474421150468	0.0985540061353548	0.9346706532934672	0.1289987100128998	100000	5000	False	-0.0058489614076545	-0.002865754323576	GSE24290	primary_unambiguous	original_severity	Original neuron severity	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.3728212717872821	repaired_inherited	COMPLETED		35	18.0	17.0	-0.0348156151434867	-0.0305052544330944	-0.0043103607103923	-0.0099249529015823	0.0008611863197125	Hedges_g	-0.4950045806448773	-1.1027300641828373	0.1257822911357159	0.926560734392656	0.1452185478145218	100000	5000	False	-0.0052077900578035	-0.0023901533856707	Original neuron severity	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.4150458495415046
COMPLETED		35	18.0	17.0	-0.1341798613461707	-0.1390968211723366	0.0049169598261659	-0.0045753685545952	0.014842438928133	Hedges_g	0.309261527313683	-0.3320013029712538	0.9583866372787844	0.1792782072179278	0.3558964410355896	100000	5000	True	0.0024526001306536	0.006600434374359	GSE24290	primary_unambiguous	original_xenium	Original Xenium	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.6406135938640614	repaired_inherited	COMPLETED		35	18.0	17.0	-0.1341798613461707	-0.1390968211723367	0.004916959826166	-0.0045753685545952	0.014842438928133	Hedges_g	0.3092615273136884	-0.3320013029712518	0.9583866372787868	0.1792782072179278	0.3558964410355896	100000	5000	True	0.0024526001306536	0.006600434374359	Original Xenium	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.7117928820711793
COMPLETED		35	18.0	17.0	-0.0591941320016509	-0.0536970711213433	-0.0054970608803075	-0.0127295525825387	0.0010805688823628	Hedges_g	-0.5193176261684027	-1.1628236261385585	0.1219957221860892	0.936330636693633	0.1250287497125028	100000	5000	False	-0.0066156808429826	-0.0033164570650052	GSE24290	primary_unambiguous	severity_neuron_residual	Severity residual	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive	0.936330636693633	0.3728212717872821	repaired_inherited	COMPLETED		35	18.0	17.0	-0.0606023433782778	-0.0551678139846058	-0.005434529393672	-0.0126239300255445	0.0011180179301799	Hedges_g	-0.5184399374118734	-1.1652730225500187	0.123169905792508	0.9356706432935672	0.1260187398126018	100000	5000	False	-0.0065344495427466	-0.0032636495762772	Severity residual	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.4150458495415046
NOT_EVALUABLE	fewer than two finite participants in one or both groups	0	0.0	0.0						Hedges_g						0	0	False			GSE24290	primary_unambiguous	severity_neuron_shared_concordant_core	Severity shared neuronal core	GSE24290_progression	Progressive vs Non-progressive	higher in Progressive			repaired_inherited	COMPLETED		35	18.0	17.0	0.0755821687418418	0.0762856840733179	-0.000703515331476	-0.0052275666178317	0.0036970872310291	Hedges_g	-0.1015014237765134	-0.7918117373573926	0.5822267518139745	0.6188338116618833	0.7603423965760342	100000	5000	False	-0.0014185801440813	0.0002693504895644	Severity shared neuronal core	Progressive vs Non-progressive	higher in Progressive	0.9356706432935672	0.8448248850844825
COMPLETED		77								Spearman_rho	0.03093858924273	-0.1998158890733456	0.2534683891412255	0.3966160338396616	0.7900420995790042	100000	5000	True	0.0039507016690986	0.0591443279285655	GSE148059	primary_unambiguous	late_allcell_residual	Late all-cell residual	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7782022179778202	0.7900420995790042	repaired_inherited	COMPLETED		77								Spearman_rho	0.0295418132046835	-0.1998210625856935	0.251596470411697	0.4016559834401656	0.7998920010799891	100000	5000	True	0.0024982378201653	0.0576918640796322	Late all-cell residual	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7415425845741542	0.9330306696933032
COMPLETED		49	22.0	27.0	0.0630913176073384	0.063111712105337	-2.039449799851045e-05	-0.0028354052420114	0.0028086301153655	Hedges_g	-0.0037883511209273	-0.5321623759047663	0.5776404327665526	0.5051549484505155	0.989790102098979	100000	5000	False	-0.0004572358175562	0.0004391846221856	GSE148059	primary_unambiguous	late_allcell_residual	Late all-cell residual	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7834221657783422	0.989790102098979	repaired_inherited	COMPLETED		49	22.0	27.0	0.0625231576419056	0.0625616043443058	-3.844670240014947e-05	-0.0028459822749135	0.0027897299909684	Hedges_g	-0.0071710557599797	-0.5367242088831741	0.5737936043327752	0.5097249027509725	0.980750192498075	100000	5000	False	-0.000473044896982	0.0004185740954461	Late all-cell residual	Degenerator vs Regenerator	higher in Degenerator	0.7509324906750933	0.980750192498075
COMPLETED		77								Spearman_rho	-0.0358273053758928	-0.2710073355412884	0.2010450005586853	0.6216637833621664	0.7580424195758042	100000	5000	False	-0.0643731977847256	-0.0091795715252587	GSE148059	primary_unambiguous	late_neuron_residual	Late neuron residual	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7782022179778202	0.7900420995790042	repaired_inherited	COMPLETED		77								Spearman_rho	0.0098472710682278	-0.2225775518561581	0.2398947874627688	0.4676553234467655	0.9330306696933032	100000	5000	False	-0.0172262212483494	0.0379674050111174	Late neuron residual	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7415425845741542	0.9330306696933032
COMPLETED		49	22.0	27.0	-0.1579956211069022	-0.1573356567621535	-0.0006599643447486	-0.0032854006841458	0.0018653883158119	Hedges_g	-0.1278122623362406	-0.6617012882387546	0.3901235064102815	0.6752932470675294	0.6524334756652433	100000	5000	False	-0.0011220128335718	-0.0001523414608875	GSE148059	primary_unambiguous	late_neuron_residual	Late neuron residual	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7834221657783422	0.8388430401410272	repaired_inherited	COMPLETED		49	22.0	27.0	-0.0916859313304128	-0.0914108691055848	-0.0002750622248279	-0.0019530429407649	0.0013512209604792	Hedges_g	-0.0844256663230017	-0.6194307587761703	0.455044993433766	0.6178338216617834	0.7672023279767203	100000	5000	False	-0.0005662917763863	8.569050193137084e-05	Late neuron residual	Degenerator vs Regenerator	higher in Degenerator	0.7509324906750933	0.9590029099709004
COMPLETED		77								Spearman_rho	-0.051750552209623	-0.2821112242401551	0.1796943569565357	0.6732232677673223	0.6545134548654513	100000	5000	False	-0.0797402653064403	-0.0225776785191548	GSE148059	primary_unambiguous	late_shared_concordant_neuronal_core	Late shared neuronal core	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7782022179778202	0.7900420995790042	repaired_inherited	COMPLETED		77								Spearman_rho	-0.0278656819590277	-0.2502523033132862	0.1954574908245023	0.5932340676593234	0.8115518844811552	100000	5000	False	-0.0549321827666588	0.001817263242044	Late shared neuronal core	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.7415425845741542	0.9330306696933032
COMPLETED		49	22.0	27.0	0.0827416382300852	0.08430847725527	-0.0015668390251847	-0.0052954056219735	0.0020909803192175	Hedges_g	-0.2231944475263105	-0.750331756313072	0.3340955366534994	0.7834221657783422	0.4328156718432815	100000	5000	False	-0.0020311717817112	-0.0008450926961312	GSE148059	primary_unambiguous	late_shared_concordant_neuronal_core	Late shared neuronal core	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.7834221657783422	0.8388430401410272	repaired_inherited	COMPLETED		49	22.0	27.0	0.0626153931640555	0.0634901927049761	-0.0008747995409206	-0.0037352175880392	0.0019432517565521	Hedges_g	-0.1612424833990042	-0.6792926661632701	0.3912628482909104	0.7142428575714243	0.5687643123568764	100000	5000	False	-0.0012580822940089	-0.0003583549963602	Late shared neuronal core	Degenerator vs Regenerator	higher in Degenerator	0.7509324906750933	0.9540571260954058
COMPLETED		77								Spearman_rho	0.1847236310316502	-0.0516966001437404	0.4107985074306347	0.0538094619053809	0.1076089239107608	100000	5000	True	0.1634602815589579	0.2178695773400008	GSE148059	primary_unambiguous	original_early_allcell	Original early all-cell	GSE148059_dMFD_ordinal	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.4842851571484285	0.7900420995790042	repaired_inherited	COMPLETED		77								Spearman_rho	0.1847236310316502	-0.0516966001437404	0.4107985074306347	0.0538094619053809	0.1076089239107608	100000	5000	True	0.1634602815589579	0.2178695773400008	Original early all-cell	Regenerator < Intermediate < Degenerator	positive rho with degeneration order	0.5380946190538095	0.9330306696933032
COMPLETED		49	22.0	27.0	0.0471083024507077	0.0442106172638499	0.0028976851868577	-0.0011663448624227	0.006812130188151	Hedges_g	0.3819790384949107	-0.1517330511775275	1.0197602408085442	0.0902290977090229	0.1811181888181118	100000	5000	True	0.0024145250099502	0.0036003898509756	GSE148059	primary_unambiguous	original_early_allcell	Original early all-cell	GSE148059_Degenerator_vs_Regenerator	Degenerator vs Regenerator	higher in Degenerator	0.5873341266587334	0.8388430401410272	repaired_inherited	COMPLETED		49	22.0	27.0	0.0471083024507077	0.04421061726385	0.0028976851868576	-0.0011663448624227	0.006812130188151	Hedges_g	0.3819790384949065	-0.1517330511775261	1.0197602408085418	0.0902290977090229	0.1811181888181118	100000	5000	True	0.0024145250099502	0.0036003898509756	Original early all-cell	Degenerator vs Regenerator	higher in Degenerator	0.6525934740652594	0.9540571260954058
