endpoint	background	family	sample_id	parent_score	core_contribution	residual_contribution	excluded_contribution	restricted_score
original_hDRG_DPN_control	inherited	late_allcell	DPN5	-0.086844767594738	-0.0095015076018479	-0.0830039970330871	0.005660737040197	-0.0886800382447568
original_hDRG_DPN_control	inherited	late_allcell	DPN4	-0.0613481625189009	-0.0081941801074842	-0.0592765943907905	0.0061226119793739	-0.0630958501276942
original_hDRG_DPN_control	inherited	late_allcell	DPN3	-0.1089962260289359	-0.011237814321133	-0.1028346855542573	0.0050762738464544	-0.1106655464071157
original_hDRG_DPN_control	inherited	late_allcell	DPN2	-0.11005815204616	-0.0111866774177951	-0.104408079963157	0.0055366053347922	-0.1122459710676164
original_hDRG_DPN_control	inherited	late_allcell	DPN1	-0.133428599992716	-0.0128994173080046	-0.1255619356706856	0.0050327529859741	-0.1356240257561112
original_hDRG_DPN_control	inherited	late_allcell	Con7	-0.1116653537331544	-0.0113828342553545	-0.1055004050012413	0.0052178855234414	-0.1135561737074023
original_hDRG_DPN_control	inherited	late_allcell	Con6	-0.1396693727527208	-0.0127122976046055	-0.1319659657302586	0.0050088905821435	-0.1419556883123219
original_hDRG_DPN_control	inherited	late_allcell	Con5	-0.1224919248588675	-0.0121513821800877	-0.1156117761659117	0.005271233487132	-0.1246936511424202
original_hDRG_DPN_control	inherited	late_allcell	Con4	-0.1365214638892565	-0.0125892841359443	-0.1286846490437599	0.0047524692904476	-0.1384842676717634
original_hDRG_DPN_control	inherited	late_allcell	Con3	-0.1343322033734089	-0.0126739889956539	-0.1266100046321908	0.0049517902544358	-0.136469370309939
original_hDRG_DPN_control	inherited	late_allcell	Con2	-0.0859522215306228	-0.0109841859740945	-0.0803766514632785	0.0054086159067503	-0.087429233953559
original_hDRG_DPN_control	inherited	late_allcell	Con1	-0.1341044743194011	-0.0124644721879921	-0.1265490101092919	0.0049090079778829	-0.1361869516074914
original_hDRG_DPN_control	inherited	late_neuron	DPN5	-0.0691421246367721	0.065215455706708	-0.114981271503912	-0.0193763088395681	-0.0713997243398927
original_hDRG_DPN_control	inherited	late_neuron	DPN4	-0.0658358060833927	0.0745071563955959	-0.1196470440592868	-0.0206959184197018	-0.0664517455945276
original_hDRG_DPN_control	inherited	late_neuron	DPN3	-0.0760676525464722	0.0512410069822495	-0.110122540086516	-0.0171861194422058	-0.0809609156270391
original_hDRG_DPN_control	inherited	late_neuron	DPN2	-0.0869622591972088	0.051131729495203	-0.1194681486141467	-0.0186258400782651	-0.0911059909460685
original_hDRG_DPN_control	inherited	late_neuron	DPN1	-0.100741692126035	0.0383054541790304	-0.1218191081736763	-0.017228038131389	-0.1072092045526188
original_hDRG_DPN_control	inherited	late_neuron	Con7	-0.0846632025439415	0.0515041615927044	-0.1186287810310969	-0.0175385831055491	-0.0898531821263716
original_hDRG_DPN_control	inherited	late_neuron	Con6	-0.0933770088903444	0.0409332099789476	-0.1167072468082284	-0.0176029720610636	-0.0989257466921263
original_hDRG_DPN_control	inherited	late_neuron	Con5	-0.0978072221019134	0.0435355256701848	-0.1242524953031423	-0.0170902524689559	-0.1042575805674561
original_hDRG_DPN_control	inherited	late_neuron	Con4	-0.0919364042350645	0.0419436843933513	-0.1174949483790553	-0.0163851402493604	-0.0987245514053179
original_hDRG_DPN_control	inherited	late_neuron	Con3	-0.0982183603743064	0.0399637471228929	-0.1216052217455322	-0.016576885751667	-0.1051832504858084
original_hDRG_DPN_control	inherited	late_neuron	Con2	-0.075836813749746	0.0508276442170467	-0.1071706496836367	-0.019493808283156	-0.0781565828479279
original_hDRG_DPN_control	inherited	late_neuron	Con1	-0.091142462528563	0.0425466201691816	-0.1170922920688569	-0.0165967906288878	-0.0976400302463754
original_hDRG_DPN_control	inherited	severity	DPN5	-0.0123159701099029	-0.0188844617716243	-0.1608500757345684	0.1674185673962898	-0.0125456719794052
original_hDRG_DPN_control	inherited	severity	DPN4	-0.0079380358088419	-0.0192910735337536	-0.1563710126094819	0.1677240503343936	-0.0083318686763679
original_hDRG_DPN_control	inherited	severity	DPN3	-0.0313143981726134	-0.0204530182735172	-0.1810056906349028	0.1701443107358066	-0.0345766485538461
original_hDRG_DPN_control	inherited	severity	DPN2	-0.0187733810980941	-0.0192322164612719	-0.1696746194067526	0.1701334547699304	-0.0207932956713004
original_hDRG_DPN_control	inherited	severity	DPN1	-0.0207217691231484	-0.0213578244339563	-0.1696580258740401	0.1702940811848479	-0.0226712385771392
original_hDRG_DPN_control	inherited	severity	Con7	-0.0266541627728348	-0.0193694130412136	-0.1758116102390421	0.168526860507421	-0.0287245281105804
original_hDRG_DPN_control	inherited	severity	Con6	-0.030484207479903	-0.0231264172989004	-0.17834207101176	0.1709842808307575	-0.0341581714852683
original_hDRG_DPN_control	inherited	severity	Con5	-0.0215251048497432	-0.019656472042071	-0.1714506192922871	0.1695819864846148	-0.0233169860274682
original_hDRG_DPN_control	inherited	severity	Con4	-0.0245451746105413	-0.020412406121598	-0.1750889034626352	0.170956134973692	-0.0273867807894059
original_hDRG_DPN_control	inherited	severity	Con3	-0.0162895861974497	-0.0207944712474209	-0.1662174787698859	0.170722363819857	-0.0179016536310084
original_hDRG_DPN_control	inherited	severity	Con2	-0.042671811952151	-0.0171671834642926	-0.1913818540240937	0.1658772255362352	-0.0449727203239486
original_hDRG_DPN_control	inherited	severity	Con1	-0.0213663474346997	-0.0201320052274973	-0.1709370721603902	0.1697027299531878	-0.0225732730330409
original_JCI_sural_DPN_control	inherited	late_allcell	C1	0.0418744270653445	-0.0040320460882368	0.0405813337436409	0.0053251394099404	0.041280172554475
original_JCI_sural_DPN_control	inherited	late_allcell	C2	0.0369396854747638	-0.0052214284556961	0.0364448603822784	0.0057162535481815	0.0358546069994527
original_JCI_sural_DPN_control	inherited	late_allcell	C3	0.0597375767104077	-0.0031001546739118	0.0570011773932173	0.0058365539911022	0.0590123466120435
original_JCI_sural_DPN_control	inherited	late_allcell	C4	0.1415412204174344	-0.0019327162242084	0.136388193364202	0.0070857432774409	0.1413649315169597
original_JCI_sural_DPN_control	inherited	late_allcell	C5	0.0568823415680799	-0.0041485160633634	0.0552055669867275	0.0058252906447157	0.0561194229656108
