endpoint	version	module_id	source_members	measured	n_up	n_down	coverage	background_genes	eligible
original_JCI_sural_severe_moderate	repaired_inherited	late_neuron_residual	285	270	79	191	0.9473684210526316	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	late_shared_concordant_neuronal_core	128	126	47	79	0.984375	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	original_early_allcell	640	633	303	330	0.9890625	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	original_late_allcell	3102	3089	1387	1702	0.9958091553836236	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	original_late_neuron	443	423	132	291	0.9548532731376976	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	original_severity	455	453	319	134	0.9956043956043956	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	original_xenium	60	60	17	43	1.0	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	severity_neuron_residual	337	337	219	118	1.0	19027	True
original_JCI_sural_severe_moderate	repaired_inherited	severity_neuron_shared_concordant_core	23	21	14	7	0.9130434782608696	19027	False
GSE24290_C01	legacy_inherited	late_allcell_residual	2923	2693	1228	1465	0.9213137187820732	17726	True
GSE24290_C01	legacy_inherited	late_neuron_residual	481	436	167	269	0.9064449064449064	17726	True
GSE24290_C01	legacy_inherited	late_shared_concordant_neuronal_core	186	165	59	106	0.8870967741935484	17726	True
GSE24290_C01	legacy_inherited	original_early_allcell	640	604	286	318	0.94375	17726	True
GSE24290_C01	legacy_inherited	original_late_allcell	3131	2877	1304	1573	0.9188757585435964	17726	True
GSE24290_C01	legacy_inherited	original_late_neuron	693	624	232	392	0.9004329004329005	17726	True
GSE24290_C01	legacy_inherited	original_severity	489	467	320	147	0.9550102249488752	17726	True
GSE24290_C01	legacy_inherited	original_xenium	60	56	14	42	0.9333333333333332	17726	True
GSE24290_C01	legacy_inherited	severity_neuron_residual	345	337	219	118	0.9768115942028984	17726	True
GSE24290_C01	legacy_inherited	severity_neuron_shared_concordant_core	125	112	85	27	0.896	17726	True
GSE24290_C01	repaired_inherited	late_allcell_residual	2906	2680	1222	1458	0.9222298692360632	17726	True
GSE24290_C01	repaired_inherited	late_neuron_residual	285	261	73	188	0.9157894736842104	17726	True
GSE24290_C01	repaired_inherited	late_shared_concordant_neuronal_core	128	115	40	75	0.8984375	17726	True
GSE24290_C01	repaired_inherited	original_early_allcell	640	604	286	318	0.94375	17726	True
GSE24290_C01	repaired_inherited	original_late_allcell	3102	2855	1293	1562	0.920373952288846	17726	True
GSE24290_C01	repaired_inherited	original_late_neuron	443	400	120	280	0.9029345372460496	17726	True
GSE24290_C01	repaired_inherited	original_severity	455	435	304	131	0.956043956043956	17726	True
GSE24290_C01	repaired_inherited	original_xenium	60	56	14	42	0.9333333333333332	17726	True
GSE24290_C01	repaired_inherited	severity_neuron_residual	337	329	211	118	0.9762611275964392	17726	True
GSE24290_C01	repaired_inherited	severity_neuron_shared_concordant_core	23	21	15	6	0.9130434782608696	17726	False
GSE24290_C01	repaired_statfree	late_allcell_residual	2906	2680	1222	1458	0.9222298692360632	17726	True
GSE24290_C01	repaired_statfree	late_neuron_residual	285	261	73	188	0.9157894736842104	17726	True
GSE24290_C01	repaired_statfree	late_shared_concordant_neuronal_core	128	115	40	75	0.8984375	17726	True
GSE24290_C01	repaired_statfree	original_early_allcell	640	604	286	318	0.94375	17726	True
GSE24290_C01	repaired_statfree	original_late_allcell	3102	2855	1293	1562	0.920373952288846	17726	True
GSE24290_C01	repaired_statfree	original_late_neuron	443	400	120	280	0.9029345372460496	17726	True
GSE24290_C01	repaired_statfree	original_severity	455	435	304	131	0.956043956043956	17726	True
GSE24290_C01	repaired_statfree	original_xenium	60	56	14	42	0.9333333333333332	17726	True
GSE24290_C01	repaired_statfree	severity_neuron_residual	337	329	211	118	0.9762611275964392	17726	True
GSE24290_C01	repaired_statfree	severity_neuron_shared_concordant_core	23	21	15	6	0.9130434782608696	17726	False
GSE148059_C02	legacy_inherited	late_allcell_residual	2923	2898	1307	1591	0.9914471433458776	24111	True
GSE148059_C02	legacy_inherited	late_neuron_residual	481	468	177	291	0.972972972972973	24111	True
GSE148059_C02	legacy_inherited	late_shared_concordant_neuronal_core	186	181	67	114	0.9731182795698924	24111	True
