module_id	donor	group	S_AH_minus_MG	U_AH_minus_MG	D_AH_minus_MG
late_allcell_residual	MB01	DPN	-0.0013133978702262183	-0.000836347093113532	0.0004770507771126864
late_allcell_residual	MB02	MNC	-0.004795885641348363	-0.0016935548852615723	0.0031023307560867908
late_allcell_residual	MB05	MNC	-0.017476905511526808	-0.01206792096384579	0.005408984547681017
late_allcell_residual	MB09	MNC	0.02636294377393078	0.0220654668412813	-0.00429747693264948
late_allcell_residual	MB10	DPN	0.010573858268375758	0.023988436836971272	0.013414578568595514
late_allcell_residual	MB12	DPN	0.024096918660268973	0.01835079020249064	-0.005746128457778332
late_neuron_residual	MB01	DPN	-0.0035176428653038716	0.0009819257570953255	0.004499568622399197
late_neuron_residual	MB02	MNC	0.0009366132581782871	-0.0030320093462130604	-0.0039686226043913475
late_neuron_residual	MB05	MNC	0.00657789612835058	0.00031603495512333435	-0.0062618611732272456
late_neuron_residual	MB09	MNC	0.015130715557370222	0.013505286810120753	-0.0016254287472494688
late_neuron_residual	MB10	DPN	-0.009288689729243904	0.024648486705477812	0.033937176434721716
late_neuron_residual	MB12	DPN	0.01648140822733135	0.025073375656483488	0.008591967429152136
late_shared_concordant_neuronal_core	MB01	DPN	0.015318547800546534	0.0075547696864467495	-0.007763778114099784
late_shared_concordant_neuronal_core	MB02	MNC	-0.0062140502372604045	-0.010919537784132793	-0.004705487546872389
late_shared_concordant_neuronal_core	MB05	MNC	-0.017181896551343057	-0.005984450005106723	0.011197446546236334
late_shared_concordant_neuronal_core	MB09	MNC	0.006318681106113555	0.0005096091648794099	-0.005809071941234145
late_shared_concordant_neuronal_core	MB10	DPN	-0.0031882294132062894	0.039426443218829155	0.042614672632035444
late_shared_concordant_neuronal_core	MB12	DPN	-0.003354290272761573	-0.008233539304803639	-0.004879249032042066
original_early_allcell	MB01	DPN	0.011559566306105218	0.008028241288024263	-0.0035313250180809552
original_early_allcell	MB02	MNC	-0.0070483461478167975	-0.00979020381866591	-0.0027418576708491127
original_early_allcell	MB05	MNC	0.0005888662408143341	-0.002060613578465431	-0.0026494798192797653
original_early_allcell	MB09	MNC	-0.026324731928017875	-0.013609128250175462	0.012715603677842413
original_early_allcell	MB10	DPN	0.0015148278842123108	0.03037398010049186	0.02885915221627955
original_early_allcell	MB12	DPN	0.00026620815325772984	0.010396269940547098	0.010130061787289368
original_late_allcell	MB01	DPN	-0.0005151628664358254	-0.0003639594086455311	0.00015120345779029432
original_late_allcell	MB02	MNC	-0.004801943199100767	-0.002342546171506199	0.0024593970275945676
original_late_allcell	MB05	MNC	-0.017071484434238338	-0.011420685071620085	0.005650799362618253
original_late_allcell	MB09	MNC	0.025769512489212887	0.020767371395499334	-0.005002141093713552
original_late_allcell	MB10	DPN	0.010131582988832988	0.024394679724108248	0.01426309673527526
original_late_allcell	MB12	DPN	0.022953239604429188	0.016817919641275658	-0.006135319963153529
original_late_neuron	MB01	DPN	0.003610845412515662	0.00442661290175872	0.0008157674892430578
original_late_neuron	MB02	MNC	-0.0013947862718328707	-0.005348033440899402	-0.003953247169066532
original_late_neuron	MB05	MNC	0.002975903220300946	-0.000501057340139166	-0.003476960560440112
original_late_neuron	MB09	MNC	0.007319584279659508	0.004509516061252605	-0.0028100682184069026
original_late_neuron	MB10	DPN	-0.01307561858704731	0.02319378314664522	0.03626940173369253
original_late_neuron	MB12	DPN	0.006424397734830278	0.01024607684837009	0.003821679113539811
original_severity	MB01	DPN	0.0013464030449847897	-0.0007161274002173146	-0.0020625304452021043
original_severity	MB02	MNC	-0.006378890007657456	-0.0025447463807932724	0.0038341436268641838
original_severity	MB05	MNC	-0.01481407467917939	-4.589593387882562e-05	0.014768178745300564
original_severity	MB09	MNC	-0.03200607400744526	-0.013613908321040591	0.01839216568640467
original_severity	MB10	DPN	-0.025485541523627364	0.0032128769769187437	0.028698418500546108
original_severity	MB12	DPN	-0.019622916372962096	-0.006905237178550627	0.012717679194411469
original_xenium	MB01	DPN	-0.017811060692278113	-0.010770662399709474	0.007040398292568639
original_xenium	MB02	MNC	0.009723296256847591	0.02270452456337463	0.012981228306527037
original_xenium	MB05	MNC	-0.0018974341515451965	-0.0084907908623566	-0.006593356710811404
original_xenium	MB09	MNC	0.0601175682883372	0.06116161100330225	0.0010440427149650544
original_xenium	MB10	DPN	0.028622414818921915	0.0696671546431531	0.04104473982423118
original_xenium	MB12	DPN	0.00048805754555941716	0.04514236430281776	0.044654306757258344
severity_neuron_residual	MB01	DPN	0.002750017216755496	0.0005200781570751101	-0.002229939059680386
severity_neuron_residual	MB02	MNC	-0.005807430294048399	-0.00012770713078380513	0.005679723163264594
severity_neuron_residual	MB05	MNC	-0.01640043819841086	-0.0028914044784085213	0.01350903372000234
severity_neuron_residual	MB09	MNC	-0.03843798484579275	-0.01890228764433899	0.01953569720145376
severity_neuron_residual	MB10	DPN	-0.018566721965012523	0.006154037962673886	0.02472075992768641
severity_neuron_residual	MB12	DPN	-0.020657106958543503	-0.003734209359168461	0.016922897599375042
