resource	module_id	sample_id	U_old	D_old	S_old	U_corrected	D_corrected	S_corrected	delta_U_corrected_minus_old	delta_D_corrected_minus_old	delta_S_corrected_minus_old
GSE143979	late_allcell_residual	MB01 AH	0.5392454464772655	0.4209368149635067	0.1183086315137587	0.7064660411611694	0.6114669713931848	0.09499906976798456	0.16722059468390393	0.19053015642967813	-0.023309561745774143
GSE143979	late_allcell_residual	MB01 MG	0.5408543592549058	0.4213244773775228	0.1195298818773829	0.7073023882542829	0.6109899206160722	0.09631246763821077	0.16644802899937716	0.18966544323854934	-0.023217414239172132
GSE143979	late_allcell_residual	MB02 AH	0.5336179038043976	0.4252918272959134	0.1083260765084841	0.6994401656131817	0.6085784992054283	0.0908616664077534	0.16582226180878412	0.18328667190951486	-0.0174644101007307
GSE143979	late_allcell_residual	MB02 MG	0.5354318606014005	0.4218045278550011	0.1136273327463993	0.7011337204984432	0.6054761684493415	0.09565755204910176	0.16570185989704278	0.18367164059434038	-0.017969780697297544
GSE143979	late_allcell_residual	MB05 AH	0.5106172999989839	0.4455952415947859	0.0650220584041979	0.6709006918995684	0.608973385037329	0.06192730686223935	0.1602833919005845	0.1633781434425431	-0.003094751541958554
GSE143979	late_allcell_residual	MB05 MG	0.5232375106279915	0.4365815436645585	0.086655966963433	0.6829686128634141	0.603564400489648	0.07940421237376616	0.15973110223542264	0.1669828568250895	-0.007251754589666842
GSE143979	late_allcell_residual	MB07 MG	0.5421323646476588	0.4156228390291974	0.1265095256184614	0.711339045247737	0.6109530043601924	0.10038604088754455	0.16920668060007815	0.195330165330995	-0.026123484730916857
GSE143979	late_allcell_residual	MB09 AH	0.5463339145560294	0.4177065573127951	0.1286273572432342	0.707234364235692	0.6052812393494651	0.10195312488622688	0.16090044967966255	0.18757468203667	-0.026674232357007333
GSE143979	late_allcell_residual	MB09 MG	0.5182266878605473	0.4357560878134544	0.0824706000470928	0.6851688973944107	0.6095787162821146	0.0755901811122961	0.1669422095338634	0.1738226284686602	-0.0068804189347967115
GSE143979	late_allcell_residual	MB10 AH	0.5246907085101843	0.4221480084773047	0.1025427000328795	0.7071189665817386	0.6210932724799141	0.08602569410182448	0.18242825807155427	0.19894526400260937	-0.016517005931055026
GSE143979	late_allcell_residual	MB10 MG	0.5200002074787187	0.4348401686502104	0.0851600388285082	0.6831305297447673	0.6076786939113186	0.07545183583344872	0.16313032226604862	0.17283852526110816	-0.009708202995059478
GSE143979	late_allcell_residual	MB11 AH	0.5140021670940446	0.4361246776916422	0.0778774894024023	0.6892484719570819	0.6225695001339583	0.06667897182312366	0.17524630486303738	0.18644482244231608	-0.011198517579278644
GSE143979	late_allcell_residual	MB12 AH	0.544128394605892	0.4107401823684379	0.133388212237454	0.7112922368361037	0.6015614200139591	0.10973081682214458	0.16716384223021163	0.19082123764552117	-0.023657395415309423
GSE143979	late_allcell_residual	MB12 MG	0.5233935430929064	0.4294414161690309	0.0939521269238755	0.692941446633613	0.6073075484717374	0.08563389816187561	0.1695479035407066	0.17786613230270648	-0.00831822876199989
GSE143979	late_allcell_residual	MB14 MG	0.5207799463773369	0.4369790923012746	0.0838008540760623	0.6825201538407544	0.610153578342417	0.07236657549833736	0.16174020746341744	0.17317448604114244	-0.011434278577724943
GSE143979	late_neuron_residual	MB01 AH	0.4688309345863549	0.6457158185162477	-0.1768848839298927	0.6702680316868159	0.7653379415375999	-0.095069909850784	0.20143709710046104	0.11962212302135222	0.0818149740791087
GSE143979	late_neuron_residual	MB01 MG	0.4625434734349564	0.6364278050275904	-0.173884331592634	0.6692861059297206	0.7608383729152007	-0.09155226698548014	0.2067426324947642	0.12441056788761029	0.08233206460715387
GSE143979	late_neuron_residual	MB02 AH	0.4648489529376942	0.6453119251992642	-0.1804629722615699	0.6616325053262305	0.7613279176326259	-0.09969541230639534	0.19678355238853634	0.11601599243336169	0.08076755995517457
GSE143979	late_neuron_residual	MB02 MG	0.4618844346603522	0.6513212752912324	-0.1894368406308801	0.6646645146724436	0.7652965402370172	-0.10063202556457362	0.20278008001209136	0.1139752649457848	0.08880481506630647
GSE143979	late_neuron_residual	MB05 AH	0.4490574589314785	0.6326961986511344	-0.1836387397196558	0.640212009955437	0.741672136941816	-0.10146012698637896	0.1911545510239585	0.10897593829068164	0.08217861273327684
GSE143979	late_neuron_residual	MB05 MG	0.4334070223471955	0.636141171060699	-0.2027341487135034	0.6398959750003137	0.7479339981150432	-0.10803802311472954	0.20648895265311817	0.11179282705434423	0.09469612559877386
