resource	comparison	module_id	component	n_positive	n_negative	effect_positive_minus_negative	ci_low	ci_high	p	exact	permutations	status	q_family
GSE143979	MG DPN minus MNC	late_shared_concordant_neuronal_core	U	4	4	0.011772964684120368	-0.0060475748703457954	0.02924037735902585	0.2857142857142857	True	70	COMPLETED	0.5142857142857142
GSE143979	MG DPN minus MNC	late_shared_concordant_neuronal_core	D	4	4	0.012753783512643446	0.0023079769785927517	0.02381875350673202	0.05714285714285714	True	70	COMPLETED	0.45000000000000007
GSE143979	MG DPN minus MNC	original_early_allcell	S	4	4	-0.011240838139591758	-0.03281686253436297	0.00963773347583094	0.42857142857142855	True	70	COMPLETED	0.7912087912087912
GSE143979	MG DPN minus MNC	original_early_allcell	U	4	4	-2.4480284817274267e-05	-0.009166988856990077	0.008105860855465859	1.0	True	70	COMPLETED	1.0
GSE143979	MG DPN minus MNC	original_early_allcell	D	4	4	0.011216357854774484	-0.004045877435972847	0.026763913881941357	0.22857142857142856	True	70	COMPLETED	0.48403361344537815
GSE143979	MG DPN minus MNC	original_late_allcell	S	4	4	0.008438779902253363	-0.004319160492706604	0.020002473376119545	0.2571428571428571	True	70	COMPLETED	0.7912087912087912
GSE143979	MG DPN minus MNC	original_late_allcell	U	4	4	0.010888268310096372	-0.001735215582978833	0.023367721659865066	0.2	True	70	COMPLETED	0.45000000000000007
GSE143979	MG DPN minus MNC	original_late_allcell	D	4	4	0.0024494884078432033	-0.0008175954804439583	0.00578147020493511	0.2857142857142857	True	70	COMPLETED	0.5142857142857142
GSE143979	MG DPN minus MNC	original_late_neuron	S	4	4	0.0036397144315270247	-0.005315100358311453	0.013148077366075789	0.5428571428571428	True	70	COMPLETED	0.7912087912087912
GSE143979	MG DPN minus MNC	original_late_neuron	U	4	4	0.01118962005663926	-0.0010198363676148735	0.025129273053640433	0.17142857142857143	True	70	COMPLETED	0.45000000000000007
