Endpoint	Code	Up / down	Difference	95% interval	P	BH q
Axonal loss	P1	303/330	0.02196	0.004515 to 0.03982	0.06723	0.4821
Axonal loss	P2	1387/1702	0.005868	−0.01953 to 0.03256	0.7046	0.9176
Axonal loss	P3	132/291	−0.001197	−0.01425 to 0.009568	0.8626	0.9176
Axonal loss	P4	319/134	0.01029	0.0006668 to 0.02023	0.1071	0.4821
Axonal loss	P5	17/43	−0.001473	−0.02493 to 0.02371	0.9176	0.9176
Axonal loss	P6	47/79	0.002172	−0.01985 to 0.02342	0.8626	0.9176
Axonal loss	P7	79/191	−0.001601	−0.01431 to 0.008717	0.8134	0.9176
Axonal loss	P8	1305/1592	0.005839	−0.01786 to 0.033	0.7109	0.9176
Axonal loss	P9	14/7	NE	NE	NE	NE
Axonal loss	P10	219/118	0.01015	−0.00287 to 0.02203	0.2042	0.6126
ALC array	P1	286/318	−0.003335	−0.01394 to 0.006925	0.5543	0.7127
ALC array	P2	1293/1562	−0.007002	−0.01634 to 0.002272	0.1663	0.3742
ALC array	P3	120/280	−0.0004993	−0.006644 to 0.005734	0.8869	0.8869
ALC array	P4	304/131	−0.004878	−0.01104 to 0.0007484	0.1311	0.3742
ALC array	P5	14/42	0.004917	−0.004632 to 0.01502	0.3517	0.6331
ALC array	P6	40/75	−0.004337	−0.01564 to 0.006869	0.4652	0.6978
ALC array	P7	73/188	0.0005274	−0.006273 to 0.00666	0.8821	0.8869
ALC array	P8	1222/1458	−0.007161	−0.01638 to 0.00246	0.1616	0.3742
ALC array	P9	15/6	NE	NE	NE	NE
ALC array	P10	211/118	−0.005497	−0.01238 to 0.000972	0.1284	0.3742
