Endpoint	Code	Up / down	Difference	95% interval	P	BH q
DRG	P1	302/326	−0.002523	−0.01656 to 0.01226	0.8033	0.8033
DRG	P2	1382/1700	0.02336	0.006284 to 0.03915	0.1367	0.26
DRG	P3	130/299	0.01069	0.002187 to 0.01904	0.1633	0.26
DRG	P4	314/134	0.007692	0.001202 to 0.01471	0.16	0.26
DRG	P5	16/43	0.01858	−0.03248 to 0.06732	0.6	0.7714
DRG	P6	48/79	0.03727	0.01754 to 0.05569	0.14	0.26
DRG	P7	75/197	0.001573	−0.006375 to 0.009784	0.7567	0.8033
DRG	P8	1297/1590	0.02289	0.005757 to 0.03878	0.15	0.26
DRG	P9	10/7	NE	NE	NE	NE
DRG	P10	219/118	0.008989	0.001213 to 0.01754	0.1733	0.26
Sural DPN	P1	302/329	−0.0505	−0.07465 to −0.03208	0.002165	0.01461
Sural DPN	P2	1379/1687	−0.0355	−0.06626 to −0.01342	0.006494	0.01461
Sural DPN	P3	133/289	0.02545	0.006422 to 0.04496	0.05844	0.07514
Sural DPN	P4	319/133	−0.01633	−0.02898 to −0.006504	0.01082	0.01948
Sural DPN	P5	17/43	0.006752	−0.01906 to 0.03332	0.6342	0.6342
Sural DPN	P6	47/78	0.009828	−0.0142 to 0.0343	0.4827	0.543
Sural DPN	P7	80/190	0.02675	0.006087 to 0.04825	0.05628	0.07514
Sural DPN	P8	1297/1579	−0.03689	−0.06946 to −0.01486	0.004329	0.01461
Sural DPN	P9	14/7	NE	NE	NE	NE
Sural DPN	P10	219/118	−0.01601	−0.02683 to −0.006888	0.006494	0.01461
