target_id	module_id	sample_id	group	score
GSE329119	late_neuron_residual	C1	control	0.004210530602808418
GSE329119	late_neuron_residual	C2	control	0.0006235087340317989
GSE329119	late_neuron_residual	C3	control	-0.0004547161718616785
GSE329119	late_neuron_residual	D1	disease	0.020136280397724488
GSE329119	late_neuron_residual	D2	disease	0.020447566128970352
GSE329119	late_neuron_residual	D3	disease	0.008243643513679252
GSE329119	late_allcell_residual	C1	control	-0.2423459453296404
GSE329119	late_allcell_residual	C2	control	-0.23370152993984245
GSE329119	late_allcell_residual	C3	control	-0.23142250200377978
GSE329119	late_allcell_residual	D1	disease	-0.2368924089023027
GSE329119	late_allcell_residual	D2	disease	-0.2240831619547935
GSE329119	late_allcell_residual	D3	disease	-0.178011083030057
GSE227165	late_shared_concordant_neuronal_core	NOR_1	control	-0.03173799837529412
GSE227165	late_shared_concordant_neuronal_core	NOR_2	control	-0.03897298306141625
GSE227165	late_shared_concordant_neuronal_core	NOR_3	control	-0.021113051642128865
GSE227165	late_shared_concordant_neuronal_core	STZ_1	disease	-0.041395545220441074
GSE227165	late_shared_concordant_neuronal_core	STZ_2	disease	-0.026551376334098223
GSE227165	late_shared_concordant_neuronal_core	STZ_3	disease	-0.04134254809118636
GSE227165	late_neuron_residual	NOR_1	control	-0.021078648090463323
GSE227165	late_neuron_residual	NOR_2	control	-0.026742522415911407
GSE227165	late_neuron_residual	NOR_3	control	-0.028496062733368216
GSE227165	late_neuron_residual	STZ_1	disease	-0.015389592124251367
GSE227165	late_neuron_residual	STZ_2	disease	-0.035203083561555396
GSE227165	late_neuron_residual	STZ_3	disease	-0.033373023966748544
GSE227165	late_allcell_residual	NOR_1	control	-0.032679881379481385
GSE227165	late_allcell_residual	NOR_2	control	-0.029709963805774176
GSE227165	late_allcell_residual	NOR_3	control	-0.03797194150364919
GSE227165	late_allcell_residual	STZ_1	disease	-0.03551131776568723
GSE227165	late_allcell_residual	STZ_2	disease	-0.034388977495960885
GSE227165	late_allcell_residual	STZ_3	disease	-0.031317948609126484
GSE180490	late_shared_concordant_neuronal_core	C-Ctrl-W1	control	-0.0358484710803397
GSE180490	late_shared_concordant_neuronal_core	C-Ctrl-W2	control	-0.018576385728162018
GSE180490	late_shared_concordant_neuronal_core	C-Ctrl-W3	control	-0.019976879977139622
GSE180490	late_shared_concordant_neuronal_core	C-DM-W1	disease	-0.019141337160992256
GSE180490	late_shared_concordant_neuronal_core	C-DM-W2	disease	-0.025973945761412605
GSE180490	late_shared_concordant_neuronal_core	C-DM-W3	disease	-0.031207487705207648
GSE180490	late_neuron_residual	C-Ctrl-W1	control	0.01388197196137678
GSE180490	late_neuron_residual	C-Ctrl-W2	control	0.01763687412171983
GSE180490	late_neuron_residual	C-Ctrl-W3	control	0.027483146013566544
GSE180490	late_neuron_residual	C-DM-W1	disease	0.03472995496485156
GSE180490	late_neuron_residual	C-DM-W2	disease	0.019417700247878558
GSE180490	late_neuron_residual	C-DM-W3	disease	0.025405874751970675
GSE180490	late_allcell_residual	C-Ctrl-W1	control	-0.05665775964978147
GSE180490	late_allcell_residual	C-Ctrl-W2	control	-0.05197949766203334
GSE180490	late_allcell_residual	C-Ctrl-W3	control	-0.053214109087994156
GSE180490	late_allcell_residual	C-DM-W1	disease	-0.045946570841293305
GSE180490	late_allcell_residual	C-DM-W2	disease	-0.05401984646626711
GSE180490	late_allcell_residual	C-DM-W3	disease	-0.04980397642734225
