variable	association	estimate	two_sided_p
age_years	spearman	-0.2985387070109151	0.0023055850561509842
bmi	spearman	0.03934984266424455	0.6945646164531585
library_size	spearman	0.0201355943704022	0.8407974337416411
PC1	spearman	0.48946853565996234	1.7832363909837347e-07
PC2	spearman	-0.6049555840792531	1.6500062042287197e-11
PC3	spearman	-0.12727663400263498	0.20238710453006623
sex_F	point_biserial	0.14854730855671178	0.13621253389500265
