transition	cohort_count	fixed_effect_hedges_g	standard_error	z	two_sided_p	cochran_Q	heterogeneity_df	I2_percent	all_cohort_score_differences_positive	at_least_one_full_support
early_HC_to_DM	2	-0.7608993318289352	0.4547866992340081	-1.6730905567610246	0.09430947026691795	1.6310086123375471	1	38.6882452713227	False	False
late_DM_to_DPN	2	-0.8611888558781531	0.489943488946839	-1.7577309940975578	0.07879329156821552	5.803302511413645	1	82.76843231878314	False	False
