gene	direction	source_log2fc	module_id	source_contrast	audit_only	direction_source_a	direction_source_b	source_a_log2fc	source_b_log2fc
DIAPH2	down	-0.976451032	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
DLL1	up	0.672175725	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
DYNLT2B	up	1.901911586	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
EDNRA	down	-0.920633805	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ELAPOR2	up	1.722778436	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000125122	up	2.351044706	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000167747	up	1.334490451	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000170846	up	2.032833234	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000205212	up	1.288125399	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000215271	up	1.976450493	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000239521	up	1.821714941	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENSG00000284691	up	1.302964803	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ENTPD3	down	-0.962289577	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FAM122A	down	-1.377135668	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FAM126A	down	-1.653855625	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FAM189B	down	-1.504611027	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FANCG	up	0.624499182	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FBLN5	down	-2.252547855	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FEM1B	down	-0.824467514	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FHIP2A	up	1.922560516	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FLCN	up	0.765853552	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
FZD8	down	-1.08003736	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GAL	down	-0.770775435	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GARIN1A	up	1.585286576	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GBP2	up	0.659295212	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GIMAP6	up	1.257271363	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GOLGA8B	down	-1.173046897	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GOLM2	up	2.000018994	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GPR139	down	-1.079654481	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GSDMD	up	0.789563229	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
GTPBP2	up	0.697297522	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2AC6	up	1.545263329	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2AFX	down	-1.37931801	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2AFY2	down	-1.379587501	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2AFZ	down	-1.397028738	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2AX	up	1.894382746	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
H2BC26	up	1.31567275	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
HIST1H4C	down	-1.554089548	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
HMOX1	up	0.588462609	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
HOXA2	up	1.452381127	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
HTR3A	down	-0.812218926	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
HYCC2	up	1.813417475	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
IL31RA	down	-0.869781924	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
IMPAD1	down	-2.000012936	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ITGAX	up	0.87571827	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KCNC2	down	-0.58546677	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KCNIP1	down	-0.833154646	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KCNT1	down	-0.587758385	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIAA0040	up	2.953971031	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIAA0895	down	-1.698316779	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIAA1211L	down	-1.492623441	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIAA1324	down	-1.209475976	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIAA1324L	down	-1.064229021	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KICS2	up	1.091151167	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
KIF1BP	down	-2.677532048	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LAIR1	up	2.223552008	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LGI1	down	-0.651348628	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LINC03040	up	1.411252507	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LIPG	down	-2.094384273	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LRRC3B	down	-1.640235015	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LXN	down	-0.824554188	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
LYPD6B	down	-1.580154057	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MACROH2A1	up	2.024204948	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MAP2K3	up	0.711695862	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MARCH1	down	-1.159529745	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MARCH11	down	-1.354016774	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MARS	down	-1.33221215	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MISFA	up	1.51605759	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MRC1	up	0.939099574	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
MTRFR	up	1.984861687	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
N4BP2L1	down	-1.62237818	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NALF2	up	2.234631196	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NFATC3	down	-0.826953252	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NLGN3	down	-2.14220985	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NPPB	down	-1.227373447	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NRROS	up	0.809447581	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
NSD3	down	-0.662807096	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
ODF2L	up	1.306188434	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
OGFRL1	down	-0.855385676	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
OPRK1	down	-0.847873015	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
OPRM1	down	-0.752794577	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
P2RY12	down	-2.337847849	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PARP14	down	-0.703670375	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PCDH10	down	-0.983005967	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PDE11A	down	-0.722408721	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PECAM1	up	0.884056224	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PHB	down	-1.900527003	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PHB1	up	2.224012577	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PLAUR	up	1.182823652	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
POGLUT3	down	-1.115246794	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PPIA	down	-0.830653926	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PRKY	up	0.849956887	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PROS1	down	-1.205567394	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PSRC1	up	1.008498036	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
PTPN18	up	1.133366548	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
RALGAPA2	up	0.624157874	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
RAMACL	up	0.74478137	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
RCE1	up	0.831406209	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SBK1	down	-0.816565704	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SCAND3	up	1.372172434	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SHANK1	up	0.984375072	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SKIC2	up	1.49183631	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SLC30A1	down	-0.835137717	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SLC9A3R1	down	-2.089224352	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SLX9	up	1.21983175	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SMIM10	down	-0.733956845	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SMPDL3A	down	-1.095904855	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SPAST	down	-0.803306111	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SPEGNB	down	-0.605789867	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SPG21	down	-1.173959883	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SPRY4	up	0.841385005	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SST	down	-0.603601181	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
STAR	up	1.48386888	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
SVIL	up	0.880807806	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TARS	down	-0.713282352	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TARS1	up	2.366534889	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
TBC1D3B	up	4.13554412	late_shared_concordant_neuronal_core	late_neuron_DPN_vs_diabetes	False				
