PG.Genes	PG.ProteinDescriptions	PG.UniProtIds	human_gene_id	current_symbol	gene_mapping_method	detected_sample_n	detection_fraction	median_log2_intensity_observed	selected_gene_representative	passes_detection_50pct	source_row
A1BG	Alpha-1B-glycoprotein	P04217	1	A1BG	official_exact	43	0.9148936170212766	5.283406475230212	True	True	369
ABI1	Abl interactor 1;Isoform 10 of Abl interactor 1;Isoform 2 of Abl interactor 1;Isoform 3 of Abl interactor 1;Isoform 4 of Abl interactor 1;Isoform 5 of Abl interactor 1;Isoform 6 of Abl interactor 1;Isoform 7 of Abl interactor 1;Isoform 8 of Abl interactor 1;Isoform 9 of Abl interactor 1	Q8IZP0;Q8IZP0-10;Q8IZP0-2;Q8IZP0-3;Q8IZP0-4;Q8IZP0-5;Q8IZP0-6;Q8IZP0-7;Q8IZP0-8;Q8IZP0-9	10006	ABI1	official_exact	4	0.0851063829787234	4.147820330216186	True	False	1376
XP32	Skin-specific protein 32	Q5T750	100129271	KPLCE	unique_synonym	10	0.2127659574468085	4.344176087842378	True	False	1303
TSTD1	Thiosulfate:glutathione sulfurtransferase;Isoform 3 of Thiosulfate:glutathione sulfurtransferase	Q8NFU3;Q8NFU3-3	100131187	TSTD1	official_exact	9	0.19148936170212766	4.664690758355481	True	False	1401
PLA2G4B	Cytosolic phospholipase A2 beta;Isoform 5 of Cytosolic phospholipase A2 beta;Isoform 2 of Cytosolic phospholipase A2 beta;Isoform 3 of Cytosolic phospholipase A2 beta	P0C869;P0C869-6;P0C869-7;P0C869-8	100137049	PLA2G4B	official_exact	2	0.0425531914893617	3.72429563972845	True	False	501
PDCD6IP	Programmed cell death 6-interacting protein;Isoform 2 of Programmed cell death 6-interacting protein	Q8WUM4;Q8WUM4-2	10015	PDCD6IP	official_exact	47	1.0	4.4255767881834345	True	True	1420
PDCD6	Programmed cell death protein 6;Isoform 2 of Programmed cell death protein 6	O75340;O75340-2	10016	PDCD6	official_exact	13	0.2765957446808511	5.298736636824473	True	False	181
TOM1	Target of Myb protein 1;Isoform 2 of Target of Myb protein 1;Isoform 3 of Target of Myb protein 1;Isoform 4 of Target of Myb protein 1	O60784;O60784-2;O60784-3;O60784-4	10043	TOM1	official_exact	7	0.14893617021276595	3.9285490971549852	True	False	172
DPP3	Dipeptidyl peptidase 3;Isoform 4 of Dipeptidyl peptidase 3	Q9NY33;Q9NY33-4	10072	DPP3	official_exact	30	0.6382978723404256	5.322182272952444	True	True	1596
ARPC5	Actin-related protein 2/3 complex subunit 5	O15511	10092	ARPC5	official_exact	1	0.02127659574468085	2.4282850236310503	True	False	130
ARPC4	Actin-related protein 2/3 complex subunit 4;Isoform 2 of Actin-related protein 2/3 complex subunit 4;Isoform 3 of Actin-related protein 2/3 complex subunit 4	P59998;P59998-2;P59998-3	10093	ARPC4	official_exact	32	0.6808510638297872	5.5444623198991465	True	True	995
ARPC3	Actin-related protein 2/3 complex subunit 3	O15145	10094	ARPC3	official_exact	3	0.06382978723404255	4.658003317408103	True	False	122
ARPC1B	Actin-related protein 2/3 complex subunit 1B	O15143	10095	ARPC1B	official_exact	14	0.2978723404255319	4.059424606336668	True	False	120
ACTR3	Actin-related protein 3	P61158	10096	ACTR3	official_exact	38	0.8085106382978723	4.982727926165431	True	True	1011
ACTR2	Actin-related protein 2;Isoform 2 of Actin-related protein 2	P61160;P61160-2	10097	ACTR2	official_exact	37	0.7872340425531915	5.147946447120968	True	True	1012
TSPAN1	Tetraspanin-1	O60635	10103	TSPAN1	official_exact	34	0.723404255319149	5.365584631235449	True	True	169
ARPC2	Actin-related protein 2/3 complex subunit 2	O15144	10109	ARPC2	official_exact	39	0.8297872340425532	4.968759063752246	True	True	121
PDIA6	Protein disulfide-isomerase A6;Isoform 2 of Protein disulfide-isomerase A6;Isoform 3 of Protein disulfide-isomerase A6;Isoform 4 of Protein disulfide-isomerase A6;Isoform 5 of Protein disulfide-isomerase A6	Q15084;Q15084-2;Q15084-3;Q15084-4;Q15084-5	10130	PDIA6	official_exact	45	0.9574468085106383	5.039903832320116	True	True	1246
BCAP31	B-cell receptor-associated protein 31;Isoform 2 of B-cell receptor-associated protein 31	P51572;P51572-2	10134	BCAP31	official_exact	6	0.1276595744680851	4.568604296413243	True	False	941
NAMPT	Nicotinamide phosphoribosyltransferase	P43490	10135	NAMPT	official_exact	20	0.425531914893617	4.490114760261491	True	False	872
ATP6AP2	Renin receptor;Isoform 2 of Renin receptor	O75787;O75787-2	10159	ATP6AP2	official_exact	38	0.8085106382978723	5.530209102035106	True	True	202
ADAM10	Disintegrin and metalloproteinase domain-containing protein 10	O14672	102	ADAM10	official_exact	34	0.723404255319149	5.072225301486245	True	True	109
