contrast_id	matrix_sample	score
severity_neuron_modhigh_vs_low_nageotte	AA010160_38	-0.06095896858817103
severity_neuron_modhigh_vs_low_nageotte	AA010243_38	-0.0010089645683994258
severity_neuron_modhigh_vs_low_nageotte	AA010244_38	-0.03735849610923202
severity_neuron_modhigh_vs_low_nageotte	AA010284_41	0.0029535390867637124
severity_neuron_modhigh_vs_low_nageotte	AA010285_41	-0.01181411333951339
severity_neuron_modhigh_vs_low_nageotte	AA010286_41	0.013315255256639763
severity_neuron_modhigh_vs_low_nageotte	AA010363_38	0.010744051301995017
severity_neuron_modhigh_vs_low_nageotte	AA010365_38	0.0013367842966888616
severity_neuron_modhigh_vs_low_nageotte	AA010366_38	0.011681324210229563
severity_neuron_modhigh_vs_low_nageotte	AA015142_41	0.011896311264195034
severity_neuron_modhigh_vs_low_nageotte	AA015143_38	0.025711445086652185
severity_neuron_modhigh_vs_low_nageotte	AA015146_38	-0.00016234773466662633
severity_neuron_modhigh_vs_low_nageotte	AA015222_41	-0.01472158943792888
severity_neuron_modhigh_vs_low_nageotte	AA015223_38	0.007512610862451058
severity_neuron_modhigh_vs_low_nageotte	AA015224_41	-0.03800178666707346
severity_neuron_modhigh_vs_low_nageotte	AA015225_38	-0.014234633204735031
severity_neuron_modhigh_vs_low_nageotte	AA015226_38	-0.00694998429364585
severity_neuron_modhigh_vs_low_nageotte	AA020219_38	-0.031718894260435254
severity_neuron_modhigh_vs_low_nageotte	AA020221_41	0.02237102735994516
severity_neuron_modhigh_vs_low_nageotte	AA020222_41	-0.013671309913758242
severity_neuron_modhigh_vs_low_nageotte	AA020298_38	-0.005457907410535812
severity_neuron_modhigh_vs_low_nageotte	AA020300_38	-0.0055315907977318
severity_neuron_modhigh_vs_low_nageotte	AA020301_38	-0.014946745386141366
severity_neuron_modhigh_vs_low_nageotte	AA020302_38	0.007205006590093377
severity_neuron_modhigh_vs_low_nageotte	AA020339_41	-0.02757009818296771
severity_neuron_modhigh_vs_low_nageotte	AA020418_41	-0.010644594928787735
severity_neuron_modhigh_vs_low_nageotte	AA020583_38	-0.022622970316424282
severity_neuron_modhigh_vs_low_nageotte	AA020584_41	0.002055327539127974
severity_neuron_modhigh_vs_low_nageotte	AA020585_41	-0.010889587866567144
severity_neuron_modhigh_vs_low_nageotte	AA020661_38	0.014989717565843483
severity_neuron_modhigh_vs_low_nageotte	AA020662_38	-0.040164908308112715
severity_neuron_modhigh_vs_low_nageotte	AA020664_38	-0.024679918762003636
severity_neuron_modhigh_vs_low_nageotte	AA020665_44	-0.016198101413923555
severity_neuron_modhigh_vs_low_nageotte	AA029458_41	0.004371164181270398
severity_neuron_modhigh_vs_low_nageotte	AA029461_38	0.00021394818290842998
severity_neuron_modhigh_vs_low_nageotte	AA029479_41	7.959071194607592e-05
severity_neuron_modhigh_vs_low_nageotte	AA029481_38	-0.0010604226138928724
severity_neuron_modhigh_vs_low_nageotte	AA044985_41	-0.03190760944090848
severity_neuron_modhigh_vs_low_nageotte	AA044986_41	-0.012458709415168925
severity_neuron_modhigh_vs_low_nageotte	AA044987_38	-0.0017037657365072123
severity_neuron_modhigh_vs_low_nageotte	AA056589_39	0.0030438797726281275
severity_neuron_modhigh_vs_low_nageotte	AA056590_42	0.001288950353355689
severity_neuron_modhigh_vs_low_nageotte	AA057010_39	0.003734935461736394
severity_neuron_modhigh_vs_low_nageotte	AA057011_39	-0.018107385855213362
severity_neuron_modhigh_vs_low_nageotte	AA109619_17	0.012353468049773914
severity_neuron_modhigh_vs_low_nageotte	AA109620_20	0.017002084393947084
severity_neuron_modhigh_vs_low_nageotte	AA109621_20	0.01424975943492754
severity_neuron_modhigh_vs_low_nageotte	AA109622_20	-0.005711606986152695
severity_neuron_modhigh_vs_low_nageotte	AA115793_20	-0.02761639341203978
severity_neuron_modhigh_vs_low_nageotte	AA115795_17	-0.011386369889399534
severity_neuron_modhigh_vs_low_nageotte	AA115826_20	-0.01930332332079543
severity_neuron_modhigh_vs_low_nageotte	AA115827_20	-0.0117341986374217
severity_neuron_modhigh_vs_low_nageotte	AA125499_20	-0.011525269912463013
severity_neuron_modhigh_vs_low_nageotte	AA125503_17	-0.004667332270492763
severity_neuron_modhigh_vs_low_nageotte	AA125504_17	-0.02043245860581476
severity_neuron_modhigh_vs_low_nageotte	AA144829_17	0.004326771796977033
severity_neuron_modhigh_vs_low_nageotte	AA144830_20	-0.010354088543467643
severity_neuron_modhigh_vs_low_nageotte	AA144832_17	-0.005567245961047088
severity_neuron_modhigh_vs_low_nageotte	AA144919_20	-8.393829652594831e-05
severity_neuron_modhigh_vs_low_nageotte	AA144920_20	-0.016148409544799402
severity_neuron_modhigh_vs_low_nageotte	AA144922_20	-0.004524741244648939
severity_neuron_modhigh_vs_low_nageotte	AA144923_17	0.0041496361581106755
severity_neuron_modhigh_vs_low_nageotte	AA191419_17	0.007384114841527942
severity_neuron_modhigh_vs_low_nageotte	AA191420_17	0.008418624933830526
severity_neuron_modhigh_vs_low_nageotte	AA191441_20	0.015259105336861215
severity_neuron_modhigh_vs_low_nageotte	AA191442_20	-0.00593760588217776
severity_neuron_modhigh_vs_low_nageotte	AA191443_17	-0.0013328543631227346
severity_neuron_modhigh_vs_low_nageotte	AA191444_17	-0.015943211007269892
severity_neuron_modhigh_vs_low_nageotte	AA233470_17	-0.001775547234647526
severity_neuron_modhigh_vs_low_nageotte	AA233471_20	0.003057565728043346
severity_neuron_modhigh_vs_low_nageotte	AA233472_17	-0.004881076884371616
severity_neuron_modhigh_vs_low_nageotte	AA244928_20	-0.02358679894792466
severity_neuron_modhigh_vs_low_nageotte	AA244929_17	-0.024507164158027214
severity_neuron_modhigh_vs_low_nageotte	AA244931_17	-0.014912823904608408
severity_neuron_modhigh_vs_low_nageotte	AA278922_20	-0.011599939605943119
severity_neuron_modhigh_vs_low_nageotte	AA286956_20	-0.02130951139877614
