file	file_size_bytes	sha256	n_cells	n_gene_rows	n_unique_gene_symbols	duplicate_gene_symbol_rows	malformed_rows	negative_value_rows	noninteger_value_rows	total_umi	median_umi_per_cell	minimum_umi_per_cell	maximum_umi_per_cell	median_detected_genes_per_cell	minimum_detected_genes_per_cell	maximum_detected_genes_per_cell	zero_library_cells	duplicate_cell_barcodes	gsm	sample_id	group
GSM5352803_DM1.expression_matrix.txt.gz	2007253	3bb1b8186f4f08709e62d56683a3b4c9baf935e890cb9e3a7808dc5f3d70712a	1244	17058	17058	0	0	0	0	6049443	2518.0	1419	45763	988.0	37	5142	0	0	GSM5352803	DM1	Diabetes_no_allodynia
GSM5352804_DM2.expression_matrix.txt.gz	1130663	20e86b1062af82f64c83d0cefb235282aa52bf7c8e8bd64e25daeee67a0941ba	488	16001	16001	0	0	0	0	4104220	6824.5	1282	28830	2106.0	36	4786	0	0	GSM5352804	DM2	Diabetes_no_allodynia
GSM5352801_N1.expression_matrix.txt.gz	1498351	2e909d271238a40a008bb6f67ff174a591d569b4a58fd680b66cc5f7509faac3	1355	15989	15989	0	0	0	0	2992081	1363.0	488	61578	635.0	11	6081	0	0	GSM5352801	N1	Normal
GSM5352802_N2.expression_matrix.txt.gz	1859533	37f8bb3bf36850c795ddb92f595dd9635c2f116bd0d8b42d6458ffd533df938c	1462	16503	16503	0	0	0	0	4499357	1602.0	674	62846	725.5	30	6078	0	0	GSM5352802	N2	Normal
GSM5352805_PDPN1.expression_matrix.txt.gz	1089434	34f0963a21aa2dda37ddd9a5c428853fd47fdefd8e469a66932aa862b833f694	603	15876	15876	0	0	0	0	3833603	2218.0	865	81241	836.0	28	6577	0	0	GSM5352805	PDPN1	Painful_DPN
GSM5352806_PDPN2.expression_matrix.txt.gz	3297616	70025f90dec5dee9192617ecd27b45b1b6f484d65b2d01d5e9fff97af5bc52c0	1816	18503	18503	0	0	0	0	11159582	3487.0	1854	68962	1207.0	64	5954	0	0	GSM5352806	PDPN2	Painful_DPN
GSM5352807_PDPN3.expression_matrix.txt.gz	1022020	bc5d5beacb9aea4a4c3aa23c927f3b9c839a978adcf6a64a91dbd647d6e5c66b	490	15909	15909	0	0	0	0	3724017	2886.5	1330	50567	979.0	29	5742	0	0	GSM5352807	PDPN3	Painful_DPN
GSM5412495_PDPN4.expression_matrix.txt.gz	906520	cf6d44e19c3ad2eb68b2d2674941e4d67808596c1f34ee174b680e4c252bd861	1307	14924	14924	0	0	0	0	1705659	428.0	184	69915	244.0	14	6619	0	0	GSM5412495	PDPN4	Painful_DPN
