dataset	contrast_id	sample	group	source_group	compartment	context	species	score
GSE227165	severity_neuron_modhigh_vs_low_nageotte	STZ_2	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.00534551951866255
GSE227165	severity_neuron_modhigh_vs_low_nageotte	STZ_3	disease	STZ_diabetic	cornea	resting_diabetes	rat	0.0010100384773822635
GSE227165	xenium_DPN_vs_control	NOR_1	control	normal	cornea	resting_diabetes	rat	-0.13889715343576284
GSE227165	xenium_DPN_vs_control	NOR_2	control	normal	cornea	resting_diabetes	rat	-0.137608519857799
GSE227165	xenium_DPN_vs_control	NOR_3	control	normal	cornea	resting_diabetes	rat	-0.14632634534108424
GSE227165	xenium_DPN_vs_control	STZ_1	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.12959572379630055
GSE227165	xenium_DPN_vs_control	STZ_2	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.1533391312308326
GSE227165	xenium_DPN_vs_control	STZ_3	disease	STZ_diabetic	cornea	resting_diabetes	rat	-0.1431527593414809
GSE180490	early_allcell_diabetes_vs_control	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse	-0.053032503492544875
GSE180490	early_allcell_diabetes_vs_control	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse	-0.05794666163019933
GSE180490	early_allcell_diabetes_vs_control	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse	-0.06963902768732919
GSE180490	early_allcell_diabetes_vs_control	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.07559624400124859
GSE180490	early_allcell_diabetes_vs_control	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.05849953856512438
GSE180490	early_allcell_diabetes_vs_control	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.05997750405069451
GSE180490	late_allcell_DPN_vs_diabetes	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse	-0.054309680395833636
GSE180490	late_allcell_DPN_vs_diabetes	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse	-0.04935508938770016
GSE180490	late_allcell_DPN_vs_diabetes	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse	-0.050870059760629804
GSE180490	late_allcell_DPN_vs_diabetes	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.04428918653705463
GSE180490	late_allcell_DPN_vs_diabetes	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.05169647779092119
GSE180490	late_allcell_DPN_vs_diabetes	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	-0.04824939003779466
GSE180490	late_neuron_DPN_vs_diabetes	C-Ctrl-W1	control	control_wounded	cornea	wounded_diabetes	mouse	0.025741408457672574
GSE180490	late_neuron_DPN_vs_diabetes	C-Ctrl-W2	control	control_wounded	cornea	wounded_diabetes	mouse	0.029596665248501373
GSE180490	late_neuron_DPN_vs_diabetes	C-Ctrl-W3	control	control_wounded	cornea	wounded_diabetes	mouse	0.03865999651743477
GSE180490	late_neuron_DPN_vs_diabetes	C-DM-W1	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	0.04030751700460231
GSE180490	late_neuron_DPN_vs_diabetes	C-DM-W2	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	0.03076533162377869
GSE180490	late_neuron_DPN_vs_diabetes	C-DM-W3	disease	diabetic_wounded	cornea	wounded_diabetes	mouse	0.03282172891948598
