gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status
ABI3	3.64e-15	-0.764865395	0.108	0.17	6.76e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ABTB3	1.08e-11	-1.44353696	0.012	0.028	2e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACACB	7.44e-10	0.611960026	0.291	0.258	1.38e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACAD11	2.11e-35	0.769777587	0.363	0.289	3.93e-31	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACAP1	1.29e-08	-0.822667821	0.026	0.042	0.000240237	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACKR2	2.55e-07	0.849663294	0.046	0.037	0.004733472	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ACTMAP	3.95e-11	-0.920982195	0.011	0.02	7.34e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADAM20	3.75e-07	0.700878168	0.049	0.041	0.006974083	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADAMTS14	3.29e-14	0.619310727	0.112	0.092	6.11e-10	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADGRG5	9.62e-09	-1.169518496	0.024	0.046	0.000178727	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADH1C	1.09e-07	0.75116084	0.029	0.021	0.00202198	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADHFE1	1e-11	0.638690693	0.283	0.247	1.87e-07	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADIPOR2	1.07e-34	0.662443164	0.255	0.216	1.98e-30	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ADSS2	5.69e-09	-1.766576184	0.044	0.134	0.000105683	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AEN	1.12e-08	-0.629090631	0.088	0.146	0.000208147	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AIF1	3.52e-15	-1.380830602	0.069	0.191	6.53e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AKAP9	4.9e-25	0.605440542	0.423	0.355	9.11e-21	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AKR1A1	2.03e-14	-0.745850322	0.221	0.33	3.78e-10	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ALCAM	1.49e-62	0.606839771	0.355	0.32	2.77e-58	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ALKAL2	1.19e-13	0.608573711	0.064	0.052	2.21e-09	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ALYREF	2.36e-10	-0.727540562	0.069	0.118	4.38e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANAPC16	2.49e-32	0.627094769	0.299	0.254	4.63e-28	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANGEL2	2.83e-08	0.890963924	0.143	0.113	0.00052667	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANGPTL2	5.77e-16	-0.69704034	0.095	0.148	1.07e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANGPTL4	2.23e-32	1.147547428	0.117	0.079	4.14e-28	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANKAR	2.33e-11	0.890805713	0.133	0.102	4.33e-07	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANKRD12	4.01e-13	0.891222044	0.252	0.19	7.45e-09	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANKRD26	1.37e-13	0.759606069	0.185	0.148	2.54e-09	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANKS1B	2.48e-21	0.99962149	0.198	0.139	4.61e-17	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ANP32A	5.23e-22	-0.824511081	0.073	0.145	9.72e-18	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AP1S3	2.45e-15	0.646010324	0.088	0.073	4.56e-11	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
APBB2	6.04e-13	0.591704506	0.259	0.223	1.12e-08	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
APOL4	1.4e-10	1.185044825	0.03	0.017	2.61e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
APPBP2	3.18e-21	0.619386026	0.163	0.142	5.92e-17	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AQP3	1.14e-10	0.691257068	0.045	0.035	2.11e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARHGAP10	5.62e-42	1.059624117	0.311	0.222	1.05e-37	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARHGAP21	1.28e-22	0.767393772	0.168	0.137	2.37e-18	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARHGAP4	4.51e-23	-0.963021959	0.202	0.308	8.39e-19	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARL4A	3.59e-08	0.755171183	0.077	0.067	0.000667627	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARSI	6.53e-07	-0.664551702	0.028	0.047	0.012128727	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ARSL	8.42e-08	-1.340515148	0.022	0.059	0.001564839	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ATOSA	2.96e-32	-2.08642949	0.037	0.141	5.5e-28	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
ATP10A	2.83e-14	0.733001655	0.08	0.058	5.27e-10	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
AVPI1	1.52e-11	0.59745538	0.164	0.148	2.83e-07	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
B3GALT1	1.06e-07	0.748201261	0.038	0.031	0.001974375	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
B3GALT9	1.84e-10	-1.543029326	0.007	0.017	3.42e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BARD1	4.05e-13	0.761493052	0.063	0.049	7.52e-09	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BBS2	1.23e-14	0.730822123	0.443	0.381	2.28e-10	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BCKDHB	4.05e-22	0.601245126	0.245	0.211	7.53e-18	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BCL6	1.81e-68	0.768697351	0.411	0.331	3.36e-64	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BCO2	3.81e-07	0.633033469	0.116	0.104	0.007088447	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BLOC1S2	2.03e-06	-0.816293779	0.068	0.129	0.037638225	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BLTP1	2.02e-15	-1.730743843	0.062	0.206	3.75e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BMAL1	7.49e-14	-1.468103203	0.011	0.028	1.39e-09	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BPNT2	3.3e-17	-1.99139835	0.054	0.187	6.12e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BRCA1	1.17e-10	-0.74840215	0.023	0.039	2.17e-06	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BRINP2	2.88e-08	0.670167138	0.044	0.034	0.000536034	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
BTBD3	9.34e-26	0.634379138	0.291	0.247	1.74e-21	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C12orf57	2.07e-06	-0.688888525	0.268	0.395	0.038388687	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C19orf44	2.85e-10	0.588210222	0.079	0.067	5.29e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C1QTNF1	1.16e-71	-0.593599664	0.098	0.136	2.15e-67	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C2CD3	6.03e-25	0.719113436	0.143	0.121	1.12e-20	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C5	2.11e-16	0.650617691	0.129	0.11	3.92e-12	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C6orf52	6.88e-07	0.608020144	0.009	0.007	0.012777256	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
C7	1.15e-09	0.67210223	0.168	0.171	2.14e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CACNA2D1	1.44e-21	0.655684521	0.198	0.163	2.67e-17	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CACNA2D3	2.3e-39	0.608213575	0.1	0.091	4.28e-35	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CACNA2D4	1.37e-11	-0.898982397	0.02	0.039	2.54e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CAPN15	6.43e-08	-0.619833937	0.079	0.129	0.001194211	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CAPN7	2.51e-29	0.623764777	0.265	0.229	4.67e-25	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CARS1	8.2e-09	-2.226978788	0.011	0.037	0.000152366	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CASTOR1	2.91e-16	0.899554778	0.277	0.203	5.4e-12	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CBLN2	1.72e-39	0.716994109	0.039	0.034	3.2e-35	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCAR1	6.77e-10	0.645899152	0.07	0.059	1.26e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCDC110	1.45e-09	-0.611897281	0.013	0.018	2.69e-05	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCDC14	1.57e-21	0.920291825	0.275	0.204	2.92e-17	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCDC88B	7.16e-08	-0.634993603	0.12	0.174	0.001329513	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCL14	7.01e-08	-0.714017319	0.039	0.062	0.001301933	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCN2	1.14e-13	0.998152184	0.202	0.175	2.11e-09	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCN4	1.11e-15	0.917746306	0.098	0.073	2.06e-11	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCN5	5.45e-09	-0.94885516	0.018	0.036	0.00010122	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CCSER1	1.4e-06	0.743769143	0.038	0.028	0.026055062	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CD248	2.58e-11	-1.300509258	0.04	0.093	4.8e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CD58	2.83e-22	0.624424563	0.193	0.169	5.26e-18	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CD74	6.71e-47	-0.808713879	0.446	0.624	1.25e-42	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CD93	1.21e-09	-0.921945946	0.117	0.194	2.25e-05	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CDC42BPA	4.16e-20	0.626606371	0.251	0.218	7.72e-16	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CDC42EP1	4.18e-24	-0.80192052	0.102	0.185	7.77e-20	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CDC42EP3	3.17e-09	0.879288248	0.124	0.094	5.89e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CDC6	1.93e-08	-1.198744413	0.012	0.021	0.000357828	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CDKN2A	2.02e-20	-0.862776173	0.017	0.038	3.76e-16	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CENATAC	2.34e-16	-1.139426922	0.041	0.108	4.34e-12	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CENPP	3.58e-28	-0.674176604	0.097	0.141	6.65e-24	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CEP131	1.2e-19	-0.662519912	0.081	0.139	2.22e-15	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CEP43	1.63e-20	-1.72961874	0.022	0.066	3.02e-16	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CFAP69	1.61e-10	0.602627198	0.12	0.1	3e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CFAP91	1.49e-11	-0.999415965	0.011	0.024	2.76e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CHD9	7.2e-20	0.600596431	0.358	0.299	1.34e-15	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CHD9NB	7.13e-08	-1.223694914	0.007	0.022	0.001325121	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CHI3L1	1.1e-06	0.787719975	0.069	0.07	0.020474918	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CHST7	2.02e-10	0.794099256	0.042	0.032	3.75e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CIITA	2.55e-34	-0.617537716	0.209	0.316	4.74e-30	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CITED2	1.05e-52	0.767766466	0.206	0.18	1.95e-48	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLDN1	7.29e-12	1.043238705	0.246	0.193	1.36e-07	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLDN11	6.07e-21	0.923169767	0.292	0.254	1.13e-16	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLDN12	2.23e-09	0.602409044	0.223	0.195	4.15e-05	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLDN19	1.76e-21	-0.616356448	0.058	0.093	3.27e-17	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLEC1A	6.55e-09	0.770832241	0.136	0.107	0.000121717	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLIP4	9.73e-35	0.756280995	0.344	0.266	1.81e-30	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLK1	3.59e-36	0.638790887	0.538	0.451	6.68e-32	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLK2	8.62e-08	0.806985154	0.13	0.104	0.001602517	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CLOCK	6.77e-15	0.612397107	0.123	0.105	1.26e-10	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CMPK2	4.07e-19	0.659789484	0.204	0.168	7.57e-15	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CNOT1	1.75e-22	0.650949257	0.114	0.098	3.26e-18	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
COBLL1	1.1e-38	0.849795136	0.216	0.165	2.04e-34	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
COL12A1	9.67e-54	0.657332977	0.21	0.175	1.8e-49	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
COL15A1	2.67e-15	-0.902368184	0.083	0.154	4.96e-11	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
COL1A1	3.09e-99	-0.58600467	0.319	0.374	5.74e-95	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
COL6A3	3.51e-43	-1.175054498	0.135	0.207	6.53e-39	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CORO1A	1.22e-07	-0.808000572	0.165	0.253	0.002270998	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CPLANE1	2.28e-26	0.764054706	0.321	0.254	4.24e-22	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CPNE4	1.08e-11	-0.873277843	0.036	0.058	2e-07	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CPSF1	3.44e-37	0.702091516	0.184	0.151	6.38e-33	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CREB3L2	2.12e-17	-0.925346161	0.19	0.342	3.94e-13	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CRYAB	2.65e-06	-0.766059369	0.254	0.397	0.049308156	False	down	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
CRYBG3	1.62e-10	0.709740406	0.175	0.145	3e-06	False	up	True	True	True	Sup_Data3	early_allcell_diabetes_vs_control	all_hDRG_celltypes	Diabetes_minus_Control	preprint_supplement_not_peer_reviewed
