gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene_recovered_from_excel_date	direction	passes_fdr_0_05	passes_abs_log2fc_0_585	primary_signature_member	source_sheet	contrast_id	biological_level	effect_orientation	evidence_status
KIF3A	2.5e-179	-0.627808458	0.146	0.182	4.64e-175	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KIFAP3	1.16e-217	-0.645194045	0.172	0.21	2.15e-213	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KIRREL3	1.23e-26	-0.703163124	0.013	0.018	2.29e-22	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KIT	5.85e-09	-1.294880222	0.012	0.023	0.00010869	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLB	1.62e-09	1.905633211	0.011	0.003	3e-05	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLF10	1.3e-73	0.973261736	0.125	0.07	2.41e-69	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLF11	4.15e-49	0.672137207	0.14	0.083	7.7e-45	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLF5	2.7e-18	-0.90252379	0.122	0.199	5.01e-14	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLF6	2.18e-174	0.913983936	0.59	0.433	4.05e-170	False	up	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
KLHL11	1.88e-50	-1.097080133	0.024	0.046	3.48e-46	False	down	True	True	True	Sup_Data4	late_allcell_DPN_vs_diabetes	all_hDRG_celltypes	DPN_minus_Diabetes	preprint_supplement_not_peer_reviewed
