term	coefficient	standard_error_hc3	two_sided_p_hc3	ci_low_hc3	ci_high_hc3	model
const	35.499791151547676	3.3408935134400184	2.2597493841850895e-26	28.951760189021755	42.0478221140736	longitudinal_primary
visit8_score	2.4457405838635315	1.9990206329979041	0.22115245316512744	-1.4722678611648217	6.363749028891885	longitudinal_primary
baseline_npsi	12.757703225416705	2.132935770654802	2.2137999123459952e-09	8.577225933596107	16.938180517237303	longitudinal_primary
baseline_score	-5.832936714906887	2.410033361614031	0.015508893595311374	-10.556515305210384	-1.1093581246033892	longitudinal_primary
age_years	-3.8579305933882813	2.5891233452536238	0.13621034292891482	-8.932519101617249	1.2166579148406855	longitudinal_primary
bmi	3.7697992610405415	2.196946217840724	0.0861754102334274	-0.5361362018987657	8.07573472397985	longitudinal_primary
actual_visit8_day	0.39991932579602485	2.7363563178054173	0.8838027306439249	-4.963240505971232	5.763079157563281	longitudinal_primary
randomized_treatment_AZD2423 20 mg	2.8306435791133375	5.420151564069601	0.6015002042672626	-7.792658277211524	13.453945435438198	longitudinal_primary
randomized_treatment_Placebo	6.002005376711039	5.181490858994907	0.24671923186834332	-4.153530093142487	16.157540846564565	longitudinal_primary
sex_M	-0.45169981814765015	4.337822847857323	0.9170657583662996	-8.953676371262974	8.050276734967673	longitudinal_primary
