library	module_id	module_display	direction	term	background_n	component_direction_n	term_background_n	overlap_n	gene_ratio	background_ratio	odds_ratio	p_value	overlap_genes	bh_q	formal_enrichment
Reactome_2024	late_allcell_residual	All-cell residual	up	G Alpha (12 13) Signalling Events	3695	1339	14	12	0.008961911874533234	0.0037889039242219214	8.868173258003766	0.0002017014472968528	ADRA1A;ADRA1D;ARHGEF10L;ARHGEF15;ARHGEF37;FGD2;FGD3;ITSN1;OBSCN;PLEKHG5;TBXA2R;VAV2	0.047615679036636105	True
Reactome_2024	late_allcell_residual	All-cell residual	up	Adipogenesis	3695	1339	21	16	0.01194921583271098	0.005683355886332882	5.330185115224783	0.0002170927615652102	ADIPOQ;CD36;CEBPA;CIDEA;EBF1;FABP4;LEP;MED12;MED22;PCK1;PLIN1;PPARG;PRDM16;RBBP4;SLC2A4;ZNF423	0.047615679036636105	True
Reactome_2024	late_neuron_residual	Neuron residual	up	Cytosolic tRNA Aminoacylation	3695	215	18	16	0.07441860465116279	0.004871447902571042	115.0781954887218	1.3873071690474917e-18	AARS1;DARS1;EPRS1;GARS1;HARS1;IARS1;KARS1;LARS1;MARS1;NARS1;QARS1;RARS1;SARS1;VARS1;WARS1;YARS1	1.359561025666542e-16	True
Reactome_2024	late_neuron_residual	Neuron residual	up	tRNA Aminoacylation	3695	215	20	16	0.07441860465116279	0.005412719891745603	63.895572263993316	3.957151750033021e-17	AARS1;DARS1;EPRS1;GARS1;HARS1;IARS1;KARS1;LARS1;MARS1;NARS1;QARS1;RARS1;SARS1;VARS1;WARS1;YARS1	1.9390043575161805e-15	True
Reactome_2024	late_neuron_residual	Neuron residual	up	Translation	3695	215	30	16	0.07441860465116279	0.008119079837618403	19.772621208192895	7.041602271674385e-13	AARS1;DARS1;EPRS1;GARS1;HARS1;IARS1;KARS1;LARS1;MARS1;NARS1;QARS1;RARS1;SARS1;VARS1;WARS1;YARS1	2.300256742080299e-11	True
Reactome_2024	late_neuron_residual	Neuron residual	up	Selenoamino Acid Metabolism	3695	215	12	9	0.04186046511627907	0.003247631935047361	45.70909719820131	1.2278864856382858e-09	DARS1;EPRS1;IARS1;KARS1;LARS1;MARS1;QARS1;RARS1;SARS1	2.8807950958061738e-08	True
Reactome_2024	late_neuron_residual	Neuron residual	up	FASTK Family Proteins Regulate Processing and Stability of Mitochondrial RNAs	3695	215	7	7	0.03255813953488372	0.0018944519621109607	250.3956834532374	2.0577107827186954e-09	MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	2.8807950958061738e-08	True
Reactome_2024	late_neuron_residual	Neuron residual	up	Mitochondrial RNA Degradation	3695	215	7	7	0.03255813953488372	0.0018944519621109607	250.3956834532374	2.0577107827186954e-09	MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	2.8807950958061738e-08	True
Reactome_2024	late_neuron_residual	Neuron residual	up	tRNA Processing in the Mitochondrion	3695	215	7	7	0.03255813953488372	0.0018944519621109607	250.3956834532374	2.0577107827186954e-09	MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	2.8807950958061738e-08	True
Reactome_2024	late_neuron_residual	Neuron residual	up	rRNA Processing in the Mitochondrion	3695	215	8	7	0.03255813953488372	0.002165087956698241	83.44124700239809	1.5649314542758666e-08	MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	1.9170410314879366e-07	True
Reactome_2024	late_neuron_residual	Neuron residual	up	rRNA Processing	3695	215	15	8	0.037209302325581395	0.0040595399188092015	18.971726907630522	5.221288038700915e-07	EXOSC6;MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	5.685402531029886e-06	True
Reactome_2024	late_neuron_residual	Neuron residual	up	tRNA Processing	3695	215	19	8	0.037209302325581395	0.005142083897158322	12.358617077003666	5.00098395581701e-06	EPRS1;MT-ATP6;MT-CO2;MT-CYB;MT-ND1;MT-ND3;MT-ND4;MT-ND5	4.90096427670067e-05	True
