term	coefficient	standard_error_hc3	two_sided_p_hc3	ci_low_hc3	ci_high_hc3	model
const	58.20800028423169	4.011639710980585	1.0506054303256134e-47	50.345330931759065	66.07066963670431	baseline_primary
score	-0.020450388454209323	3.0339621920420012	0.994621908705711	-5.966907015312727	5.926006238404308	baseline_primary
age_years	-1.643999680354278	3.1404864627312343	0.6006363161461401	-7.799240041243087	4.511240680534532	baseline_primary
bmi	4.535456062628459	2.8349489564575148	0.10963476169327013	-1.0209417900376803	10.091853915294598	baseline_primary
sex_M	-15.730612824962634	5.809826473814816	0.006777422738413833	-27.117663470067015	-4.343562179858255	baseline_primary
