library	module_id	module_display	direction	term	background_n	component_direction_n	term_background_n	overlap_n	gene_ratio	background_ratio	odds_ratio	p_value	overlap_genes	bh_q	formal_enrichment
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	up	Translational Elongation (GO:0006414)	3695	77	9	3	0.03896103896103896	0.002435723951285521	26.109963861641713	0.0006679837975898066	GTPBP2;MTRFR;SKIC2	0.030727254689131105	True
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	down	Phospholipase C-activating G Protein-Coupled Receptor Signaling Pathway (GO:0007200)	3695	119	24	5	0.04201680672268908	0.006495263870094722	8.76329638338372	0.0008282559783551328	EDNRA;GPR139;OPRK1;OPRM1;P2RY12	0.02352217323321833	True
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	down	Sensory Perception of Pain (GO:0019233)	3695	119	8	3	0.025210084033613446	0.002165087956698241	19.508778774873196	0.001620605280468879	OPRK1;OPRM1;TRPA1	0.02352217323321833	True
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	down	Neuropeptide Signaling Pathway (GO:0007218)	3695	119	18	4	0.03361344537815126	0.004871447902571042	9.572324227496642	0.0022052037406142186	CYSLTR1;NPPB;OPRK1;OPRM1	0.02352217323321833	True
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	down	Protein Homooligomerization (GO:0051260)	3695	119	23	4	0.03361344537815126	0.0062246278755074425	7.107892107892108	0.005635064518142587	KCNC2;KCNT1;SPAST;TRPA1	0.03606441291611256	True
GO_BP_2025	late_shared_concordant_neuronal_core	Shared neuronal core	down	Anterograde Trans-Synaptic Signaling (GO:0098916)	3695	119	42	5	0.04201680672268908	0.011366711772665765	4.533857350800583	0.01044644340547102	HTR3A;KCNIP1;NLGN3;OPRK1;SST	0.04465870298662087	True
GO_BP_2025	late_neuron_residual	Neuron residual	up	tRNA Aminoacylation for Protein Translation (GO:0006418)	3695	215	20	16	0.07441860465116279	0.005412719891745603	63.895572263993316	3.957151750033021e-17	DARS1;EPRS1;GARS1;HARS1;IARS1;KARS1;LARS1;MARS1;NARS1;QARS1;RARS1;SARS1;TARS3;VARS1;WARS1;YARS1	4.590296030038304e-15	True
GO_BP_2025	late_neuron_residual	Neuron residual	up	Axonemal Dynein Complex Assembly (GO:0070286)	3695	215	8	5	0.023255813953488372	0.002165087956698241	25.960298608754666	3.08970043222556e-05	DNAAF10;DNAAF11;DNAAF8;ODAD1;ODAD3	0.0008960131253454124	True
GO_BP_2025	late_neuron_residual	Neuron residual	up	Chromosome Condensation (GO:0030261)	3695	215	7	4	0.018604651162790697	0.0018944519621109607	21.13981762917933	0.00033962880803826436	H1-0;H1-10;H1-4;PLK1	0.007879388346487732	True
GO_BP_2025	late_neuron_residual	Neuron residual	up	Cilium Movement (GO:0003341)	3695	215	14	5	0.023255813953488372	0.0037889039242219214	9.547818477309663	0.0008269234875038203	CFAP251;DNAAF11;ODAD1;ODAD3;PIERCE2	0.01598718742507386	True
GO_BP_2025	late_neuron_residual	Neuron residual	up	Heterochromatin Formation (GO:0031507)	3695	215	15	5	0.023255813953488372	0.0040595399188092015	8.63601402556272	0.0011822245124176165	H1-0;H2AC25;H2AJ;H2AZ1;MACROH2A2	0.01714225543005544	True
