stable_id	gene_symbol	gene_type	mean_control	mean_diabetic	log2FC	median_log2FC	hedges_g	welch_p	BH_FDR	tested	same_median_direction	large_effect_abs_log2FC_ge_0.5	direction
ENSMUSG00000000001	Gnai3	protein_coding	16.983522000000004	14.157835333333333	-0.2626944312624677	-0.29289742852924805	-2.5267302756697867	0.03034311137691931	0.8163363796027796	True	True	False	down
ENSMUSG00000000028	Cdc45	protein_coding	1.4243971446666668	1.1506069783333333	-0.2863753985070958	-0.2326850297031201	-3.392320745558996	0.00925430468998301	0.8163363796027796	True	True	False	down
ENSMUSG00000000031	H19	lincRNA	2.113558161333333	1.6563239916666668	-0.3512684739988411	-0.22824004314196678	-0.4789113007414885	1.0	1.0	False	True	False	down
ENSMUSG00000000049	Apoh	protein_coding	0.56143458	0.5012284273333334	-0.15391809323702754	-0.00026628721900012753	-0.45895074667315516	1.0	1.0	False	True	False	down
ENSMUSG00000000056	Narf	protein_coding	10.416540551666667	10.178097733333333	-0.0376407607489706	-0.08493666676949019	-0.258242830318582	0.7222274848469243	1.0	True	True	False	down
ENSMUSG00000000058	Cav2	protein_coding	13.347735866666667	10.262009102999999	-0.38957013490528913	-0.2825936117759835	-1.7347915907024674	0.10979382246787339	0.8163363796027796	True	True	False	down
ENSMUSG00000000078	Klf6	protein_coding	18.72330735	17.329191366666667	-0.1131944625508936	-0.09828908053921115	-0.7814842459346236	0.3050039379431224	0.819018058215193	True	True	False	down
ENSMUSG00000000085	Scmh1	protein_coding	3.989814453333333	3.7478344939999997	-0.10293742609075296	-0.038792391035778584	-0.4513759826300368	0.5606751624343415	0.9577762535034412	True	True	False	down
ENSMUSG00000000088	Cox5a	protein_coding	34.653340746666665	39.066645253333334	0.1634876715069753	0.21255684647382012	0.7504112909598792	0.3389084711265328	0.8312485523955528	True	True	False	up
ENSMUSG00000000093	Tbx2	protein_coding	10.123857000000001	14.483587333333332	0.45764397331200124	0.5258643492299799	0.9995069891256211	0.2562506146741156	0.8163363796027796	True	True	False	up
ENSMUSG00000000120	Ngfr	protein_coding	127.29409033333333	154.07762666666667	0.2479383078565709	0.37002129335231615	0.6990654408847128	0.37729786514615465	0.8494950892676763	True	True	False	up
ENSMUSG00000000125	Wnt3	protein_coding	0.5140943333333333	0.508438	-0.10118006138424418	-0.3562340710109737	-0.17647341878442804	1.0	1.0	False	True	False	down
ENSMUSG00000000126	Wnt9a	protein_coding	2.5452831563333334	2.7038128796666663	0.07485247976504472	0.036980084806656155	0.25551489947811207	0.7178664023925314	1.0	True	True	False	up
ENSMUSG00000000127	Fer	protein_coding	11.8288171	8.818906197333334	-0.43759694840368324	-0.3858423893622569	-1.7074078369106616	0.11491578164632593	0.8163363796027796	True	True	False	down
ENSMUSG00000000131	Xpo6	protein_coding	5.395953327666667	4.5557000363333335	-0.27062039181437614	-0.38696493470350246	-0.7840089007530593	0.3397667916301407	0.8312485523955528	True	True	False	down
ENSMUSG00000000134	Tfe3	protein_coding	4.259417508666666	4.787846416	0.14934121833702685	0.11071517225962557	0.6361101514619129	0.4287774081491551	0.8791861699883099	True	True	False	up
ENSMUSG00000000142	Axin2	protein_coding	2.5352045536666665	3.1967887286666667	0.32604415746506676	0.19687307520531516	0.9467278529451426	0.2215704958041335	0.8163363796027796	True	True	False	up
ENSMUSG00000000148	Brat1	protein_coding	3.4655477046666667	4.355376863333333	0.3035091985634868	0.3404920695711149	1.0980765895423485	0.21133046055358137	0.8163363796027796	True	True	False	up
ENSMUSG00000000149	Gna12	protein_coding	35.221153609999995	38.935232326666664	0.13525748469283894	0.25190324759997473	0.6589635184580619	0.3982545235572131	0.8582524398925989	True	True	False	up
ENSMUSG00000000154	Slc22a18	protein_coding	3.495338139333333	4.382215859666666	0.2734485568196827	0.5185353832394264	0.5698420022309112	0.45499783588265663	0.891740359423621	True	True	False	up
ENSMUSG00000000168	Dlat	protein_coding	17.002963899999997	17.622967353333333	0.045945266055666956	0.049174893247963425	0.30785792775518356	0.6770256460632584	1.0	True	True	False	up
ENSMUSG00000000171	Sdhd	protein_coding	48.93215566666667	53.80946866666667	0.13171066060946313	0.09556113677032307	0.9702383777288187	0.26712769729023655	0.8176500150475076	True	True	False	up
ENSMUSG00000000184	Ccnd2	protein_coding	4.108821370333334	2.3805423500000003	-0.4524348856281548	-0.09418699150919219	-0.37936062505192786	0.6057578054293418	0.9840394649579374	True	True	False	down
ENSMUSG00000000194	Gpr107	protein_coding	6.380838238666667	6.482070974999999	0.02094116090519016	0.021055187467490022	0.23526569938057165	0.7432163479280044	1.0	True	True	False	up
ENSMUSG00000000197	Nalcn	protein_coding	4.966303950333334	4.313715850333334	-0.2290194875609215	-0.19384772224971636	-0.58344610557238	0.4419153598396176	0.8851749067846251	True	True	False	down
ENSMUSG00000000214	Th	protein_coding	3.6237137123333336	3.778602876333333	0.050531008095620056	0.017226925502903834	0.16726171719925848	0.8115825062779071	1.0	True	True	False	up
