donor_id	module_id	program	S_delta	U_delta	D_delta
sub-UTD-180714DHB	late_allcell_residual	P8	0.034108219123748534	0.013358883455412779	-0.020749335668335867
sub-UTD-180714DHB	late_neuron_residual	P7	-0.009521468916657205	-0.003948346283706716	0.005573122632950567
sub-UTD-180714DHB	late_shared_concordant_neuronal_core	P6	0.010924154579405782	0.007480401444712043	-0.0034437531346938055
sub-UTD-180714DHB	original_early_allcell	P1	0.005478593856368605	0.004871261882096634	-0.0006073319742719296
sub-UTD-180714DHB	original_late_allcell	P2	0.0329244169555071	0.012928531179143471	-0.01999588577636363
sub-UTD-180714DHB	original_late_neuron	P3	-0.0028289603891991704	0.0003056774645059379	0.0031346378537051023
sub-UTD-180714DHB	original_severity	P4	0.03335638925934829	-0.019976489685079424	-0.05333287894442773
sub-UTD-180714DHB	original_xenium	P5	-0.05623904829996516	-0.04049477631012183	0.01574427198984335
sub-UTD-180714DHB	severity_neuron_residual	P10	0.04013513130636488	-0.01953853565870045	-0.05967366696506543
sub-UTD-181030DHB	late_allcell_residual	P8	0.050775724332162445	0.020332373950923674	-0.030443350381238743
sub-UTD-181030DHB	late_neuron_residual	P7	-0.01971994011170823	-0.0017408296710817173	0.017979110440626472
sub-UTD-181030DHB	late_shared_concordant_neuronal_core	P6	0.042168935856363596	0.024237071390509776	-0.017931864465853764
sub-UTD-181030DHB	original_early_allcell	P1	0.0041575782351103464	0.00921390482842352	0.0050563265933131485
sub-UTD-181030DHB	original_late_allcell	P2	0.050404371138291035	0.020401361079736863	-0.030003010058554158
sub-UTD-181030DHB	original_late_neuron	P3	-0.0016515690254650262	0.007703662432899605	0.009355231458364643
sub-UTD-181030DHB	original_severity	P4	0.031223733506450316	-0.03755540544666594	-0.06877913895311624
sub-UTD-181030DHB	original_xenium	P5	-0.06633684307469005	-0.048344692686517365	0.017992150388172673
sub-UTD-181030DHB	severity_neuron_residual	P10	0.03712057183596974	-0.039841087467583663	-0.07696165930355342
sub-UTD-DN0003	late_allcell_residual	P8	0.03810994689093948	0.012866534267031104	-0.025243412623908446
sub-UTD-DN0003	late_neuron_residual	P7	-0.01376509517815592	-0.0014895527673404185	0.012275542410815521
sub-UTD-DN0003	late_shared_concordant_neuronal_core	P6	0.03658832592028091	0.017893739538956815	-0.018694586381324152
sub-UTD-DN0003	original_early_allcell	P1	-0.0008582914566226379	0.007785050784017616	0.008643342240640284
sub-UTD-DN0003	original_late_allcell	P2	0.038167710959125765	0.013192386878661116	-0.024975324080464656
sub-UTD-DN0003	original_late_neuron	P3	0.001045770221041286	0.005345962749802202	0.004300192528761015
sub-UTD-DN0003	original_severity	P4	0.020533378962442436	-0.023213252781402682	-0.04374663174384508
sub-UTD-DN0003	original_xenium	P5	-0.031618105904168976	-0.030404737924016267	0.0012133679801528408
sub-UTD-DN0003	severity_neuron_residual	P10	0.030233499632346124	-0.0206875090725242	-0.05092100870487043
sub-UTD-DN0095	late_allcell_residual	P8	0.02488106096720144	0.010472108030155561	-0.01440895293704588
sub-UTD-DN0095	late_neuron_residual	P7	-0.008301934805243726	-0.0026609550946739002	0.00564097971056976
sub-UTD-DN0095	late_shared_concordant_neuronal_core	P6	0.009490049628752455	0.007723158892432118	-0.0017668907363203035
sub-UTD-DN0095	original_early_allcell	P1	0.007561903684126302	0.006885067979570225	-0.0006768357045560484
sub-UTD-DN0095	original_late_allcell	P2	0.024044022496192825	0.01027357024279115	-0.01377045225340164
sub-UTD-DN0095	original_late_neuron	P3	-0.0026301205819970856	0.0014169994673221737	0.004047120049319212
sub-UTD-DN0095	original_severity	P4	0.0265750563224008	-0.01155640358141774	-0.0381314599038185
sub-UTD-DN0095	original_xenium	P5	-0.01253934750806166	-0.006767929592115585	0.00577141791594606
sub-UTD-DN0095	severity_neuron_residual	P10	0.029915476932750814	-0.012898184409132632	-0.042813661341883434
sub-UTD-DN0106	late_allcell_residual	P8	0.026051454117888014	0.011174812949670515	-0.014876641168217464
sub-UTD-DN0106	late_neuron_residual	P7	-0.011027306457357715	-0.005540044774420605	0.005487261682937006
sub-UTD-DN0106	late_shared_concordant_neuronal_core	P6	0.012550351522558328	0.010400498017228754	-0.002149853505329591
sub-UTD-DN0106	original_early_allcell	P1	0.006659191912041764	0.006648676600240239	-1.051531180157328e-05
sub-UTD-DN0106	original_late_allcell	P2	0.025088865796951444	0.01095209438055994	-0.014136771416391414
sub-UTD-DN0106	original_late_neuron	P3	-0.0026284488694718246	0.000985770216118731	0.0036142190855905643
sub-UTD-DN0106	original_severity	P4	0.03037834063592441	-0.010145815645268952	-0.04052415628119327
sub-UTD-DN0106	original_xenium	P5	-0.035082001794822	-0.021634433651879892	0.013447568142942179
sub-UTD-DN0106	severity_neuron_residual	P10	0.03371687653336845	-0.011085074693859498	-0.04480195122722791
sub-UTD-DN0134	late_allcell_residual	P8	0.026038751929813166	0.010899219466975493	-0.015139532462837687
sub-UTD-DN0134	late_neuron_residual	P7	-0.0037509279808539825	0.0009843204767852425	0.004735248457639211
sub-UTD-DN0134	late_shared_concordant_neuronal_core	P6	0.015640818950790194	0.010234231653495704	-0.005406587297294596
sub-UTD-DN0134	original_early_allcell	P1	0.0031059158965005378	0.006341547932539271	0.003235632036038679
sub-UTD-DN0134	original_late_allcell	P2	0.025512288867995253	0.010817349031935153	-0.014694939836060109
sub-UTD-DN0134	original_late_neuron	P3	0.0021064684540471005	0.004740484390655109	0.0026340159366079843
sub-UTD-DN0134	original_severity	P4	0.0207305883497105	-0.013890624073185198	-0.034621212422895654
sub-UTD-DN0134	original_xenium	P5	-0.013535284369808625	-0.007721088613388938	0.005814195756419708
sub-UTD-DN0134	severity_neuron_residual	P10	0.024684743064928474	-0.013955909255353616	-0.03864065232028213
