sample_id	donor_id	DRG_ID	module_id	program	S_mean_Nageotte	S_mean_Neuronal	S_count_Nageotte	S_count_Neuronal	U_mean_Nageotte	U_mean_Neuronal	D_mean_Nageotte	D_mean_Neuronal	S_delta	U_delta	D_delta	section_evaluable
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_allcell_residual	P8	-0.030568165285929108	-0.0715493824647683	31.0	35.0	0.48364851436388107	0.46724305401755684	0.5142166796498101	0.5387924364823252	0.040981217178839194	0.01640546034632423	-0.024575756832515117	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_neuron_residual	P7	0.020415448813342663	0.03417110634866157	31.0	35.0	0.5370045783099696	0.5455794345417421	0.516589129496627	0.5114083281930805	-0.013755657535318908	-0.008574856231772454	0.005180801303546589	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_shared_concordant_neuronal_core	P6	-0.021287187859569935	-0.03941156087741894	31.0	35.0	0.48385690885598603	0.4734051460063332	0.5051440967155559	0.5128167068837522	0.018124373017849006	0.010451762849652824	-0.007672610168196314	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_early_allcell	P1	-0.03891766220696905	-0.045270525739207	31.0	35.0	0.4933222093301999	0.4863496733099126	0.5322398715371689	0.5316201990491195	0.006352863532237948	0.006972536020287301	0.0006196724880493942	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_late_allcell	P2	-0.029770124380861105	-0.06953594763486089	31.0	35.0	0.48396107754635015	0.46799066071142903	0.5137312019272112	0.5375266083462898	0.039765823253999785	0.01597041683492112	-0.023795406419078624	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_late_neuron	P3	0.0020835912412926626	0.004389282300095981	31.0	35.0	0.5144851787177215	0.5151424485237384	0.5124015874764288	0.5107531662236424	-0.002305691058803318	-0.0006572698060168802	0.001648421252786414	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_severity	P4	-0.08327258113673407	-0.12047795968509999	31.0	35.0	0.5179732918146249	0.544385244813143	0.601245872951359	0.664863204498243	0.03720537854836592	-0.026411952998518062	-0.06361733154688398	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	original_xenium	P5	0.06123177287648329	0.11087832846307913	31.0	35.0	0.5493125857782262	0.5892889976031782	0.488080812901743	0.4784106691400991	-0.049646555586595836	-0.03997641182495204	0.009670143761643879	True
sam-UTD-180714DHB-DRGL4-1	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	severity_neuron_residual	P10	-0.0865448707938109	-0.1316658508746819	31.0	35.0	0.5221521677382084	0.5485051793579939	0.6086970385320193	0.6801710302326759	0.04512098008087101	-0.026353011619785538	-0.0714739917006566	True
sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_allcell_residual	P8	-0.04563118778711645	-0.07286640885577432	32.0	41.0	0.4784907211877975	0.4681784146232962	0.524121908974914	0.5410448234790706	0.027235221068657868	0.010312306564501328	-0.016922914504156616	True
sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_neuron_residual	P7	0.028175725128383657	0.03346300542637916	32.0	41.0	0.5475918805616751	0.546913716897316	0.5194161554332914	0.5134507114709369	-0.005287280297995502	0.0006781636643590216	0.005965443962354544	True
sam-UTD-180714DHB-DRGL4-5	sub-UTD-180714DHB	sam-UTD-180714DHB-DRGL4	late_shared_concordant_neuronal_core	P6	-0.03284275459012838	-0.03656669073109094	32.0	41.0	0.47682287277868285	0.4723138327389116	0.5096656273688112	0.5088805234700025	0.003723936140962558	0.0045090400397712616	0.0007851038988087033	True
