geo_accession	sample_id	module_id	program	measured_up	measured_down	eligible
GSM8943592	sam-UTD-DN0134-DRGL3-S1-2	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	late_allcell_residual	P8	1274	1573	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	late_neuron_residual	P7	74	197	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	late_shared_concordant_neuronal_core	P6	46	78	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	original_early_allcell	P1	300	327	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	original_late_allcell	P2	1357	1682	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	original_late_neuron	P3	127	298	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	original_severity	P4	315	134	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	original_xenium	P5	17	41	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	severity_neuron_residual	P10	219	118	True
GSM8943593	sam-UTD-DN0134-DRGL3-S1-3	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	late_allcell_residual	P8	1265	1541	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	late_neuron_residual	P7	70	197	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	late_shared_concordant_neuronal_core	P6	44	76	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	original_early_allcell	P1	299	328	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	original_late_allcell	P2	1345	1648	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	original_late_neuron	P3	121	295	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	original_severity	P4	313	134	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	original_xenium	P5	17	42	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	severity_neuron_residual	P10	218	118	True
GSM8943594	sam-UTD-DN0095-DRGL3-S2-1	severity_neuron_shared_concordant_core	P9	10	7	False
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	late_allcell_residual	P8	1261	1549	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	late_neuron_residual	P7	72	194	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	late_shared_concordant_neuronal_core	P6	43	77	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	original_early_allcell	P1	300	329	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	original_late_allcell	P2	1340	1657	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	original_late_neuron	P3	122	293	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	original_severity	P4	313	133	True
GSM8943595	sam-UTD-DN0095-DRGL3-S2-2	original_xenium	P5	17	42	True
