analysis_id	source	endpoint	program	block	original_effect	deleted_effect	eligible_before	eligible_after	rank_universe_same	remaining_up	remaining_down	reason	change	absolute_change	baseline_near_zero	signed_retention_ratio	same_sign
M01	GSE148059_C02	GSE148059_C02	P8	black	-2.8827392333650472e-05	-9.338168141121794e-05	True	True	True	1237	1576		-6.455428907756747e-05	6.455428907756747e-05	False	3.239338485091233	1.0
M01	GSE148059_C02	GSE148059_C02	P8	blue	-2.8827392333650472e-05	-4.562824434767136e-05	True	True	True	1230	1506		-1.6800852014020888e-05	1.6800852014020888e-05	False	1.5828085946715722	1.0
M01	GSE148059_C02	GSE148059_C02	P8	brown	-2.8827392333650472e-05	-5.2146334373860535e-05	True	True	True	1245	1462		-2.3318942040210063e-05	2.3318942040210063e-05	False	1.8089161090366697	1.0
M01	GSE148059_C02	GSE148059_C02	P8	green	-2.8827392333650472e-05	5.649861872621245e-05	True	True	True	1283	1536		8.532601105986292e-05	8.532601105986292e-05	False	-1.95989349547448	0.0
M01	GSE148059_C02	GSE148059_C02	P8	magenta	-2.8827392333650472e-05	-1.4082331623294802e-05	True	True	True	1283	1581		1.474506071035567e-05	1.474506071035567e-05	False	0.48850521962946925	1.0
M01	GSE148059_C02	GSE148059_C02	P8	pink	-2.8827392333650472e-05	-0.0002328625604911	True	True	True	1261	1578		-0.00020403516815744953	0.00020403516815744953	False	8.077822572223345	1.0
M01	GSE148059_C02	GSE148059_C02	P8	red	-2.8827392333650472e-05	-6.840041041563066e-05	True	True	True	1289	1521		-3.957301808198019e-05	3.957301808198019e-05	False	2.3727574670632365	1.0
M01	GSE148059_C02	GSE148059_C02	P8	turquoise	-2.8827392333650472e-05	0.000104533268372	True	True	True	1171	1546		0.00013336066070565047	0.00013336066070565047	False	-3.626178433419293	0.0
M01	GSE148059_C02	GSE148059_C02	P8	yellow	-2.8827392333650472e-05	-0.000210617751191	True	True	True	1189	1533		-0.00018179035885734952	0.00018179035885734952	False	7.306167299258075	1.0
M01	GSE148059_C02	GSE148059_C02	P7	black	-0.0006576252344175	-0.000502108159951	True	True	True	72	195		0.0001555170744665	0.0001555170744665	False	0.7635171731141807	1.0
M01	GSE148059_C02	GSE148059_C02	P7	blue	-0.0006576252344175	-0.0003913707816028	True	True	True	67	190		0.00026625445281469996	0.00026625445281469996	False	0.595127378208748	1.0
M01	GSE148059_C02	GSE148059_C02	P7	brown	-0.0006576252344175	-0.0005281797529125	True	True	True	71	173		0.000129445481505	0.000129445481505	False	0.8031622347648232	1.0
M01	GSE148059_C02	GSE148059_C02	P7	green	-0.0006576252344175	-0.0005248704447794	True	True	True	72	185		0.00013275478963809993	0.00013275478963809993	False	0.7981300249895532	1.0
M01	GSE148059_C02	GSE148059_C02	P7	magenta	-0.0006576252344175	-0.0006590001287625	True	True	True	73	198		-1.3748943450000257e-06	1.3748943450000257e-06	False	1.0020906958447509	1.0
M01	GSE148059_C02	GSE148059_C02	P7	pink	-0.0006576252344175	-0.0004985148941065	True	True	True	73	196		0.00015911034031099993	0.00015911034031099993	False	0.7580531707364697	1.0
M01	GSE148059_C02	GSE148059_C02	P7	red	-0.0006576252344175	-0.0006823036312634	True	True	True	70	193		-2.467839684590009e-05	2.467839684590009e-05	False	1.0375265357141583	1.0
M01	GSE148059_C02	GSE148059_C02	P7	turquoise	-0.0006576252344175	-0.0007414056443659	True	True	True	65	176		-8.378040994840008e-05	8.378040994840008e-05	False	1.1273984110761954	1.0
