analysis_id	source	endpoint	program	n_planned	n_evaluable	n_ne	max_absolute_change	median_absolute_change	same_sign_fraction	max_change_blocks	status
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P10	9	9	0	0.0021236960896051996	0.00037889963343350035	1.0	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P2	9	9	0	0.0006516543077073993	0.0003573553347114983	1.0	turquoise	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P3	9	9	0	0.0029695891977624	0.0005086195728783993	1.0	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P4	9	9	0	0.0019305891228439996	0.00045664116113779997	1.0	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P5	7	7	0	0.007785159663328399	0.0008569761097676001	1.0	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P6	9	9	0	0.0031396701981074027	0.0009318746571730999	1.0	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P7	9	9	0	0.0032559355451692	0.00042974809889309985	0.7777777777777778	blue	COMPLETED_DESCRIPTIVE
M01	original_hDRG_DPN_control	original_hDRG_DPN_control	P8	9	9	0	0.000598128488814801	0.00038456394453119727	1.0	turquoise	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P1	9	9	0	0.005987849858926	0.0008071103230171003	0.8888888888888888	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P10	9	9	0	0.004729890887537401	0.0005281194279141994	1.0	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P2	9	9	0	0.0030689823143514993	0.0008870345872161005	1.0	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P3	9	9	0	0.0052346979812249	0.0007382731789149994	0.8888888888888888	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P4	9	9	0	0.003871259264723201	0.0003307887789666987	1.0	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P5	7	7	0	0.0038172440021247006	0.0011643354756519994	1.0	yellow	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P6	9	9	0	0.006275356053909702	0.0027792395408341025	1.0	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P7	9	9	0	0.0055711606541447994	0.0003837749978412002	1.0	brown	COMPLETED_DESCRIPTIVE
M04	GSE250152	Morton minus control	P8	9	9	0	0.0029425169493205996	0.0006974904591374991	1.0	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P1	9	9	0	0.004903281786893799	0.001093028762294999	1.0	blue	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P10	9	9	0	0.003044817213946999	0.0014145289207794995	1.0	brown	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P2	9	9	0	0.0023081661417265	0.0002662678058698003	1.0	yellow	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P3	9	9	0	0.0010138060096183997	0.0002776203208296	1.0	yellow	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P4	9	9	0	0.0020186811497032	0.0011196920348560003	1.0	turquoise	COMPLETED_DESCRIPTIVE
M05	GSE143979	AH DPN minus MNC	P5	7	7	0	0.010262385912351804	0.0016266838454212992	1.0	yellow	COMPLETED_DESCRIPTIVE
