gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
100	-0.194242668953961	2.46988572154777	-0.720543488577553	0.481448449152798	0.999400789764103	-4.61802189427671
1000	0.988140744346459	0.763970660062045	1.3917545970656	0.182792578792269	0.999400789764103	-4.57974637563905
10000	0.36939154138861	4.98119182104486	1.3760222218011	0.18752103066325	0.999400789764103	-4.54736844089769
100009667	-0.373969973275797	-0.131635646639568	-0.815181995612955	0.426778585103407	0.999400789764103	-4.59958508277377
100009676	0.0864857559554595	1.47483063198763	0.192838748295698	0.849479575099866	0.999400789764103	-4.62551155122728
10001	-0.177474337947836	3.37120164531319	-0.71218671111198	0.486469724930917	0.999400789764103	-4.62643373793187
10003	-0.271758902224058	1.40276106944412	-0.639520407782646	0.531415314496782	0.999400789764103	-4.61479697445435
100033424	-0.549080385596428	0.288527010618285	-0.916718209737108	0.372722255246009	0.999400789764103	-4.59884034078671
100033425	-0.961213013513206	-0.397314878106186	-1.91601024545989	0.0731633251617379	0.999400789764103	-4.56111970303828
100037417	0.061218215440424	-0.124253090186776	0.10094437203616	0.92083210478521	0.999400789764103	-4.61227864445628
10004	0.412785123856509	0.57053718789695	0.884340907114331	0.389435378916863	0.999400789764103	-4.59927878349885
100049587	0.440237279383258	-0.432649225308341	0.613247089556337	0.548218098902509	0.999400789764103	-4.60233921695183
10005	-0.379748803580659	4.57632748723743	-1.29070799110582	0.214903275346084	0.999400789764103	-4.55998867164006
10006	0.038782571389004	4.89871920211596	0.172320096500229	0.865318046275515	0.999400789764103	-4.66239349110277
10007	-0.130390008789166	3.93230317922017	-0.555069768934292	0.586422382216167	0.999400789764103	-4.64054445996197
10008	0.89818245930819	0.450924830380077	1.8134774151915	0.088306468611434	0.999400789764103	-4.55999079431776
10009	-0.284918941182152	3.54394494680546	-1.09158911127913	0.290966302557641	0.999400789764103	-4.58805923131156
100093630	-0.0642268231925498	3.83911008960216	-0.152886885000001	0.880373590588404	0.999400789764103	-4.65678736210485
100093631	-0.298540497908189	0.180760495197926	-0.4646742254974	0.648342441087718	0.999400789764103	-4.6089126116821
10010	0.0836553392542916	4.40194878468168	0.227485136204295	0.822889660182588	0.999400789764103	-4.65973828856297
100101267	-0.298525423252759	4.78077484424851	-1.09875056580132	0.287921967395865	0.999400789764103	-4.58687408921729
100101467	-0.176160474782138	4.97742186450842	-0.709893806232321	0.487852847450062	0.999400789764103	-4.63102829387649
10011	0.0131066523956749	3.83947053748175	0.0540337715451077	0.957568313418517	0.999400789764103	-4.65895321035273
100113386	-0.216327913785118	2.22903615044244	-0.454732831859784	0.655329446286048	0.999400789764103	-4.63068317846188
100113407	-0.293474883280482	4.66435604078796	-0.530044279299768	0.603556086034069	0.999400789764103	-4.64543188422737
100118954	-0.149675388188299	0.106285477286939	-0.326896279142802	0.747927662243709	0.999400789764103	-4.61186078785033
100125387	-0.416631483624087	2.29398727821551	-1.53123963900799	0.144983248877961	0.999400789764103	-4.54583172452414
100125556	0.190273518929246	-0.648304053732367	0.263301763838027	0.795634142458751	0.999400789764103	-4.60540801314719
