gene_id	logFC	AveExpr	t	P.Value	adj.P.Val	B
1	-0.379359242972332	-0.324967239810611	-0.880981293326284	0.384432363954006	0.542365960283042	-5.34206303688133
100	0.638936018221649	3.82166999423903	1.78895983460026	0.0824165652201335	0.184369778334033	-4.96888739871777
1000	-1.14374183035842	1.35399239708458	-1.81034224994132	0.0789715648532242	0.179355871114842	-4.52808472677765
10000	0.50736239322417	6.07369547447214	4.08731280631019	0.000247475359782784	0.00444444457966888	0.137203629582157
100009668	-1.11290138317999	-1.01048639431657	-1.79683171833459	0.081133777784877	0.182504559806467	-4.24970621493582
100009676	0.0699952185831913	2.05600825546531	0.461377363802778	0.647427545949022	0.764259462068244	-6.02453939988512
10001	-0.0327447644582981	4.38509156339867	-0.329802811160537	0.74354579752227	0.833637773391753	-6.59649546688438
10003	-0.929422209784726	2.6535703317557	-3.14929538647481	0.00337373655352917	0.0215052104777627	-2.01859233340203
100037417	-0.514098885014709	0.0424902096133453	-1.72906238376304	0.0927500706498247	0.200169489597283	-4.43514111404844
10004	0.0334266517447371	3.58787603613296	0.184315407590556	0.854846609938439	0.908131794885625	-6.49159652258803
100048912	1.70885889697876	-1.42165270214145	4.17928024137214	0.000189484203779352	0.00379013792996734	0.238953462433582
100049587	0.238128520242657	-0.33778964498319	0.3658753777761	0.716695008450136	0.814579110659011	-5.59682125628973
100049716	-0.21096840385643	3.25276715568407	-1.2921716802469	0.204897653261093	0.350354653800956	-5.63644777335196
10005	-0.311505478194314	4.20967083694469	-2.69708737282449	0.0107495269433231	0.0467548434915058	-3.30574802693226
10006	0.39662557743588	5.58478774782617	2.47298536790147	0.0184844755024265	0.0670418479569006	-3.89187946603869
10007	-0.155260194742902	4.79855577351934	-1.24215196136571	0.222569290072228	0.37154945355186	-5.93853704959898
10008	0.218722543252472	1.81066197927155	0.45686637439975	0.650634573346484	0.766336613671595	-5.93862517718958
10009	0.497270436135084	3.11913456180308	3.02677634554592	0.00465449119272767	0.0267237235823092	-2.31731876481483
100093630	-0.186309822712549	4.9758481807642	-1.12045279562665	0.270270419077253	0.42550285492434	-6.09520858982169
1001	0.0430279307030343	1.84434214142043	0.0928292581365633	0.926576897687253	0.95430652002026	-6.07463094318743
10010	0.353296265544812	4.61915169270055	1.52219379218534	0.137086642556	0.262963259902413	-5.52630813469437
100101267	0.103717246459903	5.77517086300176	0.657432149118624	0.515271405802951	0.661546853695202	-6.53937845498538
100101467	-0.412508185518372	4.08290543775851	-3.12959816434483	0.0035541724323407	0.0222662370461194	-2.27557903560897
100101490	0.737544941084565	-2.01301545180096	1.30298631832591	0.20122075381617	0.345404833529051	-4.7283107538955
10011	0.113728386012573	5.09741355716332	0.864161557389261	0.393475720778037	0.550866009089252	-6.34763019648548
100113386	-0.416922556328662	-0.403762236962472	-0.996935885149681	0.325746087154272	0.484557458821754	-5.23806385728677
100113407	-0.0608266071829077	2.63018201080661	-0.291869426903336	0.77213668536818	0.852265633239571	-6.24300042804809
100124700	4.91013755115902	1.8230164305735	5.06278986575347	1.37867607237921e-05	0.000940737098691232	2.69768858277593
100125288	-0.923758857723926	1.27302918745244	-3.21839883530542	0.0028071505089285	0.0191289383109441	-1.66654974121276
100126793	-0.411762412496629	-0.372066907283483	-1.14008249254307	0.262115644669908	0.416795031037913	-5.10658037480411
100127983	0.274120572682483	2.08908286027615	0.890252015464149	0.37950502791697	0.537479265349719	-5.7350496386998
100128025	0.311321146020989	0.834795678575653	1.4817388548137	0.147498611632546	0.276803061233876	-4.84447152272688
100128060	0.391266670672097	-1.14446558516716	1.30903605226929	0.199185918052163	0.342545634607417	-4.81198616122927
100128071	0.0688674564213929	5.32306510475612	0.547514120825307	0.587555099519402	0.719893913008854	-6.58822583051975
100128098	0.614086203826436	-0.660003142954104	0.724059710172907	0.473917143896048	0.624043214865325	-5.36269691098176
100128191	0.21989222436605	-0.620560857425275	0.547288646959887	0.587708285363881	0.719930555986269	-5.48378742323635
100128239	-0.109888163088836	0.546363052539105	-0.315752653415115	0.754095060771447	0.840724631533589	-5.77957910015472
100128250	-0.567245649008439	-1.9653945290562	-1.01981183833367	0.314925529265569	0.473266707737407	-5.04072620302633
