package	version	available
limma	NA	FALSE
edgeR	NA	FALSE
minfi	NA	FALSE
missMethyl	NA	FALSE
DMRcate	NA	FALSE
IlluminaHumanMethylationEPICanno.ilm10b4.hg19	NA	FALSE
IlluminaHumanMethylationEPICanno.ilm10b2.hg19	NA	FALSE
